date,panetta
2016-12-10,2.1392405063291138
2016-12-11,1.1518987341772151
2016-12-12,1.481012658227848
2016-12-13,1.7278481012658227
2016-12-14,2.3860759493670884
2016-12-15,1.9746835443037973
2016-12-16,1.481012658227848
2016-12-17,1.3987341772151898
2016-12-18,0.9873417721518987
2016-12-19,1.7278481012658227
2016-12-20,1.3987341772151898
2016-12-21,0.740506329113924
2016-12-22,1.6455696202531644
2016-12-23,1.2341772151898733
2016-12-24,1.3987341772151898
2016-12-25,1.5632911392405062
2016-12-26,1.5632911392405062
2016-12-27,1.0696202531645569
2016-12-28,1.2341772151898733
2016-12-29,0.8227848101265822
2016-12-30,0.9873417721518987
2016-12-31,0.8227848101265822
2017-01-01,1.2341772151898733
2017-01-02,1.0696202531645569
2017-01-03,1.810126582278481
2017-01-04,1.481012658227848
2017-01-05,1.1518987341772151
2017-01-06,5.430379746835443
2017-01-07,4.689873417721518
2017-01-08,1.3164556962025316
2017-01-09,2.7974683544303796
2017-01-10,2.8797468354430378
2017-01-11,2.962025316455696
2017-01-12,2.550632911392405
2017-01-13,5.018987341772151
2017-01-14,1.810126582278481
2017-01-15,1.810126582278481
2017-01-16,2.1392405063291138
2017-01-17,1.7278481012658227
2017-01-18,2.632911392405063
2017-01-19,2.1392405063291138
2017-01-20,1.9746835443037973
2017-01-21,1.3164556962025316
2017-01-22,1.5632911392405062
2017-01-23,3.620253164556962
2017-01-24,5.018987341772151
2017-01-25,2.8797468354430378
2017-01-26,2.7974683544303796
2017-01-27,2.221518987341772
2017-01-28,1.481012658227848
2017-01-29,1.0696202531645569
2017-01-30,1.5632911392405062
2017-01-31,2.8797468354430378
2017-02-01,2.0569620253164556
2017-02-02,1.5632911392405062
2017-02-03,2.221518987341772
2017-02-04,1.2341772151898733
2017-02-05,3.0443037974683542
2017-02-06,2.1392405063291138
2017-02-07,2.3860759493670884
2017-02-08,2.221518987341772
2017-02-09,2.0569620253164556
2017-02-10,1.810126582278481
2017-02-11,1.3987341772151898
2017-02-12,1.2341772151898733
2017-02-13,1.481012658227848
2017-02-14,2.7974683544303796
2017-02-15,8.227848101265822
2017-02-16,7.158227848101266
2017-02-17,5.594936708860759
2017-02-18,2.0569620253164556
2017-02-19,6.9936708860759484
2017-02-20,3.7848101265822782
2017-02-21,1.5632911392405062
2017-02-22,1.3987341772151898
2017-02-23,2.4683544303797467
2017-02-24,1.3987341772151898
2017-02-25,1.481012658227848
2017-02-26,1.7278481012658227
2017-02-27,1.3987341772151898
2017-02-28,1.9746835443037973
2017-03-01,1.4409852890865547
2017-03-02,1.8712795073554565
2017-03-03,1.7834416695176185
2017-03-04,1.6744782757440984
2017-03-05,6.476650701334245
2017-03-06,2.7696715703044816
2017-03-07,4.405234348272322
2017-03-08,5.378121792678754
2017-03-09,6.80798836811495
2017-03-10,2.0135990420800542
2017-03-11,1.6878207321245293
2017-03-12,1.5343824837495723
2017-03-13,2.18927471775573
2017-03-14,1.6411221347930207
2017-03-15,1.9835785152240846
2017-03-16,1.5232637700992129
2017-03-17,3.84151556619911
2017-03-18,1.4054054054054053
2017-03-19,1.3865035921997946
2017-03-20,3.9315771467670197
2017-03-21,2.8274888812863495
2017-03-22,2.1014368799178924
2017-03-23,1.0985289086554908
2017-03-24,1.3286862812179265
2017-03-25,1.3286862812179265
2017-03-26,1.465446459117345
2017-03-27,1.493243243243243
2017-03-28,2.6684912760862125
2017-03-29,1.5043619568936024
2017-03-30,1.309784468012316
2017-03-31,1.8301402668491273
2017-04-01,1.65224084844338
2017-04-02,1.565514881970578
2017-04-03,1.636674649332877
2017-04-04,1.7078344166951758
2017-04-05,1.9213137187820728
2017-04-06,1.9924734861443718
2017-04-07,2.063633253506671
2017-04-08,1.352035579883681
2017-04-09,1.280875812521382
2017-04-10,1.565514881970578
2017-04-11,3.629148135477249
2017-04-12,4.340745809100238
2017-04-13,2.561751625042764
2017-04-14,3.273349298665754
2017-04-15,2.704071159767362
2017-04-16,1.7078344166951758
2017-04-17,2.063633253506671
2017-04-18,0.9250769757098869
2017-04-19,1.9213137187820728
2017-04-20,1.9213137187820728
2017-04-21,3.273349298665754
2017-04-22,1.565514881970578
2017-04-23,0.9962367430721859
2017-04-24,1.494355114608279
2017-04-25,1.9213137187820728
2017-04-26,2.4905918576804646
2017-04-27,1.565514881970578
2017-04-28,2.205952788231269
2017-04-29,1.352035579883681
2017-04-30,2.063633253506671
2017-05-01,1.8501539514197738
2017-05-02,1.42319534724598
2017-05-03,1.494355114608279
2017-05-04,1.42319534724598
2017-05-05,1.42319534724598
2017-05-06,0.8539172083475879
2017-05-07,0.8539172083475879
2017-05-08,1.636674649332877
2017-05-09,2.063633253506671
2017-05-10,2.419432090318166
2017-05-11,3.4156688333903515
2017-05-12,5.123503250085528
2017-05-13,1.565514881970578
2017-05-14,1.067396510434485
2017-05-15,1.280875812521382
2017-05-16,5.977420458433116
2017-05-17,2.9175504618542587
2017-05-18,2.3482723229558666
2017-05-19,1.9924734861443718
2017-05-20,4.483065343824837
2017-05-21,1.352035579883681
2017-05-22,1.8501539514197738
2017-05-23,1.494355114608279
2017-05-24,1.494355114608279
2017-05-25,4.696544645911733
2017-05-26,2.13479302086897
2017-05-27,1.209716045159083
2017-05-28,0.782757440985289
2017-05-29,1.8501539514197738
2017-05-30,2.277112555593568
2017-05-31,2.3482723229558666
2017-06-01,1.138556277796784
2017-06-02,1.209716045159083
2017-06-03,1.636674649332877
