date,russia
2016-12-14,21.193990511333688
2016-12-15,21.193990511333688
2016-12-16,27.359515023721666
2016-12-17,23.12071692145493
2016-12-18,19.26726410121244
2016-12-19,30.442277279915658
2016-12-20,27.359515023721666
2016-12-21,19.65260938323669
2016-12-22,17.725882973115446
2016-12-23,16.5698471270427
2016-12-24,16.184501845018453
2016-12-25,26.58882445967317
2016-12-26,19.65260938323669
2016-12-27,17.725882973115446
2016-12-28,15.413811280969954
2016-12-29,24.276752767527675
2016-12-30,33.52503953610965
2016-12-31,27.744860305745917
2017-01-01,19.26726410121244
2017-01-02,16.184501845018453
2017-01-03,16.184501845018453
2017-01-04,18.496573537163943
2017-01-05,19.26726410121244
2017-01-06,20.808645229309437
2017-01-07,18.881918819188193
2017-01-08,17.725882973115446
2017-01-09,17.340537691091196
2017-01-10,17.725882973115446
2017-01-11,38.53452820242488
2017-01-12,26.58882445967317
2017-01-13,21.964681075382185
2017-01-14,20.03795466526094
2017-01-15,19.65260938323669
2017-01-16,17.340537691091196
2017-01-17,18.881918819188193
2017-01-18,17.340537691091196
2017-01-19,16.95519240906695
2017-01-20,18.496573537163943
2017-01-21,15.799156562994202
2017-01-22,16.5698471270427
2017-01-23,16.95519240906695
2017-01-24,16.184501845018453
2017-01-25,15.799156562994202
2017-01-26,16.184501845018453
2017-01-27,17.340537691091196
2017-01-28,16.95519240906695
2017-01-29,16.184501845018453
2017-01-30,16.95519240906695
2017-01-31,16.5698471270427
2017-02-01,16.5698471270427
2017-02-02,17.340537691091196
2017-02-03,16.5698471270427
2017-02-04,14.257775434897207
2017-02-05,14.643120716921455
2017-02-06,16.184501845018453
2017-02-07,16.5698471270427
2017-02-08,16.95519240906695
2017-02-09,16.5698471270427
2017-02-10,16.95519240906695
2017-02-11,15.413811280969954
2017-02-12,15.028465998945705
2017-02-13,15.413811280969954
2017-02-14,23.12071692145493
2017-02-15,30.827622561939908
2017-02-16,26.20347917764892
2017-02-17,20.03795466526094
2017-02-18,16.5698471270427
2017-02-19,16.5698471270427
2017-02-20,16.5698471270427
2017-02-21,16.5698471270427
2017-02-22,15.799156562994202
2017-02-23,15.799156562994202
2017-02-24,16.5698471270427
2017-02-25,15.028465998945705
2017-02-26,14.643120716921455
2017-02-27,16.184501845018453
2017-02-28,16.5698471270427
2017-03-01,16.22950880231828
2017-03-02,23.619865509794458
2017-03-03,21.639345069757706
2017-03-04,18.210029242355034
2017-03-05,17.485631548672075
2017-03-06,18.210029242355034
2017-03-07,17.485631548672075
2017-03-08,17.14657913701336
2017-03-09,18.59537452437928
2017-03-10,16.95390649600124
2017-03-11,14.634333644305775
2017-03-12,14.973386055964486
2017-03-13,15.890456390659569
2017-03-14,15.50511110863532
2017-03-15,16.761233854989115
2017-03-16,16.22950880231828
2017-03-17,14.973386055964486
2017-03-18,13.524590668598567
2017-03-19,15.50511110863532
2017-03-20,20.72227473506262
2017-03-21,20.383222323403913
2017-03-22,19.658824629720954
2017-03-23,22.363742763440666
2017-03-24,22.8954678161115
2017-03-25,19.851497270733077
2017-03-26,23.088140457123625
2017-03-27,24.53693584448954
2017-03-28,24.344263203477418
2017-03-29,24.53693584448954
2017-03-30,23.427192868782335
2017-03-31,21.300292658098996
2017-04-01,18.934426936037994
2017-04-02,19.665039876205213
2017-04-03,39.33007975241043
2017-04-04,29.836612225966533
2017-04-05,27.80229775601427
2017-04-06,27.80229775601427
2017-04-07,67.81048233174212
2017-04-08,38.65197492909301
2017-04-09,31.192821872601375
2017-04-10,35.939555635823325
2017-04-11,31.870926695918794
2017-04-12,33.90524116587106
2017-04-13,31.870926695918794
2017-04-14,25.767983286062005
2017-04-15,23.05556399279232
2017-04-16,21.699354346157477
2017-04-17,21.699354346157477
2017-04-18,21.699354346157477
2017-04-19,23.05556399279232
2017-04-20,28.480402579331688
2017-04-21,26.446088109379424
2017-04-22,21.021249522840055
2017-04-23,18.308830229570372
2017-04-24,20.343144699522636
2017-04-25,20.343144699522636
2017-04-26,18.986935052887794
2017-04-27,18.986935052887794
2017-04-28,18.986935052887794
2017-04-29,23.73366881610974
2017-04-30,37.29576528245816
2017-05-01,20.343144699522636
2017-05-02,17.63072540625295
2017-05-03,17.63072540625295
2017-05-04,16.95262058293553
2017-05-05,16.95262058293553
2017-05-06,15.596410936300687
2017-05-07,16.274515759618108
2017-05-08,18.308830229570372
2017-05-09,21.699354346157477
2017-05-10,21.699354346157477
2017-05-11,21.021249522840055
2017-05-12,19.665039876205213
2017-05-13,18.986935052887794
2017-05-14,18.308830229570372
2017-05-15,21.699354346157477
2017-05-16,31.870926695918794
2017-05-17,22.3774591694749
2017-05-18,24.41177363942716
2017-05-19,21.699354346157477
2017-05-20,18.986935052887794
2017-05-21,16.95262058293553
2017-05-22,16.274515759618108
2017-05-23,17.63072540625295
2017-05-24,16.95262058293553
2017-05-25,16.95262058293553
2017-05-26,20.343144699522636
2017-05-27,18.986935052887794
2017-05-28,21.021249522840055
2017-05-29,18.308830229570372
2017-05-30,19.665039876205213
2017-05-31,18.308830229570372
2017-06-01,18.986935052887794
2017-06-02,19.665039876205213
2017-06-03,17.63072540625295
