date,donald trump taxes
2016-12-12,0.9941634241245136
2016-12-13,1.9883268482490273
2016-12-14,1.9883268482490273
2016-12-15,1.9883268482490273
2016-12-16,2.982490272373541
2016-12-17,0.9941634241245136
2016-12-18,1.9883268482490273
2016-12-19,0.9941634241245136
2016-12-20,1.9883268482490273
2016-12-21,0.9941634241245136
2016-12-22,0.9941634241245136
2016-12-23,0.9941634241245136
2016-12-24,0.9941634241245136
2016-12-25,0.9941634241245136
2016-12-26,1.9883268482490273
2016-12-27,0.9941634241245136
2016-12-28,0.9941634241245136
2016-12-29,0.9941634241245136
2016-12-30,1.9883268482490273
2016-12-31,0.9941634241245136
2017-01-01,0.9941634241245136
2017-01-02,0.9941634241245136
2017-01-03,1.9883268482490273
2017-01-04,1.9883268482490273
2017-01-05,1.9883268482490273
2017-01-06,1.9883268482490273
2017-01-07,1.9883268482490273
2017-01-08,1.9883268482490273
2017-01-09,1.9883268482490273
2017-01-10,1.9883268482490273
2017-01-11,3.9766536964980546
2017-01-12,3.9766536964980546
2017-01-13,1.9883268482490273
2017-01-14,0.9941634241245136
2017-01-15,1.9883268482490273
2017-01-16,1.9883268482490273
2017-01-17,3.9766536964980546
2017-01-18,2.982490272373541
2017-01-19,3.9766536964980546
2017-01-20,6.9591439688715955
2017-01-21,12.924124513618677
2017-01-22,8.947470817120623
2017-01-23,12.924124513618677
2017-01-24,6.9591439688715955
2017-01-25,7.953307392996109
2017-01-26,7.953307392996109
2017-01-27,8.947470817120623
2017-01-28,4.970817120622568
2017-01-29,5.964980544747082
2017-01-30,5.964980544747082
2017-01-31,4.970817120622568
2017-02-01,3.9766536964980546
2017-02-02,4.970817120622568
2017-02-03,3.9766536964980546
2017-02-04,5.964980544747082
2017-02-05,1.9883268482490273
2017-02-06,3.9766536964980546
2017-02-07,3.9766536964980546
2017-02-08,3.9766536964980546
2017-02-09,2.982490272373541
2017-02-10,1.9883268482490273
2017-02-11,2.982490272373541
2017-02-12,2.982490272373541
2017-02-13,2.982490272373541
2017-02-14,0.9941634241245136
2017-02-15,2.982490272373541
2017-02-16,4.970817120622568
2017-02-17,2.982490272373541
2017-02-18,1.9883268482490273
2017-02-19,3.9766536964980546
2017-02-20,0.9941634241245136
2017-02-21,1.9883268482490273
2017-02-22,1.9883268482490273
2017-02-23,0.9941634241245136
2017-02-24,2.982490272373541
2017-02-25,2.982490272373541
2017-02-26,0.9941634241245136
2017-02-27,1.9883268482490273
2017-02-28,1.9883268482490273
2017-03-01,2.403637542742601
2017-03-02,2.1217427190189833
2017-03-03,1.3427661832331093
2017-03-04,2.9007192548048577
2017-03-05,1.3427661832331093
2017-03-06,2.61882443108124
2017-03-07,2.61882443108124
2017-03-08,1.3427661832331093
2017-03-09,1.276058247848131
2017-03-10,1.0608713595094916
2017-03-11,0.7789765357858742
2017-03-12,1.3427661832331093
2017-03-13,1.3427661832331093
2017-03-14,1.0608713595094916
2017-03-15,58.01438509609716
2017-03-16,18.03481311166136
2017-03-17,4.740567150100224
2017-03-18,2.403637542742601
2017-03-19,2.1217427190189833
2017-03-20,2.61882443108124
2017-03-21,2.1217427190189833
2017-03-22,2.9007192548048577
2017-03-23,0.7789765357858742
2017-03-24,2.61882443108124
2017-03-25,0.7789765357858742
2017-03-26,0.7789765357858742
2017-03-27,1.839847895295366
2017-03-28,2.1217427190189833
2017-03-29,1.3427661832331093
2017-03-30,1.0608713595094916
2017-03-31,1.0608713595094916
2017-04-01,1.3427661832331093
2017-04-02,0.5637896474472349
2017-04-03,1.1275792948944698
2017-04-04,1.1275792948944698
2017-04-05,1.1275792948944698
2017-04-06,1.1275792948944698
2017-04-07,1.1275792948944698
2017-04-08,1.6913689423417049
2017-04-09,1.1275792948944698
2017-04-10,1.1275792948944698
2017-04-11,1.1275792948944698
2017-04-12,0.5637896474472349
2017-04-13,0.5637896474472349
2017-04-14,2.2551585897889397
2017-04-15,4.510317179577879
2017-04-16,3.9465275321306446
2017-04-17,4.510317179577879
2017-04-18,2.2551585897889397
2017-04-19,2.8189482372361745
2017-04-20,0.5637896474472349
2017-04-21,1.6913689423417049
2017-04-22,1.1275792948944698
2017-04-23,1.6913689423417049
2017-04-24,1.1275792948944698
2017-04-25,1.6913689423417049
2017-04-26,2.8189482372361745
2017-04-27,3.9465275321306446
2017-04-28,3.3827378846834097
2017-04-29,1.1275792948944698
2017-04-30,2.2551585897889397
2017-05-01,1.6913689423417049
2017-05-02,1.1275792948944698
2017-05-03,1.6913689423417049
2017-05-04,2.8189482372361745
2017-05-05,1.6913689423417049
2017-05-06,1.6913689423417049
2017-05-07,1.1275792948944698
2017-05-08,0.5637896474472349
2017-05-09,1.1275792948944698
2017-05-10,1.1275792948944698
2017-05-11,2.2551585897889397
2017-05-12,1.1275792948944698
2017-05-13,1.6913689423417049
2017-05-14,0.5637896474472349
2017-05-15,1.1275792948944698
2017-05-16,1.1275792948944698
2017-05-17,1.6913689423417049
2017-05-18,0.5637896474472349
2017-05-19,1.1275792948944698
2017-05-20,0.5637896474472349
2017-05-21,0.5637896474472349
2017-05-22,1.1275792948944698
2017-05-23,1.1275792948944698
2017-05-24,1.6913689423417049
2017-05-25,1.1275792948944698
2017-05-26,0.5637896474472349
2017-05-27,1.1275792948944698
2017-05-28,0.0
2017-05-29,1.1275792948944698
2017-05-30,1.6913689423417049
2017-05-31,1.1275792948944698
2017-06-01,1.1275792948944698
2017-06-02,0.5637896474472349
2017-06-03,0.5637896474472349
