date,trump election
2016-05-01,0.17986164488854728
2016-05-02,0.21983089930822444
2016-05-03,0.31975403535741737
2016-05-04,0.9192928516525749
2016-05-05,0.4196771714066103
2016-05-06,0.31975403535741737
2016-05-07,0.19984627209838585
2016-05-08,0.21983089930822444
2016-05-09,0.23981552651806304
2016-05-10,0.23981552651806304
2016-05-11,0.3996925441967717
2016-05-12,0.17986164488854728
2016-05-13,0.1398923904688701
2016-05-14,0.1398923904688701
2016-05-15,0.1398923904688701
2016-05-16,0.17986164488854728
2016-05-17,0.15987701767870868
2016-05-18,0.31975403535741737
2016-05-19,0.17986164488854728
2016-05-20,0.1398923904688701
2016-05-21,0.11990776325903152
2016-05-22,0.11990776325903152
2016-05-23,0.1398923904688701
2016-05-24,0.15987701767870868
2016-05-25,0.19984627209838585
2016-05-26,0.19984627209838585
2016-05-27,0.15987701767870868
2016-05-28,0.11990776325903152
2016-05-29,0.09992313604919292
2016-05-30,0.09992313604919292
2016-05-31,0.11990776325903152
2016-06-01,0.11990776325903152
2016-06-02,0.09992313604919292
2016-06-03,0.11990776325903152
2016-06-04,0.11990776325903152
2016-06-05,0.11990776325903152
2016-06-06,0.11990776325903152
2016-06-07,0.2598001537279016
2016-06-08,0.5595695618754803
2016-06-09,0.19984627209838585
2016-06-10,0.1398923904688701
2016-06-11,0.15987701767870868
2016-06-12,0.1398923904688701
2016-06-13,0.1398923904688701
2016-06-14,0.1398923904688701
2016-06-15,0.1398923904688701
2016-06-16,0.15987701767870868
2016-06-17,0.11990776325903152
2016-06-18,0.11990776325903152
2016-06-19,0.09992313604919292
2016-06-20,0.09992313604919292
2016-06-21,0.1398923904688701
2016-06-22,0.11990776325903152
2016-06-23,0.09992313604919292
2016-06-24,0.17986164488854728
2016-06-25,0.11990776325903152
2016-06-26,0.11990776325903152
2016-06-27,0.09992313604919292
2016-06-28,0.11990776325903152
2016-06-29,0.09992313604919292
2016-06-30,0.11990776325903152
2016-07-01,0.09992313604919292
2016-07-02,0.11990776325903152
2016-07-03,0.11990776325903152
2016-07-04,0.11990776325903152
2016-07-05,0.11990776325903152
2016-07-06,0.1398923904688701
2016-07-07,0.1398923904688701
2016-07-08,0.09992313604919292
2016-07-09,0.09992313604919292
2016-07-10,0.11990776325903152
2016-07-11,0.11990776325903152
2016-07-12,0.11990776325903152
2016-07-13,0.15987701767870868
2016-07-14,0.15987701767870868
2016-07-15,0.17986164488854728
2016-07-16,0.17986164488854728
2016-07-17,0.17986164488854728
2016-07-18,0.15987701767870868
2016-07-19,0.3797079169869331
2016-07-20,0.45964642582628745
2016-07-21,0.4396617986164489
2016-07-22,0.7594158339738662
2016-07-23,0.3996925441967717
2016-07-24,0.33973866256725593
2016-07-25,0.3797079169869331
2016-07-26,0.3996925441967717
2016-07-27,0.4396617986164489
2016-07-28,0.4796310530361261
2016-07-29,0.579554189085319
2016-07-30,0.3797079169869331
2016-07-31,0.3797079169869331
2016-08-01,0.3797079169869331
2016-08-02,0.49961568024596464
2016-08-03,0.5395849346656418
2016-08-04,0.4796310530361261
2016-08-05,0.35972328977709456
2016-08-06,0.2797847809377402
2016-08-07,0.2797847809377402
2016-08-08,0.2598001537279016
2016-08-09,0.23981552651806304
2016-08-10,0.2797847809377402
2016-08-11,0.2797847809377402
2016-08-12,0.2997694081475788
2016-08-13,0.2797847809377402
2016-08-14,0.2598001537279016
2016-08-15,0.2598001537279016
2016-08-16,0.23981552651806304
2016-08-17,0.21983089930822444
2016-08-18,0.23981552651806304
2016-08-19,0.2598001537279016
2016-08-20,0.19984627209838585
2016-08-21,0.19984627209838585
2016-08-22,0.21983089930822444
2016-08-23,0.19984627209838585
2016-08-24,0.19984627209838585
2016-08-25,0.17986164488854728
2016-08-26,0.19984627209838585
2016-08-27,0.17986164488854728
2016-08-28,0.17986164488854728
2016-08-29,0.17986164488854728
2016-08-30,0.17986164488854728
2016-08-31,0.2598001537279016
2016-09-01,0.2997694081475788
2016-09-02,0.19984627209838585
2016-09-03,0.19984627209838585
2016-09-04,0.15987701767870868
2016-09-05,0.17986164488854728
2016-09-06,0.21983089930822444
2016-09-07,0.21983089930822444
2016-09-08,0.2598001537279016
2016-09-09,0.19984627209838585
2016-09-10,0.19984627209838585
2016-09-11,0.19984627209838585
2016-09-12,0.21983089930822444
2016-09-13,0.19984627209838585
2016-09-14,0.2598001537279016
2016-09-15,0.2598001537279016
2016-09-16,0.2598001537279016
2016-09-17,0.2598001537279016
2016-09-18,0.21983089930822444
2016-09-19,0.23981552651806304
2016-09-20,0.2797847809377402
2016-09-21,0.2797847809377402
2016-09-22,0.2797847809377402
2016-09-23,0.2598001537279016
2016-09-24,0.23981552651806304
2016-09-25,0.23981552651806304
2016-09-26,0.35972328977709456
2016-09-27,1.019215987701768
2016-09-28,0.4796310530361261
2016-09-29,0.4196771714066103
2016-09-30,0.3996925441967717
2016-10-01,0.15987701767870868
2016-10-02,0.15987701767870868
2016-10-03,0.19984627209838585
2016-10-04,0.15987701767870868
2016-10-05,0.17986164488854728
2016-10-06,0.16986933128362797
2016-10-07,0.15987701767870868
2016-10-08,0.8797079169869331
2016-10-09,0.8797079169869331
2016-10-10,1.109531129900077
2016-10-11,0.9996156802459646
2016-10-12,0.9596464258262875
2016-10-13,0.9596464258262875
2016-10-14,0.8897002305918524
2016-10-15,0.8497309761721752
2016-10-16,0.9896233666410453
2016-10-17,1.0695618754803997
2016-10-18,0.9696387394312067
2016-10-19,0.8897002305918524
2016-10-20,1.9992313604919292
2016-10-21,1.009607993850884
