date,weiner
2016-05-01,3.0
2016-05-02,3.0
2016-05-03,3.0
2016-05-04,3.0
2016-05-05,3.0
2016-05-06,4.0
2016-05-07,4.0
2016-05-08,3.0
2016-05-09,4.0
2016-05-10,3.0
2016-05-11,4.0
2016-05-12,4.0
2016-05-13,3.0
2016-05-14,4.0
2016-05-15,4.0
2016-05-16,4.0
2016-05-17,3.0
2016-05-18,3.0
2016-05-19,4.0
2016-05-20,6.0
2016-05-21,6.0
2016-05-22,6.0
2016-05-23,5.0
2016-05-24,5.0
2016-05-25,5.0
2016-05-26,6.0
2016-05-27,6.0
2016-05-28,6.0
2016-05-29,7.0
2016-05-30,6.0
2016-05-31,5.0
2016-06-01,4.0
2016-06-02,4.0
2016-06-03,5.0
2016-06-04,6.0
2016-06-05,6.0
2016-06-06,4.0
2016-06-07,5.0
2016-06-08,5.0
2016-06-09,5.0
2016-06-10,5.0
2016-06-11,6.0
2016-06-12,5.0
2016-06-13,6.0
2016-06-14,5.0
2016-06-15,4.0
2016-06-16,4.0
2016-06-17,4.0
2016-06-18,4.0
2016-06-19,5.0
2016-06-20,4.0
2016-06-21,4.0
2016-06-22,4.0
2016-06-23,4.0
2016-06-24,5.0
2016-06-25,4.0
2016-06-26,4.0
2016-06-27,4.0
2016-06-28,4.0
2016-06-29,4.0
2016-06-30,4.0
2016-07-01,5.0
2016-07-02,5.0
2016-07-03,5.0
2016-07-04,4.0
2016-07-05,4.0
2016-07-06,5.0
2016-07-07,4.0
2016-07-08,5.0
2016-07-09,5.0
2016-07-10,5.0
2016-07-11,4.0
2016-07-12,4.0
2016-07-13,6.0
2016-07-14,4.0
2016-07-15,4.0
2016-07-16,5.0
2016-07-17,4.0
2016-07-18,4.0
2016-07-19,4.0
2016-07-20,4.0
2016-07-21,4.0
2016-07-22,4.0
2016-07-23,4.0
2016-07-24,4.0
2016-07-25,4.0
2016-07-26,6.0
2016-07-27,27.0
2016-07-28,7.0
2016-07-29,5.0
2016-07-30,4.0
2016-07-31,4.0
2016-08-01,4.0
2016-08-02,5.0
2016-08-03,4.0
2016-08-04,4.0
2016-08-05,4.0
2016-08-06,4.0
2016-08-07,4.0
2016-08-08,4.0
2016-08-09,4.0
2016-08-10,4.0
2016-08-11,4.0
2016-08-12,5.0
2016-08-13,6.0
2016-08-14,6.0
2016-08-15,5.0
2016-08-16,5.0
2016-08-17,6.0
2016-08-18,5.0
2016-08-19,4.0
2016-08-20,5.0
2016-08-21,4.0
2016-08-22,5.0
2016-08-23,5.0
2016-08-24,6.0
2016-08-25,6.0
2016-08-26,5.0
2016-08-27,5.0
2016-08-28,5.0
2016-08-29,100.0
2016-08-30,94.0
2016-08-31,32.0
2016-09-01,19.0
2016-09-02,14.0
2016-09-03,11.0
2016-09-04,12.0
2016-09-05,8.0
2016-09-06,7.0
2016-09-07,5.0
2016-09-08,5.0
2016-09-09,6.0
2016-09-10,5.0
2016-09-11,5.0
2016-09-12,6.0
2016-09-13,6.0
2016-09-14,5.0
2016-09-15,5.0
2016-09-16,4.0
2016-09-17,4.0
2016-09-18,6.0
2016-09-19,6.0
2016-09-20,4.0
2016-09-21,12.0
2016-09-22,19.0
2016-09-23,15.0
2016-09-24,9.0
2016-09-25,8.0
2016-09-26,6.0
2016-09-27,5.0
2016-09-28,5.0
2016-09-29,5.0
2016-09-30,5.0
2016-10-01,5.258985200845666
2016-10-02,4.299154334038055
2016-10-03,4.299154334038055
2016-10-04,3.839323467230444
2016-10-05,3.839323467230444
2016-10-06,3.839323467230444
2016-10-07,4.299154334038055
2016-10-08,5.258985200845666
2016-10-09,5.758985200845666
2016-10-10,4.799154334038055
2016-10-11,4.299154334038055
2016-10-12,3.839323467230444
2016-10-13,3.839323467230444
2016-10-14,4.799154334038055
2016-10-15,4.299154334038055
2016-10-16,4.299154334038055
2016-10-17,3.839323467230444
2016-10-18,3.839323467230444
2016-10-19,4.299154334038055
2016-10-20,4.799154334038055
2016-10-21,3.839323467230444
2016-10-22,5.258985200845666
2016-10-23,11.017970401691333
2016-10-24,6.218816067653277
2016-10-25,6.718816067653277
2016-10-26,4.799154334038055
2016-10-27,4.799154334038055
2016-10-28,44.57188160676533
2016-10-29,91.48308668076109
2016-10-30,62.30866807610994
2016-10-31,63.22832980972515
2016-11-01,43.112050739957716
2016-11-02,32.18816067653277
2016-11-03,22.99154334038055
2016-11-04,20.232558139534884
2016-11-05,16.553911205073994
2016-11-06,19.312896405919663
2016-11-07,13.79492600422833
2016-11-08,9.196617336152219
2016-11-09,11.035940803382664
2016-11-10,8.276955602536997
2016-11-11,6.437632135306554
2016-11-12,7.357293868921776
2016-11-13,6.437632135306554
2016-11-14,5.517970401691332
2016-11-15,5.517970401691332
2016-11-16,5.517970401691332
2016-11-17,5.517970401691332
2016-11-18,4.598308668076109
2016-11-19,4.598308668076109
2016-11-20,4.598308668076109
2016-11-21,3.678646934460888
2016-11-22,3.678646934460888
2016-11-23,3.678646934460888
2016-11-24,3.678646934460888
2016-11-25,3.678646934460888
2016-11-26,5.517970401691332
2016-11-27,5.517970401691332
2016-11-28,3.678646934460888
2016-11-29,4.598308668076109
2016-11-30,4.598308668076109
2016-12-01,3.678646934460888
2016-12-02,4.598308668076109
2016-12-03,3.678646934460888
2016-12-04,4.598308668076109
2016-12-05,4.598308668076109
2016-12-06,3.678646934460888
2016-12-07,4.598308668076109
2016-12-08,4.598308668076109
2016-12-09,3.678646934460888
2016-12-10,3.678646934460888
2016-12-11,3.678646934460888
2016-12-12,3.678646934460888
2016-12-13,3.678646934460888
2016-12-14,4.598308668076109
2016-12-15,3.678646934460888
2016-12-16,3.678646934460888
2016-12-17,4.598308668076109
2016-12-18,3.678646934460888
2016-12-19,3.678646934460888
2016-12-20,4.598308668076109
2016-12-21,4.598308668076109
2016-12-22,3.678646934460888
2016-12-23,3.678646934460888
2016-12-24,4.598308668076109
2016-12-25,3.678646934460888
2016-12-26,3.678646934460888
2016-12-27,3.678646934460888
2016-12-28,3.678646934460888
2016-12-29,4.598308668076109
2016-12-30,3.678646934460888
2016-12-31,4.598308668076109
2017-01-01,4.598308668076109
2017-01-02,3.678646934460888
2017-01-03,3.678646934460888
2017-01-04,3.678646934460888
2017-01-05,3.678646934460888
2017-01-06,3.678646934460888
2017-01-07,3.678646934460888
2017-01-08,3.678646934460888
2017-01-09,3.678646934460888
2017-01-10,3.678646934460888
2017-01-11,3.678646934460888
2017-01-12,3.678646934460888
2017-01-13,3.678646934460888
2017-01-14,3.678646934460888
2017-01-15,4.598308668076109
2017-01-16,5.517970401691332
2017-01-17,3.678646934460888
2017-01-18,3.678646934460888
2017-01-19,3.678646934460888
2017-01-20,3.678646934460888
2017-01-21,4.598308668076109
2017-01-22,3.678646934460888
2017-01-23,3.678646934460888
2017-01-24,3.678646934460888
2017-01-25,3.678646934460888
2017-01-26,3.678646934460888
2017-01-27,3.678646934460888
2017-01-28,3.678646934460888
2017-01-29,3.678646934460888
2017-01-30,3.678646934460888
2017-01-31,3.678646934460888
2017-02-01,6.437632135306554
2017-02-02,5.517970401691332
2017-02-03,4.598308668076109
2017-02-04,4.598308668076109
2017-02-05,7.357293868921776
2017-02-06,3.678646934460888
