date,trump moron
2016-12-18,0.0
2016-12-19,16.623217922606926
2016-12-20,8.311608961303463
2016-12-21,17.378818737270876
2016-12-22,26.44602851323829
2016-12-23,0.0
2016-12-24,20.40122199592668
2016-12-25,21.156822810590633
2016-12-26,0.0
2016-12-27,17.378818737270876
2016-12-28,9.067209775967413
2016-12-29,17.378818737270876
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,9.822810590631365
2017-01-02,8.311608961303463
2017-01-03,8.311608961303463
2017-01-04,24.179226069246436
2017-01-05,0.0
2017-01-06,8.311608961303463
2017-01-07,18.134419551934826
2017-01-08,45.336048879837065
2017-01-09,15.867617107942973
2017-01-10,15.867617107942973
2017-01-11,23.423625254582486
2017-01-12,15.867617107942973
2017-01-13,8.311608961303463
2017-01-14,27.20162932790224
2017-01-15,18.134419551934826
2017-01-16,30.979633401221996
2017-01-17,7.5560081466395115
2017-01-18,0.0
2017-01-19,15.867617107942973
2017-01-20,15.867617107942973
2017-01-21,36.26883910386965
2017-01-22,36.26883910386965
2017-01-23,7.5560081466395115
2017-01-24,23.423625254582486
2017-01-25,30.979633401221996
2017-01-26,31.735234215885946
2017-01-27,16.623217922606926
2017-01-28,27.20162932790224
2017-01-29,27.20162932790224
2017-01-30,39.29124236252546
2017-01-31,7.5560081466395115
2017-02-01,7.5560081466395115
2017-02-02,7.5560081466395115
2017-02-03,15.867617107942973
2017-02-04,9.067209775967413
2017-02-05,9.067209775967413
2017-02-06,7.5560081466395115
2017-02-07,30.979633401221996
2017-02-08,0.0
2017-02-09,30.979633401221996
2017-02-10,15.867617107942973
2017-02-11,9.067209775967413
2017-02-12,9.067209775967413
2017-02-13,7.5560081466395115
2017-02-14,23.423625254582486
2017-02-15,7.5560081466395115
2017-02-16,15.867617107942973
2017-02-17,16.623217922606926
2017-02-18,0.0
2017-02-19,54.40325865580448
2017-02-20,7.5560081466395115
2017-02-21,0.0
2017-02-22,7.5560081466395115
2017-02-23,7.5560081466395115
2017-02-24,16.623217922606926
2017-02-25,9.067209775967413
2017-02-26,9.067209775967413
2017-02-27,7.5560081466395115
2017-02-28,0.0
2017-03-01,17.78538172705405
2017-03-02,3.7780040733197557
2017-03-03,0.0
2017-03-04,5.775060135944951
2017-03-05,12.426212986011583
2017-03-06,16.089944096619814
2017-03-07,9.851573173082564
2017-03-08,21.18558539304183
2017-03-09,10.572192468549112
2017-03-10,7.552898678266409
2017-03-11,3.736803617376145
2017-03-12,8.270408505359852
2017-03-13,7.175098270934433
2017-03-14,10.232483048787643
2017-03-15,8.533935949980304
2017-03-16,17.788491195427152
2017-03-17,25.11906288501672
2017-03-18,14.045468641304803
2017-03-19,22.73487800994024
2017-03-20,17.407581319722077
2017-03-21,18.16629160275913
2017-03-22,6.835388851172965
2017-03-23,6.794188395229355
2017-03-24,7.552898678266409
2017-03-25,8.610117925121319
2017-03-26,0.0
2017-03-27,6.454478975467887
2017-03-28,9.851573173082564
2017-03-29,0.0
2017-03-30,3.3970941976146776
2017-03-31,13.40725025772548
2017-04-01,9.067209775967413
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,10.191282592844033
2017-04-05,0.0
2017-04-06,16.985470988073388
2017-04-07,14.267795629981645
2017-04-08,15.626633309027516
2017-04-09,8.153026074275225
2017-04-10,0.0
2017-04-11,13.58837679045871
2017-04-12,6.794188395229355
2017-04-13,0.0
2017-04-14,15.626633309027516
2017-04-15,8.153026074275225
2017-04-16,8.153026074275225
2017-04-17,6.794188395229355
2017-04-18,19.703146346165127
2017-04-19,6.794188395229355
2017-04-20,10.191282592844033
2017-04-21,10.870701432366968
2017-04-22,15.626633309027516
2017-04-23,7.47360723475229
2017-04-24,13.58837679045871
2017-04-25,13.58837679045871
2017-04-26,12.908957950935774
2017-04-27,13.58837679045871
2017-04-28,6.794188395229355
2017-04-29,8.153026074275225
2017-04-30,12.229539111412839
2017-05-01,18.344308667119257
2017-05-02,26.497334741394482
2017-05-03,12.908957950935774
2017-05-04,6.794188395229355
2017-05-05,13.58837679045871
2017-05-06,0.0
2017-05-07,8.153026074275225
2017-05-08,10.191282592844033
2017-05-09,13.58837679045871
2017-05-10,6.794188395229355
2017-05-11,6.794188395229355
2017-05-12,17.664889827596323
2017-05-13,8.153026074275225
2017-05-14,8.153026074275225
2017-05-15,13.58837679045871
2017-05-16,27.17675358091742
2017-05-17,10.191282592844033
2017-05-18,10.191282592844033
2017-05-19,21.061984025211
2017-05-20,59.78885787801832
2017-05-21,8.153026074275225
2017-05-22,6.794188395229355
2017-05-23,13.58837679045871
2017-05-24,13.58837679045871
2017-05-25,17.664889827596323
2017-05-26,21.741402864733935
2017-05-27,28.53559125996329
2017-05-28,8.153026074275225
2017-05-29,6.794188395229355
2017-05-30,16.985470988073388
2017-05-31,6.794188395229355
2017-06-01,38.047455013284385
2017-06-02,67.94188395229355
2017-06-03,12.229539111412839
