date,president obama suit
2016-12-25,0.0
2016-12-26,29.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,24.0
2017-01-10,0.0
2017-01-11,49.0
2017-01-12,0.0
2017-01-13,25.0
2017-01-14,28.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,24.0
2017-01-19,0.0
2017-01-20,100.0
2017-01-21,28.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,25.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,49.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,28.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,48.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,57.0
2017-02-12,28.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,28.0
2017-02-20,25.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,12.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,3.540415704387991
2017-03-07,3.456120092378753
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,4.046189376443419
2017-03-13,0.0
2017-03-14,15.540415704387991
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,16.209006928406467
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,3.540415704387991
2017-03-22,0.0
2017-03-23,3.624711316397229
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,3.540415704387991
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,3.709006928406467
2017-03-31,3.793302540415705
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,7.249422632794458
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,16.859122401847575
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,7.249422632794458
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,7.58660508083141
2017-04-22,8.598152424942263
2017-04-23,0.0
2017-04-24,7.418013856812934
2017-04-25,14.498845265588916
2017-04-26,7.080831408775982
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,8.598152424942263
2017-05-14,8.76674364896074
2017-05-15,0.0
2017-05-16,7.418013856812934
2017-05-17,7.249422632794458
2017-05-18,0.0
2017-05-19,7.58660508083141
2017-05-20,0.0
2017-05-21,8.598152424942263
2017-05-22,0.0
2017-05-23,7.249422632794458
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,7.418013856812934
2017-06-02,0.0
2017-06-03,0.0
