date,donald trump unfit
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,11.0
2016-12-14,0.0
2016-12-15,12.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,12.0
2016-12-22,12.0
2016-12-23,0.0
2016-12-24,14.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,14.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,12.0
2017-01-07,0.0
2017-01-08,13.0
2017-01-09,11.0
2017-01-10,11.0
2017-01-11,11.0
2017-01-12,11.0
2017-01-13,11.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,11.0
2017-01-17,11.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,13.0
2017-01-22,13.0
2017-01-23,11.0
2017-01-24,11.0
2017-01-25,11.0
2017-01-26,11.0
2017-01-27,11.0
2017-01-28,0.0
2017-01-29,37.0
2017-01-30,11.0
2017-01-31,22.0
2017-02-01,11.0
2017-02-02,11.0
2017-02-03,0.0
2017-02-04,13.0
2017-02-05,0.0
2017-02-06,11.0
2017-02-07,16.0
2017-02-08,32.0
2017-02-09,0.0
2017-02-10,11.0
2017-02-11,13.0
2017-02-12,0.0
2017-02-13,11.0
2017-02-14,0.0
2017-02-15,11.0
2017-02-16,11.0
2017-02-17,23.0
2017-02-18,13.0
2017-02-19,13.0
2017-02-20,0.0
2017-02-21,32.0
2017-02-22,11.0
2017-02-23,11.0
2017-02-24,11.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,15.29951690821256
2017-03-05,16.64975845410628
2017-03-06,22.090177133655395
2017-03-07,11.55877616747182
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,9.727053140096618
2017-03-11,6.0
2017-03-12,4.64975845410628
2017-03-13,9.586151368760063
2017-03-14,0.0
2017-03-15,5.5
2017-03-16,0.0
2017-03-17,9.727053140096618
2017-03-18,4.64975845410628
2017-03-19,4.64975845410628
2017-03-20,0.0
2017-03-21,5.5
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,20.235909822866343
2017-03-25,4.790660225442834
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,9.727053140096618
2017-03-30,0.0
2017-03-31,9.867954911433172
2017-04-01,4.790660225442834
2017-04-02,0.0
2017-04-03,16.626409017713364
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,9.863123993558775
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,8.735909822866343
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,8.735909822866343
2017-04-22,9.863123993558775
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,8.735909822866343
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,16.626409017713364
2017-05-03,8.172302737520129
2017-05-04,0.0
2017-05-05,8.454106280193235
2017-05-06,9.863123993558775
2017-05-07,9.863123993558775
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,8.454106280193235
2017-05-11,8.454106280193235
2017-05-12,8.735909822866343
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,8.454106280193235
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,9.863123993558775
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,8.454106280193235
2017-06-02,0.0
2017-06-03,0.0
