date,hillary bankrupt
2016-05-01,13.155807365439093
2016-05-02,11.206798866855523
2016-05-03,11.206798866855523
2016-05-04,11.206798866855523
2016-05-05,0.0
2016-05-06,23.875354107648725
2016-05-07,0.0
2016-05-08,13.155807365439093
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,11.206798866855523
2016-05-13,11.694050991501417
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,11.206798866855523
2016-05-18,0.0
2016-05-19,11.206798866855523
2016-05-20,0.0
2016-05-21,13.643059490084985
2016-05-22,0.0
2016-05-23,11.206798866855523
2016-05-24,11.206798866855523
2016-05-25,22.413597733711047
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,11.694050991501417
2016-05-31,11.206798866855523
2016-06-01,0.0
2016-06-02,22.413597733711047
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,22.900849858356942
2016-06-09,0.0
2016-06-10,12.181303116147308
2016-06-11,13.155807365439093
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,17.053824362606232
2016-06-17,0.0
2016-06-18,27.28611898016997
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,22.413597733711047
2016-06-22,11.206798866855523
2016-06-23,11.694050991501417
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,13.155807365439093
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,22.900849858356942
2016-06-30,11.694050991501417
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,23.875354107648725
2016-07-05,0.0
2016-07-06,29.722379603399432
2016-07-07,18.02832861189802
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,11.694050991501417
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,11.694050991501417
2016-07-16,0.0
2016-07-17,13.643059490084985
2016-07-18,0.0
2016-07-19,11.694050991501417
2016-07-20,17.541076487252123
2016-07-21,0.0
2016-07-22,12.181303116147308
2016-07-23,0.0
2016-07-24,13.643059490084985
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,28.74787535410765
2016-07-28,0.0
2016-07-29,42.390934844192635
2016-07-30,27.773371104815865
2016-07-31,13.643059490084985
2016-08-01,11.694050991501417
2016-08-02,0.0
2016-08-03,17.541076487252123
2016-08-04,11.694050991501417
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,27.28611898016997
2016-08-08,11.694050991501417
2016-08-09,11.206798866855523
2016-08-10,11.694050991501417
2016-08-11,0.0
2016-08-12,12.181303116147308
2016-08-13,0.0
2016-08-14,13.643059490084985
2016-08-15,12.181303116147308
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,11.694050991501417
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,11.206798866855523
2016-08-23,11.694050991501417
2016-08-24,11.694050991501417
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,11.206798866855523
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
