date,hanukkah
2016-05-01,0.34760383386581467
2016-05-02,0.34760383386581467
2016-05-03,0.3910543130990415
2016-05-04,0.3910543130990415
2016-05-05,0.32587859424920124
2016-05-06,0.4127795527156549
2016-05-07,0.34760383386581467
2016-05-08,0.21725239616613418
2016-05-09,0.30415335463258786
2016-05-10,0.32587859424920124
2016-05-11,0.3910543130990415
2016-05-12,0.34760383386581467
2016-05-13,0.3910543130990415
2016-05-14,0.21725239616613418
2016-05-15,0.34760383386581467
2016-05-16,0.2824281150159744
2016-05-17,0.4127795527156549
2016-05-18,0.4127795527156549
2016-05-19,0.34760383386581467
2016-05-20,0.32587859424920124
2016-05-21,0.30415335463258786
2016-05-22,0.30415335463258786
2016-05-23,0.32587859424920124
2016-05-24,0.3910543130990415
2016-05-25,0.3910543130990415
2016-05-26,0.5865814696485623
2016-05-27,0.3910543130990415
2016-05-28,0.23897763578274758
2016-05-29,0.3910543130990415
2016-05-30,0.21725239616613418
2016-05-31,0.3693290734824281
2016-06-01,0.32587859424920124
2016-06-02,0.30415335463258786
2016-06-03,0.23897763578274758
2016-06-04,0.23897763578274758
2016-06-05,0.3693290734824281
2016-06-06,0.32587859424920124
2016-06-07,0.32587859424920124
2016-06-08,0.34760383386581467
2016-06-09,0.260702875399361
2016-06-10,0.260702875399361
2016-06-11,0.23897763578274758
2016-06-12,0.260702875399361
2016-06-13,0.30415335463258786
2016-06-14,0.32587859424920124
2016-06-15,0.260702875399361
2016-06-16,0.21725239616613418
2016-06-17,0.2824281150159744
2016-06-18,0.23897763578274758
2016-06-19,0.30415335463258786
2016-06-20,0.30415335463258786
2016-06-21,0.3693290734824281
2016-06-22,0.30415335463258786
2016-06-23,0.2824281150159744
2016-06-24,0.30415335463258786
2016-06-25,0.23897763578274758
2016-06-26,0.260702875399361
2016-06-27,0.260702875399361
2016-06-28,0.30415335463258786
2016-06-29,0.23897763578274758
2016-06-30,0.34760383386581467
2016-07-01,0.32587859424920124
2016-07-02,0.34760383386581467
2016-07-03,0.5648562300319488
2016-07-04,0.43450479233226835
2016-07-05,0.21725239616613418
2016-07-06,0.45623003194888173
2016-07-07,0.45623003194888173
2016-07-08,0.2824281150159744
2016-07-09,0.32587859424920124
2016-07-10,0.34760383386581467
2016-07-11,0.43450479233226835
2016-07-12,0.2824281150159744
2016-07-13,0.32587859424920124
2016-07-14,0.3693290734824281
2016-07-15,0.260702875399361
2016-07-16,0.34760383386581467
2016-07-17,0.32587859424920124
2016-07-18,0.2824281150159744
2016-07-19,0.32587859424920124
2016-07-20,0.34760383386581467
2016-07-21,0.32587859424920124
2016-07-22,0.3693290734824281
2016-07-23,0.2824281150159744
2016-07-24,0.2824281150159744
2016-07-25,0.30415335463258786
2016-07-26,0.2824281150159744
2016-07-27,0.34760383386581467
2016-07-28,0.3910543130990415
2016-07-29,0.34760383386581467
2016-07-30,0.34760383386581467
2016-07-31,0.260702875399361
2016-08-01,0.3910543130990415
2016-08-02,0.4127795527156549
2016-08-03,0.3910543130990415
2016-08-04,0.30415335463258786
2016-08-05,0.3693290734824281
2016-08-06,0.3910543130990415
2016-08-07,0.30415335463258786
2016-08-08,0.32587859424920124
2016-08-09,0.34760383386581467
2016-08-10,0.45623003194888173
2016-08-11,0.47795527156549517
2016-08-12,0.3693290734824281
2016-08-13,0.260702875399361
2016-08-14,0.3910543130990415
2016-08-15,0.4127795527156549
2016-08-16,0.45623003194888173
2016-08-17,0.3693290734824281
2016-08-18,0.43450479233226835
2016-08-19,0.4127795527156549
2016-08-20,0.30415335463258786
2016-08-21,0.34760383386581467
2016-08-22,0.45623003194888173
2016-08-23,0.5648562300319488
2016-08-24,0.4127795527156549
2016-08-25,0.4996805111821086
2016-08-26,0.3910543130990415
2016-08-27,0.47795527156549517
2016-08-28,0.4996805111821086
2016-08-29,0.47795527156549517
2016-08-30,0.521405750798722
2016-08-31,0.47795527156549517
2016-09-01,0.5431309904153354
2016-09-02,0.45623003194888173
2016-09-03,0.45623003194888173
2016-09-04,0.521405750798722
2016-09-05,0.521405750798722
2016-09-06,0.47795527156549517
2016-09-07,0.5865814696485623
2016-09-08,0.5431309904153354
2016-09-09,0.630031948881789
2016-09-10,0.6517571884984025
2016-09-11,0.6952076677316293
2016-09-12,0.6734824281150159
2016-09-13,0.630031948881789
2016-09-14,0.630031948881789
2016-09-15,0.6083067092651757
2016-09-16,0.5648562300319488
2016-09-17,0.5648562300319488
2016-09-18,0.5865814696485623
2016-09-19,0.6083067092651757
2016-09-20,0.6517571884984025
2016-09-21,0.6083067092651757
2016-09-22,0.6517571884984025
2016-09-23,0.6517571884984025
2016-09-24,0.521405750798722
2016-09-25,0.6083067092651757
2016-09-26,0.7386581469648562
2016-09-27,0.7603833865814696
2016-09-28,0.6517571884984025
2016-09-29,0.6952076677316293
2016-09-30,0.7169329073482428
2016-10-01,0.8693290734824282
2016-10-02,1.0757188498402557
2016-10-03,1.0757188498402557
2016-10-04,1.053993610223642
2016-10-05,0.9345047923322684
2016-10-06,0.9453674121405751
2016-10-07,0.8584664536741213
2016-10-08,0.8041533546325879
2016-10-09,0.9236421725239616
2016-10-10,0.8910543130990415
2016-10-11,1.1191693290734825
2016-10-12,1.021405750798722
2016-10-13,1.0105431309904152
2016-10-14,1.0105431309904152
2016-10-15,0.9236421725239616
2016-10-16,0.9888178913738019
2016-10-17,0.9345047923322684
2016-10-18,0.9670926517571885
2016-10-19,1.130031948881789
2016-10-20,0.9670926517571885
2016-10-21,0.9670926517571885
2016-10-22,0.8801916932907348
