date,abedin huma
2016-12-13,0.995475113122172
2016-12-14,1.990950226244344
2016-12-15,2.986425339366516
2016-12-16,2.986425339366516
2016-12-17,1.990950226244344
2016-12-18,2.986425339366516
2016-12-19,4.97737556561086
2016-12-20,2.986425339366516
2016-12-21,2.986425339366516
2016-12-22,1.990950226244344
2016-12-23,0.995475113122172
2016-12-24,0.995475113122172
2016-12-25,0.995475113122172
2016-12-26,0.995475113122172
2016-12-27,0.995475113122172
2016-12-28,0.995475113122172
2016-12-29,0.995475113122172
2016-12-30,0.995475113122172
2016-12-31,0.995475113122172
2017-01-01,0.995475113122172
2017-01-02,0.995475113122172
2017-01-03,0.995475113122172
2017-01-04,0.995475113122172
2017-01-05,0.995475113122172
2017-01-06,0.995475113122172
2017-01-07,0.995475113122172
2017-01-08,0.995475113122172
2017-01-09,0.995475113122172
2017-01-10,0.995475113122172
2017-01-11,0.995475113122172
2017-01-12,0.995475113122172
2017-01-13,0.995475113122172
2017-01-14,0.995475113122172
2017-01-15,0.995475113122172
2017-01-16,0.995475113122172
2017-01-17,0.995475113122172
2017-01-18,0.995475113122172
2017-01-19,0.995475113122172
2017-01-20,1.990950226244344
2017-01-21,3.981900452488688
2017-01-22,0.995475113122172
2017-01-23,0.995475113122172
2017-01-24,0.995475113122172
2017-01-25,0.995475113122172
2017-01-26,0.995475113122172
2017-01-27,0.995475113122172
2017-01-28,0.995475113122172
2017-01-29,0.995475113122172
2017-01-30,0.0
2017-01-31,0.995475113122172
2017-02-01,0.995475113122172
2017-02-02,0.995475113122172
2017-02-03,0.995475113122172
2017-02-04,0.995475113122172
2017-02-05,0.995475113122172
2017-02-06,0.995475113122172
2017-02-07,0.995475113122172
2017-02-08,0.0
2017-02-09,0.995475113122172
2017-02-10,0.995475113122172
2017-02-11,0.995475113122172
2017-02-12,0.995475113122172
2017-02-13,0.995475113122172
2017-02-14,0.995475113122172
2017-02-15,0.0
2017-02-16,0.995475113122172
2017-02-17,0.995475113122172
2017-02-18,0.995475113122172
2017-02-19,0.995475113122172
2017-02-20,0.995475113122172
2017-02-21,0.995475113122172
2017-02-22,0.995475113122172
2017-02-23,0.0
2017-02-24,0.995475113122172
2017-02-25,0.995475113122172
2017-02-26,0.995475113122172
2017-02-27,0.0
2017-02-28,0.995475113122172
2017-03-01,0.2171945701357466
2017-03-02,0.2171945701357466
2017-03-03,0.8235294117647058
2017-03-04,0.9321266968325792
2017-03-05,0.7149321266968326
2017-03-06,0.2171945701357466
2017-03-07,0.2171945701357466
2017-03-08,0.2171945701357466
2017-03-09,0.7149321266968326
2017-03-10,0.7149321266968326
2017-03-11,0.2171945701357466
2017-03-12,0.2171945701357466
2017-03-13,0.2171945701357466
2017-03-14,0.8235294117647058
2017-03-15,0.2171945701357466
2017-03-16,0.3257918552036199
2017-03-17,0.9321266968325792
2017-03-18,0.9321266968325792
2017-03-19,0.8235294117647058
2017-03-20,1.0407239819004526
2017-03-21,1.1493212669683257
2017-03-22,0.8235294117647058
2017-03-23,0.8235294117647058
2017-03-24,0.8235294117647058
2017-03-25,0.7149321266968326
2017-03-26,2.081447963800905
2017-03-27,2.6877828054298645
2017-03-28,1.1493212669683257
2017-03-29,0.8235294117647058
2017-03-30,0.9321266968325792
2017-03-31,0.9321266968325792
2017-04-01,0.2171945701357466
2017-04-02,0.4343891402714932
2017-04-03,0.4343891402714932
2017-04-04,0.4343891402714932
2017-04-05,0.2171945701357466
2017-04-06,0.4343891402714932
2017-04-07,0.4343891402714932
2017-04-08,0.2171945701357466
2017-04-09,0.2171945701357466
2017-04-10,0.4343891402714932
2017-04-11,0.2171945701357466
2017-04-12,0.2171945701357466
