date,senile
2016-05-01,47.608695652173914
2016-05-02,71.41304347826087
2016-05-03,67.44565217391305
2016-05-04,62.486413043478265
2016-05-05,81.33152173913044
2016-05-06,57.52717391304348
2016-05-07,32.73097826086956
2016-05-08,56.53532608695652
2016-05-09,51.57608695652174
2016-05-10,66.4538043478261
2016-05-11,73.39673913043478
2016-05-12,47.608695652173914
2016-05-13,48.60054347826087
2016-05-14,40.66576086956522
2016-05-15,43.641304347826086
2016-05-16,71.41304347826087
2016-05-17,66.4538043478261
2016-05-18,73.39673913043478
2016-05-19,69.42934782608695
2016-05-20,51.57608695652174
2016-05-21,81.33152173913044
2016-05-22,39.673913043478265
2016-05-23,54.55163043478261
2016-05-24,45.625
2016-05-25,69.42934782608695
2016-05-26,64.47010869565217
2016-05-27,64.47010869565217
2016-05-28,47.608695652173914
2016-05-29,75.3804347826087
2016-05-30,65.46195652173913
2016-05-31,76.37228260869566
2016-06-01,82.32336956521739
2016-06-02,64.47010869565217
2016-06-03,75.3804347826087
2016-06-04,39.673913043478265
2016-06-05,54.55163043478261
2016-06-06,77.36413043478261
2016-06-07,59.51086956521739
2016-06-08,49.59239130434783
2016-06-09,63.47826086956522
2016-06-10,65.46195652173913
2016-06-11,54.55163043478261
2016-06-12,69.42934782608695
2016-06-13,65.46195652173913
2016-06-14,55.54347826086956
2016-06-15,75.3804347826087
2016-06-16,57.52717391304348
2016-06-17,49.59239130434783
2016-06-18,74.38858695652173
2016-06-19,52.567934782608695
2016-06-20,68.4375
2016-06-21,73.39673913043478
2016-06-22,64.47010869565217
2016-06-23,65.46195652173913
2016-06-24,61.494565217391305
2016-06-25,62.486413043478265
2016-06-26,57.52717391304348
2016-06-27,60.50271739130435
2016-06-28,62.486413043478265
2016-06-29,67.44565217391305
2016-06-30,68.4375
2016-07-01,59.51086956521739
2016-07-02,50.58423913043478
2016-07-03,45.625
2016-07-04,52.567934782608695
2016-07-05,46.61684782608696
2016-07-06,69.42934782608695
2016-07-07,60.50271739130435
2016-07-08,48.60054347826087
2016-07-09,39.673913043478265
2016-07-10,53.559782608695656
2016-07-11,76.37228260869566
2016-07-12,73.39673913043478
2016-07-13,78.35597826086956
2016-07-14,83.31521739130434
2016-07-15,57.52717391304348
2016-07-16,43.641304347826086
2016-07-17,65.46195652173913
2016-07-18,63.47826086956522
2016-07-19,70.42119565217392
2016-07-20,66.4538043478261
2016-07-21,58.51902173913044
2016-07-22,56.53532608695652
2016-07-23,59.51086956521739
2016-07-24,44.63315217391305
2016-07-25,67.44565217391305
2016-07-26,45.625
2016-07-27,49.59239130434783
2016-07-28,82.32336956521739
2016-07-29,80.33967391304348
2016-07-30,70.42119565217392
2016-07-31,43.641304347826086
2016-08-01,70.42119565217392
2016-08-02,69.42934782608695
2016-08-03,54.55163043478261
2016-08-04,68.4375
2016-08-05,91.25
2016-08-06,73.39673913043478
2016-08-07,56.53532608695652
2016-08-08,80.33967391304348
2016-08-09,86.29076086956522
2016-08-10,63.47826086956522
2016-08-11,58.51902173913044
2016-08-12,57.52717391304348
2016-08-13,43.641304347826086
2016-08-14,48.60054347826087
2016-08-15,44.63315217391305
2016-08-16,66.4538043478261
2016-08-17,83.31521739130434
2016-08-18,78.35597826086956
2016-08-19,63.47826086956522
2016-08-20,66.4538043478261
2016-08-21,52.567934782608695
2016-08-22,56.53532608695652
2016-08-23,58.51902173913044
2016-08-24,65.46195652173913
2016-08-25,81.33152173913044
2016-08-26,99.18478260869566
2016-08-27,52.567934782608695
2016-08-28,65.46195652173913
2016-08-29,62.486413043478265
2016-08-30,61.494565217391305
2016-08-31,64.47010869565217
2016-09-01,57.52717391304348
2016-09-02,56.53532608695652
2016-09-03,69.42934782608695
2016-09-04,62.486413043478265
2016-09-05,62.486413043478265
2016-09-06,70.42119565217392
2016-09-07,64.47010869565217
2016-09-08,69.42934782608695
2016-09-09,73.39673913043478
2016-09-10,54.55163043478261
2016-09-11,71.41304347826087
2016-09-12,55.54347826086956
2016-09-13,93.23369565217392
2016-09-14,84.30706521739131
2016-09-15,61.494565217391305
2016-09-16,73.39673913043478
2016-09-17,51.57608695652174
2016-09-18,51.57608695652174
2016-09-19,83.31521739130434
2016-09-20,80.33967391304348
2016-09-21,76.37228260869566
2016-09-22,76.37228260869566
2016-09-23,52.567934782608695
2016-09-24,71.41304347826087
2016-09-25,72.40489130434783
2016-09-26,69.42934782608695
2016-09-27,72.40489130434783
2016-09-28,72.40489130434783
2016-09-29,57.52717391304348
2016-09-30,67.44565217391305
2016-10-01,63.255434782608695
2016-10-02,43.37364130434783
2016-10-03,64.75951086956522
2016-10-04,74.16168478260869
2016-10-05,50.81657608695652
2016-10-06,68.21467391304347
2016-10-07,68.21467391304347
2016-10-08,83.16983695652175
2016-10-09,67.71467391304347
2016-10-10,73.69429347826087
2016-10-11,83.65760869565217
2016-10-12,76.18206521739131
2016-10-13,84.14538043478261
2016-10-14,76.18206521739131
2016-10-15,56.275815217391305
2016-10-16,52.81657608695652
2016-10-17,70.72282608695653
2016-10-18,72.2024456521739
2016-10-19,66.69836956521739
2016-10-20,72.20652173913044
2016-10-21,71.67798913043478
2016-10-22,68.70652173913044
2016-10-23,66.71467391304347
2016-10-24,62.75135869565217
2016-10-25,64.23913043478261
2016-10-26,81.16983695652175
2016-10-27,65.71467391304347
2016-10-28,83.64945652173913
2016-10-29,62.235054347826086
2016-10-30,65.71875
2016-10-31,61.73913043478261
2016-11-01,67.21875
2016-11-02,69.0
2016-11-03,72.0
2016-11-04,82.0
2016-11-05,73.0
