date,steak
2016-05-01,68.52515440566953
2016-05-02,46.27672765058202
2016-05-03,46.27672765058202
2016-05-04,47.16666472078551
2016-05-05,48.946538861192515
2016-05-06,48.05660179098901
2016-05-07,64.96540612485552
2016-05-08,75.64465096729752
2016-05-09,48.05660179098901
2016-05-10,45.386790580378516
2016-05-11,45.386790580378516
2016-05-12,44.496853510175015
2016-05-13,47.16666472078551
2016-05-14,60.51572077383802
2016-05-15,64.07546905465202
2016-05-16,47.16666472078551
2016-05-17,46.27672765058202
2016-05-18,46.27672765058202
2016-05-19,45.386790580378516
2016-05-20,48.05660179098901
2016-05-21,60.51572077383802
2016-05-22,65.85534319505902
2016-05-23,47.16666472078551
2016-05-24,46.27672765058202
2016-05-25,47.16666472078551
2016-05-26,47.16666472078551
2016-05-27,49.83647593139601
2016-05-28,60.51572077383802
2016-05-29,64.07546905465202
2016-05-30,58.73584663343102
2016-05-31,46.27672765058202
2016-06-01,45.386790580378516
2016-06-02,47.16666472078551
2016-06-03,47.16666472078551
2016-06-04,59.62578370363452
2016-06-05,64.96540612485552
2016-06-06,47.16666472078551
2016-06-07,47.16666472078551
2016-06-08,49.83647593139601
2016-06-09,48.946538861192515
2016-06-10,49.83647593139601
2016-06-11,62.295594914245015
2016-06-12,66.74528026526251
2016-06-13,48.05660179098901
2016-06-14,49.83647593139601
2016-06-15,48.05660179098901
2016-06-16,50.72641300159951
2016-06-17,53.396224212210015
2016-06-18,70.30502854607653
2016-06-19,88.99370702035003
2016-06-20,51.61635007180302
2016-06-21,48.05660179098901
2016-06-22,48.05660179098901
2016-06-23,47.16666472078551
2016-06-24,48.946538861192515
2016-06-25,62.295594914245015
2016-06-26,64.96540612485552
2016-06-27,46.27672765058202
2016-06-28,48.946538861192515
2016-06-29,49.83647593139601
2016-06-30,48.946538861192515
2016-07-01,53.396224212210015
2016-07-02,64.96540612485552
2016-07-03,68.52515440566953
2016-07-04,61.40565784404152
2016-07-05,48.946538861192515
2016-07-06,49.83647593139601
2016-07-07,49.83647593139601
2016-07-08,49.83647593139601
2016-07-09,64.07546905465202
2016-07-10,64.07546905465202
2016-07-11,48.946538861192515
2016-07-12,47.16666472078551
2016-07-13,48.946538861192515
2016-07-14,48.946538861192515
2016-07-15,49.83647593139601
2016-07-16,63.18553198444852
2016-07-17,65.85534319505902
2016-07-18,49.83647593139601
2016-07-19,48.05660179098901
2016-07-20,48.05660179098901
2016-07-21,47.16666472078551
2016-07-22,49.83647593139601
2016-07-23,63.18553198444852
2016-07-24,65.85534319505902
2016-07-25,49.83647593139601
2016-07-26,48.05660179098901
2016-07-27,48.05660179098901
2016-07-28,48.05660179098901
2016-07-29,50.72641300159951
2016-07-30,64.96540612485552
2016-07-31,64.96540612485552
2016-08-01,48.946538861192515
2016-08-02,48.05660179098901
2016-08-03,48.946538861192515
2016-08-04,48.05660179098901
2016-08-05,49.83647593139601
2016-08-06,58.73584663343102
2016-08-07,63.18553198444852
2016-08-08,48.05660179098901
2016-08-09,45.386790580378516
2016-08-10,46.27672765058202
2016-08-11,47.16666472078551
2016-08-12,47.16666472078551
2016-08-13,60.51572077383802
2016-08-14,64.07546905465202
2016-08-15,49.83647593139601
2016-08-16,45.386790580378516
2016-08-17,47.16666472078551
2016-08-18,45.386790580378516
2016-08-19,48.946538861192515
2016-08-20,60.51572077383802
2016-08-21,61.40565784404152
2016-08-22,46.27672765058202
2016-08-23,46.27672765058202
2016-08-24,46.27672765058202
2016-08-25,47.16666472078551
2016-08-26,48.946538861192515
2016-08-27,60.51572077383802
2016-08-28,64.07546905465202
2016-08-29,46.27672765058202
2016-08-30,45.386790580378516
2016-08-31,45.386790580378516
2016-09-01,42.71697936976801
2016-09-02,46.27672765058202
2016-09-03,61.40565784404152
2016-09-04,63.18553198444852
2016-09-05,58.73584663343102
2016-09-06,44.496853510175015
2016-09-07,44.496853510175015
2016-09-08,44.496853510175015
2016-09-09,47.16666472078551
2016-09-10,59.62578370363452
2016-09-11,60.51572077383802
2016-09-12,51.61635007180302
2016-09-13,48.05660179098901
2016-09-14,46.27672765058202
2016-09-15,45.386790580378516
2016-09-16,48.05660179098901
2016-09-17,61.40565784404152
2016-09-18,59.62578370363452
2016-09-19,44.496853510175015
2016-09-20,42.71697936976801
2016-09-21,43.606916439971506
2016-09-22,42.71697936976801
2016-09-23,45.386790580378516
2016-09-24,57.84590956322752
2016-09-25,59.62578370363452
2016-09-26,43.606916439971506
2016-09-27,42.71697936976801
2016-09-28,42.71697936976801
2016-09-29,43.606916439971506
2016-09-30,45.386790580378516
2016-10-01,58.06895424455056
2016-10-02,57.62398570944881
2016-10-03,44.516467992200916
2016-10-04,43.57665409627442
2016-10-05,42.19187166524617
2016-10-06,42.636840200347926
2016-10-07,44.516467992200916
2016-10-08,59.05864496620004
2016-10-09,59.5036135013018
2016-10-10,45.90125042322915
2016-10-11,45.4562818881274
2016-10-12,46.84106431915564
2016-10-13,44.02162263137617
2016-10-14,46.89094114487863
2016-10-15,60.44342739722829
2016-10-16,61.38324129315478
2016-10-17,47.33590967998038
2016-10-18,46.84106431915564
2016-10-19,45.4562818881274
2016-10-20,43.57665409627442
2016-10-21,46.84106431915564
2016-10-22,59.55349032702479
2016-10-23,58.11883107027356
2016-10-24,45.011313353025656
2016-10-25,44.07149945709916
2016-10-26,43.13168556117267
2016-10-27,44.02162263137617
2016-10-28,44.02162263137617
2016-10-29,56.68417181352231
2016-10-30,59.5036135013018
2016-10-31,41.252057769319684
2016-11-01,43.57665409627442
2016-11-02,45.52577319587629
