date,treason
2016-05-01,14.64941569282137
2016-05-02,13.67278797996661
2016-05-03,18.5559265442404
2016-05-04,16.602671118530886
2016-05-05,15.626043405676127
2016-05-06,14.64941569282137
2016-05-07,10.742904841402337
2016-05-08,17.579298831385643
2016-05-09,14.64941569282137
2016-05-10,12.696160267111853
2016-05-11,12.696160267111853
2016-05-12,13.67278797996661
2016-05-13,13.67278797996661
2016-05-14,11.719532554257095
2016-05-15,14.64941569282137
2016-05-16,13.67278797996661
2016-05-17,11.719532554257095
2016-05-18,16.602671118530886
2016-05-19,15.626043405676127
2016-05-20,12.696160267111853
2016-05-21,12.696160267111853
2016-05-22,12.696160267111853
2016-05-23,15.626043405676127
2016-05-24,18.5559265442404
2016-05-25,13.67278797996661
2016-05-26,12.696160267111853
2016-05-27,14.64941569282137
2016-05-28,11.719532554257095
2016-05-29,14.64941569282137
2016-05-30,12.696160267111853
2016-05-31,17.579298831385643
2016-06-01,18.5559265442404
2016-06-02,16.602671118530886
2016-06-03,11.719532554257095
2016-06-04,12.696160267111853
2016-06-05,11.719532554257095
2016-06-06,12.696160267111853
2016-06-07,10.742904841402337
2016-06-08,12.696160267111853
2016-06-09,10.742904841402337
2016-06-10,10.742904841402337
2016-06-11,12.696160267111853
2016-06-12,13.67278797996661
2016-06-13,14.64941569282137
2016-06-14,17.579298831385643
2016-06-15,14.64941569282137
2016-06-16,13.67278797996661
2016-06-17,11.719532554257095
2016-06-18,13.67278797996661
2016-06-19,12.696160267111853
2016-06-20,12.696160267111853
2016-06-21,10.742904841402337
2016-06-22,12.696160267111853
2016-06-23,10.742904841402337
2016-06-24,12.696160267111853
2016-06-25,12.696160267111853
2016-06-26,10.742904841402337
2016-06-27,14.64941569282137
2016-06-28,15.626043405676127
2016-06-29,8.789649415692821
2016-06-30,13.67278797996661
2016-07-01,12.696160267111853
2016-07-02,15.626043405676127
2016-07-03,12.696160267111853
2016-07-04,45.90150250417362
2016-07-05,41.99499165275459
2016-07-06,20.509181969949918
2016-07-07,16.602671118530886
2016-07-08,16.602671118530886
2016-07-09,13.67278797996661
2016-07-10,14.64941569282137
2016-07-11,10.742904841402337
2016-07-12,13.67278797996661
2016-07-13,14.64941569282137
2016-07-14,10.742904841402337
2016-07-15,10.742904841402337
2016-07-16,76.17696160267111
2016-07-17,21.485809682804675
2016-07-18,17.579298831385643
2016-07-19,12.696160267111853
2016-07-20,19.532554257095157
2016-07-21,18.5559265442404
2016-07-22,16.602671118530886
2016-07-23,13.67278797996661
2016-07-24,11.719532554257095
2016-07-25,11.719532554257095
2016-07-26,12.696160267111853
2016-07-27,97.66277128547578
2016-07-28,76.17696160267111
2016-07-29,31.252086811352253
2016-07-30,19.532554257095157
2016-07-31,12.696160267111853
2016-08-01,13.67278797996661
2016-08-02,12.696160267111853
2016-08-03,15.626043405676127
2016-08-04,10.742904841402337
2016-08-05,10.742904841402337
2016-08-06,15.626043405676127
2016-08-07,14.64941569282137
2016-08-08,11.719532554257095
2016-08-09,9.766277128547578
2016-08-10,9.766277128547578
2016-08-11,13.67278797996661
2016-08-12,13.67278797996661
2016-08-13,15.626043405676127
2016-08-14,11.719532554257095
2016-08-15,13.67278797996661
2016-08-16,9.766277128547578
2016-08-17,12.696160267111853
2016-08-18,11.719532554257095
2016-08-19,10.742904841402337
2016-08-20,8.789649415692821
2016-08-21,11.719532554257095
2016-08-22,9.766277128547578
2016-08-23,15.626043405676127
2016-08-24,8.789649415692821
2016-08-25,12.696160267111853
2016-08-26,11.719532554257095
2016-08-27,9.766277128547578
2016-08-28,11.719532554257095
2016-08-29,10.742904841402337
2016-08-30,10.742904841402337
2016-08-31,11.719532554257095
2016-09-01,13.67278797996661
2016-09-02,13.67278797996661
2016-09-03,8.789649415692821
2016-09-04,14.64941569282137
2016-09-05,11.719532554257095
2016-09-06,13.67278797996661
2016-09-07,14.64941569282137
2016-09-08,13.67278797996661
2016-09-09,12.696160267111853
2016-09-10,12.696160267111853
2016-09-11,15.626043405676127
2016-09-12,15.626043405676127
2016-09-13,17.579298831385643
2016-09-14,15.626043405676127
2016-09-15,21.485809682804675
2016-09-16,15.626043405676127
2016-09-17,12.696160267111853
2016-09-18,11.719532554257095
2016-09-19,16.602671118530886
2016-09-20,18.5559265442404
2016-09-21,15.626043405676127
2016-09-22,14.64941569282137
2016-09-23,13.67278797996661
2016-09-24,9.766277128547578
2016-09-25,11.719532554257095
2016-09-26,16.602671118530886
2016-09-27,16.602671118530886
2016-09-28,14.64941569282137
2016-09-29,14.64941569282137
2016-09-30,15.626043405676127
2016-10-01,8.88313856427379
2016-10-02,9.406510851419032
2016-10-03,13.836393989983305
2016-10-04,15.336393989983305
2016-10-05,16.301335559265443
2016-10-06,15.336393989983305
2016-10-07,15.336393989983305
2016-10-08,13.324707846410686
2016-10-09,15.801335559265443
2016-10-10,15.824707846410686
2016-10-11,20.75459098497496
2016-10-12,27.184474123539232
2016-10-13,18.78964941569282
2016-10-14,17.7779632721202
2016-10-15,15.301335559265443
2016-10-16,15.789649415692821
2016-10-17,27.684474123539232
2016-10-18,25.696160267111853
2016-10-19,18.76627712854758
2016-10-20,25.684474123539232
2016-10-21,19.25459098497496
2016-10-22,15.824707846410686
2016-10-23,14.813021702838064
2016-10-24,19.2779632721202
2016-10-25,16.78964941569282
2016-10-26,18.7779632721202
2016-10-27,18.26627712854758
2016-10-28,21.25459098497496
2016-10-29,19.76627712854758
2016-10-30,19.76627712854758
2016-10-31,23.207846410684475
2016-11-01,25.184474123539232
2016-11-02,28.0
