date,obama campaign
2016-05-01,4.993939393939394
2016-05-02,5.493333333333333
2016-05-03,5.493333333333333
2016-05-04,11.486060606060606
2016-05-05,8.48969696969697
2016-05-06,4.494545454545454
2016-05-07,3.4957575757575756
2016-05-08,3.995151515151515
2016-05-09,4.494545454545454
2016-05-10,10.986666666666666
2016-05-11,6.991515151515151
2016-05-12,4.993939393939394
2016-05-13,4.494545454545454
2016-05-14,3.995151515151515
2016-05-15,1.9975757575757576
2016-05-16,2.996363636363636
2016-05-17,4.993939393939394
2016-05-18,4.993939393939394
2016-05-19,3.995151515151515
2016-05-20,2.996363636363636
2016-05-21,3.995151515151515
2016-05-22,1.9975757575757576
2016-05-23,3.4957575757575756
2016-05-24,4.494545454545454
2016-05-25,3.995151515151515
2016-05-26,4.494545454545454
2016-05-27,3.4957575757575756
2016-05-28,2.996363636363636
2016-05-29,2.496969696969697
2016-05-30,3.4957575757575756
2016-05-31,4.993939393939394
2016-06-01,4.993939393939394
2016-06-02,4.993939393939394
2016-06-03,4.993939393939394
2016-06-04,1.9975757575757576
2016-06-05,2.996363636363636
2016-06-06,3.995151515151515
2016-06-07,5.493333333333333
2016-06-08,8.48969696969697
2016-06-09,8.48969696969697
2016-06-10,7.99030303030303
2016-06-11,5.992727272727272
2016-06-12,5.992727272727272
2016-06-13,5.992727272727272
2016-06-14,5.992727272727272
2016-06-15,3.4957575757575756
2016-06-16,3.995151515151515
2016-06-17,4.494545454545454
2016-06-18,2.496969696969697
2016-06-19,3.4957575757575756
2016-06-20,4.993939393939394
2016-06-21,3.995151515151515
2016-06-22,5.493333333333333
2016-06-23,2.996363636363636
2016-06-24,7.490909090909091
2016-06-25,3.995151515151515
2016-06-26,2.996363636363636
2016-06-27,2.996363636363636
2016-06-28,4.494545454545454
2016-06-29,3.4957575757575756
2016-06-30,4.993939393939394
2016-07-01,3.995151515151515
2016-07-02,4.993939393939394
2016-07-03,2.996363636363636
2016-07-04,3.4957575757575756
2016-07-05,21.973333333333333
2016-07-06,10.986666666666666
2016-07-07,4.993939393939394
2016-07-08,5.992727272727272
2016-07-09,3.995151515151515
2016-07-10,5.493333333333333
2016-07-11,4.993939393939394
2016-07-12,3.4957575757575756
2016-07-13,5.493333333333333
2016-07-14,3.4957575757575756
2016-07-15,2.996363636363636
2016-07-16,6.492121212121212
2016-07-17,5.992727272727272
2016-07-18,3.4957575757575756
2016-07-19,13.483636363636364
2016-07-20,11.486060606060606
2016-07-21,5.992727272727272
2016-07-22,7.99030303030303
2016-07-23,4.993939393939394
2016-07-24,4.494545454545454
2016-07-25,7.99030303030303
2016-07-26,13.483636363636364
2016-07-27,13.983030303030302
2016-07-28,17.47878787878788
2016-07-29,10.487272727272726
2016-07-30,7.99030303030303
2016-07-31,5.493333333333333
2016-08-01,5.493333333333333
2016-08-02,5.493333333333333
2016-08-03,5.493333333333333
2016-08-04,5.992727272727272
2016-08-05,6.991515151515151
2016-08-06,4.993939393939394
2016-08-07,2.996363636363636
2016-08-08,2.996363636363636
2016-08-09,4.993939393939394
2016-08-10,5.493333333333333
2016-08-11,5.992727272727272
2016-08-12,3.4957575757575756
2016-08-13,4.494545454545454
2016-08-14,3.995151515151515
2016-08-15,3.4957575757575756
2016-08-16,1.9975757575757576
2016-08-17,3.4957575757575756
2016-08-18,3.995151515151515
2016-08-19,2.496969696969697
2016-08-20,4.993939393939394
2016-08-21,3.995151515151515
2016-08-22,4.494545454545454
2016-08-23,1.9975757575757576
2016-08-24,2.496969696969697
2016-08-25,3.4957575757575756
2016-08-26,2.996363636363636
2016-08-27,3.4957575757575756
2016-08-28,3.4957575757575756
2016-08-29,2.496969696969697
2016-08-30,1.9975757575757576
2016-08-31,3.4957575757575756
2016-09-01,5.493333333333333
2016-09-02,3.995151515151515
2016-09-03,2.496969696969697
2016-09-04,3.995151515151515
2016-09-05,2.996363636363636
2016-09-06,5.493333333333333
2016-09-07,2.996363636363636
2016-09-08,6.991515151515151
2016-09-09,7.490909090909091
2016-09-10,6.991515151515151
2016-09-11,2.996363636363636
2016-09-12,4.993939393939394
2016-09-13,13.983030303030302
2016-09-14,10.986666666666666
2016-09-15,7.99030303030303
2016-09-16,18.477575757575757
2016-09-17,10.487272727272726
2016-09-18,8.989090909090908
2016-09-19,8.989090909090908
2016-09-20,9.488484848484848
2016-09-21,6.991515151515151
2016-09-22,12.484848484848484
2016-09-23,6.492121212121212
2016-09-24,5.992727272727272
2016-09-25,4.494545454545454
2016-09-26,8.989090909090908
2016-09-27,31.96121212121212
2016-09-28,13.983030303030302
2016-09-29,9.488484848484848
2016-09-30,5.992727272727272
2016-10-01,5.747272727272727
2016-10-02,6.995757575757576
2016-10-03,4.997575757575758
2016-10-04,3.9975757575757576
2016-10-05,8.995151515151516
2016-10-06,4.496363636363636
2016-10-07,4.996363636363636
2016-10-08,4.497575757575758
2016-10-09,7.246060606060606
2016-10-10,12.492727272727272
2016-10-11,8.995151515151516
2016-10-12,19.98909090909091
2016-10-13,16.490303030303032
2016-10-14,21.235151515151514
2016-10-15,14.491515151515152
2016-10-16,8.744242424242424
2016-10-17,10.492727272727272
2016-10-18,11.241212121212122
2016-10-19,14.242424242424242
2016-10-20,19.237575757575758
2016-10-21,11.993939393939394
2016-10-22,9.244242424242424
2016-10-23,9.244242424242424
2016-10-24,10.243636363636362
2016-10-25,13.741818181818182
2016-10-26,9.994545454545454
2016-10-27,12.992727272727272
2016-10-28,12.992727272727272
2016-10-29,48.96969696969697
2016-10-30,23.735151515151514
2016-10-31,15.74
