date,barack obama travel
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,7.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,8.0
2016-12-24,0.0
2016-12-25,9.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,7.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,7.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,20.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,13.0
2017-01-18,7.0
2017-01-19,7.0
2017-01-20,28.0
2017-01-21,16.0
2017-01-22,23.0
2017-01-23,13.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,7.0
2017-01-28,0.0
2017-01-29,31.0
2017-01-30,100.0
2017-01-31,27.0
2017-02-01,26.0
2017-02-02,7.0
2017-02-03,7.0
2017-02-04,23.0
2017-02-05,15.0
2017-02-06,13.0
2017-02-07,26.0
2017-02-08,13.0
2017-02-09,0.0
2017-02-10,34.0
2017-02-11,8.0
2017-02-12,0.0
2017-02-13,6.0
2017-02-14,7.0
2017-02-15,0.0
2017-02-16,20.0
2017-02-17,14.0
2017-02-18,0.0
2017-02-19,8.0
2017-02-20,0.0
2017-02-21,13.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,7.0
2017-02-25,8.0
2017-02-26,8.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,2.106741573033708
2017-03-02,0.0
2017-03-03,10.171348314606742
2017-03-04,0.0
2017-03-05,5.9578651685393265
2017-03-06,5.106741573033708
2017-03-07,13.713483146067416
2017-03-08,7.713483146067416
2017-03-09,3.5
2017-03-10,2.106741573033708
2017-03-11,2.457865168539326
2017-03-12,0.0
2017-03-13,2.106741573033708
2017-03-14,0.0
2017-03-15,5.606741573033708
2017-03-16,8.606741573033709
2017-03-17,7.01123595505618
2017-03-18,9.957865168539326
2017-03-19,2.457865168539326
2017-03-20,3.5
2017-03-21,2.106741573033708
2017-03-22,2.106741573033708
2017-03-23,2.106741573033708
2017-03-24,2.457865168539326
2017-03-25,3.862359550561798
2017-03-26,8.0
2017-03-27,2.106741573033708
2017-03-28,5.606741573033708
2017-03-29,4.564606741573034
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,4.213483146067416
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,4.213483146067416
2017-04-07,9.129213483146067
2017-04-08,0.0
2017-04-09,10.533707865168541
2017-04-10,7.02247191011236
2017-04-11,4.213483146067416
2017-04-12,0.0
2017-04-13,4.915730337078652
2017-04-14,4.915730337078652
2017-04-15,5.617977528089888
2017-04-16,4.915730337078652
2017-04-17,0.0
2017-04-18,6.320224719101124
2017-04-19,4.213483146067416
2017-04-20,4.213483146067416
2017-04-21,4.915730337078652
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,4.213483146067416
2017-04-26,8.426966292134832
2017-04-27,0.0
2017-04-28,9.129213483146067
2017-04-29,0.0
2017-04-30,4.915730337078652
2017-05-01,0.0
2017-05-02,4.213483146067416
2017-05-03,4.213483146067416
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,4.915730337078652
2017-05-08,70.2247191011236
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,4.213483146067416
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,8.426966292134832
2017-05-16,0.0
2017-05-17,4.213483146067416
2017-05-18,4.213483146067416
2017-05-19,4.213483146067416
2017-05-20,4.915730337078652
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,4.213483146067416
2017-05-24,0.0
2017-05-25,4.915730337078652
2017-05-26,9.831460674157304
2017-05-27,5.617977528089888
2017-05-28,0.0
2017-05-29,4.915730337078652
2017-05-30,4.213483146067416
2017-05-31,4.213483146067416
2017-06-01,0.0
2017-06-02,4.915730337078652
2017-06-03,0.0
