date,event
2016-05-01,27.0
2016-05-02,31.0
2016-05-03,33.0
2016-05-04,32.0
2016-05-05,32.0
2016-05-06,32.0
2016-05-07,27.0
2016-05-08,23.0
2016-05-09,31.0
2016-05-10,33.0
2016-05-11,32.0
2016-05-12,31.0
2016-05-13,32.0
2016-05-14,27.0
2016-05-15,25.0
2016-05-16,30.0
2016-05-17,32.0
2016-05-18,32.0
2016-05-19,31.0
2016-05-20,32.0
2016-05-21,28.0
2016-05-22,25.0
2016-05-23,30.0
2016-05-24,31.0
2016-05-25,31.0
2016-05-26,31.0
2016-05-27,31.0
2016-05-28,25.0
2016-05-29,24.0
2016-05-30,27.0
2016-05-31,30.0
2016-06-01,32.0
2016-06-02,32.0
2016-06-03,32.0
2016-06-04,29.0
2016-06-05,25.0
2016-06-06,30.0
2016-06-07,31.0
2016-06-08,31.0
2016-06-09,31.0
2016-06-10,31.0
2016-06-11,26.0
2016-06-12,25.0
2016-06-13,33.0
2016-06-14,31.0
2016-06-15,30.0
2016-06-16,31.0
2016-06-17,30.0
2016-06-18,28.0
2016-06-19,25.0
2016-06-20,30.0
2016-06-21,31.0
2016-06-22,30.0
2016-06-23,30.0
2016-06-24,29.0
2016-06-25,27.0
2016-06-26,26.0
2016-06-27,29.0
2016-06-28,29.0
2016-06-29,30.0
2016-06-30,30.0
2016-07-01,30.0
2016-07-02,25.0
2016-07-03,25.0
2016-07-04,28.0
2016-07-05,29.0
2016-07-06,30.0
2016-07-07,30.0
2016-07-08,29.0
2016-07-09,28.0
2016-07-10,26.0
2016-07-11,31.0
2016-07-12,32.0
2016-07-13,31.0
2016-07-14,30.0
2016-07-15,29.0
2016-07-16,27.0
2016-07-17,26.0
2016-07-18,30.0
2016-07-19,30.0
2016-07-20,30.0
2016-07-21,31.0
2016-07-22,29.0
2016-07-23,27.0
2016-07-24,25.0
2016-07-25,29.0
2016-07-26,31.0
2016-07-27,30.0
2016-07-28,30.0
2016-07-29,30.0
2016-07-30,28.0
2016-07-31,26.0
2016-08-01,30.0
2016-08-02,33.0
2016-08-03,32.0
2016-08-04,32.0
2016-08-05,33.0
2016-08-06,33.0
2016-08-07,29.0
2016-08-08,33.0
2016-08-09,34.0
2016-08-10,35.0
2016-08-11,34.0
2016-08-12,35.0
2016-08-13,32.0
2016-08-14,31.0
2016-08-15,33.0
2016-08-16,34.0
2016-08-17,32.0
2016-08-18,33.0
2016-08-19,34.0
2016-08-20,31.0
2016-08-21,29.0
2016-08-22,32.0
2016-08-23,33.0
2016-08-24,32.0
2016-08-25,33.0
2016-08-26,32.0
2016-08-27,29.0
2016-08-28,26.0
2016-08-29,31.0
2016-08-30,33.0
2016-08-31,31.0
2016-09-01,32.0
2016-09-02,32.0
2016-09-03,26.0
2016-09-04,26.0
2016-09-05,30.0
2016-09-06,38.0
2016-09-07,100.0
2016-09-08,40.0
2016-09-09,34.0
2016-09-10,30.0
2016-09-11,28.0
2016-09-12,32.0
2016-09-13,33.0
2016-09-14,33.0
2016-09-15,33.0
2016-09-16,33.0
2016-09-17,29.0
2016-09-18,27.0
2016-09-19,34.0
2016-09-20,34.0
2016-09-21,33.0
2016-09-22,34.0
2016-09-23,34.0
2016-09-24,29.0
2016-09-25,27.0
2016-09-26,35.0
2016-09-27,34.0
2016-09-28,33.0
2016-09-29,34.0
2016-09-30,33.0
2016-10-01,27.56368371212121
2016-10-02,26.051846590909093
2016-10-03,34.14654356060606
2016-10-04,42.99715909090909
2016-10-05,36.670217803030305
2016-10-06,35.92613636363636
2016-10-07,33.63470643939394
2016-10-08,29.843276515151516
2016-10-09,27.06368371212121
2016-10-10,33.64654356060606
2016-10-11,34.390625
2016-10-12,34.14654356060606
2016-10-13,33.64654356060606
2016-10-14,33.13470643939394
2016-10-15,27.56368371212121
2016-10-16,26.051846590909093
2016-10-17,33.378787878787875
2016-10-18,34.402462121212125
2016-10-19,34.64654356060606
2016-10-20,36.42613636363636
2016-10-21,35.65838068181819
2016-10-22,30.099195075757578
2016-10-23,27.319602272727273
2016-10-24,34.902462121212125
2016-10-25,37.18205492424242
2016-10-26,41.22940340909091
2016-10-27,51.09185606060606
2016-10-28,36.670217803030305
2016-10-29,31.111032196969695
2016-10-30,27.819602272727273
2016-10-31,36.170217803030305
2016-11-01,36.41429924242424
2016-11-02,38.89962121212121
2016-11-03,33.26941287878788
2016-11-04,33.78125
2016-11-05,28.66287878787879
2016-11-06,25.591856060606062
2016-11-07,31.733901515151516
2016-11-08,30.198390151515152
2016-11-09,27.127367424242426
2016-11-10,31.733901515151516
2016-11-11,31.733901515151516
2016-11-12,28.151041666666668
2016-11-13,26.615530303030305
2016-11-14,31.733901515151516
2016-11-15,33.26941287878788
2016-11-16,32.75757575757576
2016-11-17,33.78125
2016-11-18,32.24573863636363
2016-11-19,27.639204545454547
2016-11-20,24.056344696969695
2016-11-21,31.222064393939394
2016-11-22,30.710227272727273
2016-11-23,29.17471590909091
2016-11-24,25.591856060606062
2016-11-25,26.103693181818183
2016-11-26,25.08001893939394
2016-11-27,22.520833333333332
2016-11-28,29.68655303030303
2016-11-29,32.24573863636363
2016-11-30,31.733901515151516
2016-12-01,31.222064393939394
2016-12-02,31.222064393939394
2016-12-03,26.103693181818183
2016-12-04,25.08001893939394
2016-12-05,31.222064393939394
2016-12-06,31.733901515151516
2016-12-07,32.24573863636363
2016-12-08,32.75757575757576
2016-12-09,30.198390151515152
2016-12-10,24.56818181818182
2016-12-11,25.08001893939394
2016-12-12,31.733901515151516
2016-12-13,34.80492424242424
2016-12-14,32.24573863636363
2016-12-15,29.68655303030303
2016-12-16,30.710227272727273
2016-12-17,24.56818181818182
2016-12-18,22.520833333333332
2016-12-19,29.17471590909091
2016-12-20,29.68655303030303
2016-12-21,28.151041666666668
2016-12-22,27.127367424242426
2016-12-23,24.56818181818182
2016-12-24,22.520833333333332
2016-12-25,24.56818181818182
2016-12-26,26.615530303030305
2016-12-27,26.615530303030305
2016-12-28,28.151041666666668
2016-12-29,27.127367424242426
2016-12-30,29.17471590909091
2016-12-31,28.151041666666668
2017-01-01,28.151041666666668
2017-01-02,29.17471590909091
2017-01-03,31.733901515151516
2017-01-04,30.710227272727273
2017-01-05,33.26941287878788
2017-01-06,30.710227272727273
2017-01-07,26.103693181818183
2017-01-08,26.103693181818183
2017-01-09,31.733901515151516
