date,globalist
2016-05-01,6.172287651677373
2016-05-02,13.46680942184154
2016-05-03,12.905692362598144
2016-05-04,2.8055852962169876
2016-05-05,19.077980014275518
2016-05-06,14.02792648108494
2016-05-07,25.811384725196287
2016-05-08,12.905692362598144
2016-05-09,13.46680942184154
2016-05-10,23.5669164882227
2016-05-11,20.76133119200571
2016-05-12,13.46680942184154
2016-05-13,11.22234118486795
2016-05-14,9.538990007137759
2016-05-15,21.883565310492504
2016-05-16,13.46680942184154
2016-05-17,17.955745895788723
2016-05-18,18.51686295503212
2016-05-19,21.322448251249106
2016-05-20,8.416755888650965
2016-05-21,15.711277658815133
2016-05-22,6.172287651677373
2016-05-23,13.46680942184154
2016-05-24,10.661224125624553
2016-05-25,5.611170592433975
2016-05-26,14.02792648108494
2016-05-27,8.416755888650965
2016-05-28,25.25026766595289
2016-05-29,6.172287651677373
2016-05-30,8.416755888650965
2016-05-31,10.661224125624553
2016-06-01,13.46680942184154
2016-06-02,13.46680942184154
2016-06-03,11.22234118486795
2016-06-04,6.73340471092077
2016-06-05,18.51686295503212
2016-06-06,10.661224125624553
2016-06-07,21.322448251249106
2016-06-08,7.8556388294075665
2016-06-09,10.661224125624553
2016-06-10,11.22234118486795
2016-06-11,31.422555317630266
2016-06-12,12.344575303354747
2016-06-13,15.711277658815133
2016-06-14,18.51686295503212
2016-06-15,10.661224125624553
2016-06-16,29.73920413990007
2016-06-17,11.22234118486795
2016-06-18,3.366702355460385
2016-06-19,19.077980014275518
2016-06-20,7.8556388294075665
2016-06-21,5.611170592433975
2016-06-22,26.93361884368308
2016-06-23,21.883565310492504
2016-06-24,56.11170592433976
2016-06-25,50.50053533190578
2016-06-26,47.1338329764454
2016-06-27,29.17808708065667
2016-06-28,26.93361884368308
2016-06-29,35.350374732334046
2016-06-30,19.077980014275518
2016-07-01,23.0057994289793
2016-07-02,19.639097073518915
2016-07-03,25.811384725196287
2016-07-04,11.22234118486795
2016-07-05,16.83351177730193
2016-07-06,19.639097073518915
2016-07-07,11.22234118486795
2016-07-08,23.0057994289793
2016-07-09,25.811384725196287
2016-07-10,6.172287651677373
2016-07-11,11.22234118486795
2016-07-12,18.51686295503212
2016-07-13,21.883565310492504
2016-07-14,35.91149179157745
2016-07-15,22.4446823697359
