date,scandal
2016-05-01,70.47053694181798
2016-05-02,65.49614609886613
2016-05-03,63.0089506773902
2016-05-04,65.49614609886613
2016-05-05,73.78679750378589
2016-05-06,77.10305806575379
2016-05-07,72.12866722280194
2016-05-08,71.29960208230996
2016-05-09,63.0089506773902
2016-05-10,59.692690115422295
2016-05-11,60.52175525591427
2016-05-12,63.83801581788217
2016-05-13,82.90651404919763
2016-05-14,80.41931862772171
2016-05-15,75.44492778476985
2016-05-16,63.0089506773902
2016-05-17,62.17988553689822
2016-05-18,60.52175525591427
2016-05-19,64.66708095837416
2016-05-20,73.78679750378589
2016-05-21,71.29960208230996
2016-05-22,68.81240666083403
2016-05-23,60.52175525591427
2016-05-24,62.17988553689822
2016-05-25,62.17988553689822
2016-05-26,67.98334152034205
2016-05-27,67.15427637985007
2016-05-28,65.49614609886613
2016-05-29,70.47053694181798
2016-05-30,59.692690115422295
2016-05-31,59.692690115422295
2016-06-01,58.86362497493031
2016-06-02,58.86362497493031
2016-06-03,58.86362497493031
2016-06-04,65.49614609886613
2016-06-05,64.66708095837416
2016-06-06,57.20549469394636
2016-06-07,55.54736441296241
2016-06-08,58.03455983443834
2016-06-09,58.86362497493031
2016-06-10,61.35082039640624
2016-06-11,64.66708095837416
2016-06-12,62.17988553689822
2016-06-13,59.692690115422295
2016-06-14,55.54736441296241
2016-06-15,54.71829927247043
2016-06-16,57.20549469394636
2016-06-17,58.86362497493031
2016-06-18,66.32521123935811
2016-06-19,63.83801581788217
2016-06-20,55.54736441296241
2016-06-21,57.20549469394636
2016-06-22,59.692690115422295
2016-06-23,58.86362497493031
2016-06-24,58.03455983443834
2016-06-25,67.98334152034205
2016-06-26,67.15427637985007
2016-06-27,56.37642955345439
2016-06-28,60.52175525591427
2016-06-29,55.54736441296241
2016-06-30,57.20549469394636
2016-07-01,53.88923413197846
2016-07-02,61.35082039640624
2016-07-03,64.66708095837416
2016-07-04,58.03455983443834
2016-07-05,59.692690115422295
2016-07-06,63.83801581788217
2016-07-07,63.0089506773902
2016-07-08,62.17988553689822
2016-07-09,64.66708095837416
2016-07-10,64.66708095837416
2016-07-11,58.86362497493031
2016-07-12,61.35082039640624
2016-07-13,70.47053694181798
2016-07-14,72.95773236329391
2016-07-15,62.17988553689822
2016-07-16,65.49614609886613
2016-07-17,69.641471801326
2016-07-18,56.37642955345439
2016-07-19,58.86362497493031
2016-07-20,58.03455983443834
2016-07-21,58.86362497493031
2016-07-22,55.54736441296241
2016-07-23,63.83801581788217
2016-07-24,67.15427637985007
2016-07-25,63.0089506773902
2016-07-26,63.83801581788217
2016-07-27,59.692690115422295
2016-07-28,56.37642955345439
2016-07-29,62.17988553689822
2016-07-30,64.66708095837416
2016-07-31,63.83801581788217
2016-08-01,53.060168991486485
2016-08-02,56.37642955345439
2016-08-03,57.20549469394636
2016-08-04,54.71829927247043
2016-08-05,57.20549469394636
2016-08-06,62.17988553689822
2016-08-07,64.66708095837416
2016-08-08,54.71829927247043
2016-08-09,58.03455983443834
2016-08-10,55.54736441296241
2016-08-11,55.54736441296241
2016-08-12,57.20549469394636
2016-08-13,62.17988553689822
2016-08-14,58.86362497493031
2016-08-15,57.20549469394636
2016-08-16,60.52175525591427
2016-08-17,63.0089506773902
2016-08-18,77.10305806575379
2016-08-19,82.90651404919763
2016-08-20,74.61586264427787
2016-08-21,72.12866722280194
2016-08-22,65.49614609886613
2016-08-23,64.66708095837416
2016-08-24,64.66708095837416
2016-08-25,61.35082039640624
2016-08-26,58.03455983443834
2016-08-27,61.35082039640624
2016-08-28,64.66708095837416
2016-08-29,55.54736441296241
2016-08-30,56.37642955345439
2016-08-31,61.35082039640624
2016-09-01,71.29960208230996
2016-09-02,62.17988553689822
2016-09-03,65.49614609886613
2016-09-04,68.81240666083403
2016-09-05,56.37642955345439
2016-09-06,57.20549469394636
2016-09-07,55.54736441296241
2016-09-08,56.37642955345439
2016-09-09,56.37642955345439
2016-09-10,64.66708095837416
2016-09-11,62.17988553689822
2016-09-12,54.71829927247043
2016-09-13,57.20549469394636
2016-09-14,58.03455983443834
2016-09-15,55.54736441296241
2016-09-16,65.49614609886613
2016-09-17,63.0089506773902
2016-09-18,63.0089506773902
2016-09-19,65.49614609886613
2016-09-20,66.32521123935811
2016-09-21,65.49614609886613
2016-09-22,70.47053694181798
2016-09-23,72.95773236329391
2016-09-24,66.32521123935811
2016-09-25,63.83801581788217
2016-09-26,57.20549469394636
2016-09-27,63.0089506773902
2016-09-28,61.35082039640624
2016-09-29,62.17988553689822
2016-09-30,66.32521123935811
2016-10-01,65.6753572975314
2016-10-02,64.84629215703943
2016-10-03,57.096474548091656
2016-10-04,56.18932452818123
2016-10-05,56.26740940759968
2016-10-06,56.83811173668255
2016-10-07,58.98885946733093
2016-10-08,67.98227478701668
2016-10-09,68.3187224778442
2016-10-10,63.86105725771057
2016-10-11,58.00362456800207
2016-10-12,58.574326897084944
2016-10-13,59.89600948724135
2016-10-14,58.98885946733093
2016-10-15,62.539374667554156
2016-10-16,59.5595617964138
2016-10-17,54.116661676951296
2016-10-18,54.94572681744327
2016-10-19,53.20951165704088
2016-10-20,57.096474548091656
2016-10-21,54.94572681744327
2016-10-22,56.26740940759968
2016-10-23,60.38862693690578
2016-10-24,52.638809327958
2016-10-25,53.54595934786843
2016-10-26,54.53119424719729
2016-10-27,53.624044227286866
2016-10-28,60.31054205748734
2016-10-29,72.51802488656874
2016-10-30,71.94732255748588
2016-10-31,67.90418990759822
2016-11-01,62.69554442639104
2016-11-02,64.04026845637584
