date,hillary clinton bus
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,2.8059149722735675
2016-05-05,6.547134935304991
2016-05-06,6.547134935304991
2016-05-07,12.158964879852125
2016-05-08,7.482439926062846
2016-05-09,0.0
2016-05-10,9.353049907578558
2016-05-11,6.547134935304991
2016-05-12,10.288354898336413
2016-05-13,0.0
2016-05-14,7.482439926062846
2016-05-15,3.741219963031423
2016-05-16,3.741219963031423
2016-05-17,2.8059149722735675
2016-05-18,13.094269870609981
2016-05-19,3.741219963031423
2016-05-20,3.741219963031423
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,6.547134935304991
2016-05-26,0.0
2016-05-27,3.741219963031423
2016-05-28,0.0
2016-05-29,3.741219963031423
2016-05-30,10.288354898336413
2016-05-31,0.0
2016-06-01,3.741219963031423
2016-06-02,6.547134935304991
2016-06-03,0.0
2016-06-04,8.417744916820702
2016-06-05,3.741219963031423
2016-06-06,0.0
2016-06-07,2.8059149722735675
2016-06-08,6.547134935304991
2016-06-09,16.835489833641404
2016-06-10,10.288354898336413
2016-06-11,3.741219963031423
2016-06-12,3.741219963031423
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,10.288354898336413
2016-06-17,3.741219963031423
2016-06-18,0.0
2016-06-19,3.741219963031423
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,3.741219963031423
2016-06-23,3.741219963031423
2016-06-24,0.0
2016-06-25,7.482439926062846
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,3.741219963031423
2016-06-29,3.741219963031423
2016-06-30,6.547134935304991
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,3.741219963031423
2016-07-04,3.741219963031423
2016-07-05,14.029574861367836
2016-07-06,6.547134935304991
2016-07-07,0.0
2016-07-08,7.482439926062846
2016-07-09,3.741219963031423
2016-07-10,3.741219963031423
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,3.741219963031423
2016-07-14,0.0
2016-07-15,6.547134935304991
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,6.547134935304991
2016-07-19,3.741219963031423
2016-07-20,3.741219963031423
2016-07-21,10.288354898336413
2016-07-22,14.029574861367836
2016-07-23,7.482439926062846
2016-07-24,0.0
2016-07-25,3.741219963031423
2016-07-26,10.288354898336413
2016-07-27,16.835489833641404
2016-07-28,10.288354898336413
2016-07-29,42.08872458410351
2016-07-30,40.2181146025878
2016-07-31,15.900184842883549
2016-08-01,33.67097966728281
2016-08-02,3.741219963031423
2016-08-03,6.547134935304991
2016-08-04,10.288354898336413
2016-08-05,0.0
2016-08-06,3.741219963031423
2016-08-07,0.0
2016-08-08,6.547134935304991
2016-08-09,0.0
2016-08-10,3.741219963031423
2016-08-11,0.0
2016-08-12,3.741219963031423
2016-08-13,7.482439926062846
2016-08-14,12.158964879852125
2016-08-15,0.0
2016-08-16,3.741219963031423
2016-08-17,3.741219963031423
2016-08-18,0.0
2016-08-19,6.547134935304991
2016-08-20,7.482439926062846
2016-08-21,3.741219963031423
2016-08-22,3.741219963031423
2016-08-23,6.547134935304991
2016-08-24,0.0
2016-08-25,3.741219963031423
2016-08-26,3.741219963031423
2016-08-27,12.158964879852125
2016-08-28,7.482439926062846
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,6.547134935304991
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,6.547134935304991
2016-09-09,3.741219963031423
2016-09-10,3.741219963031423
2016-09-11,7.482439926062846
2016-09-12,39.28280961182994
2016-09-13,9.353049907578558
2016-09-14,0.0
2016-09-15,6.547134935304991
2016-09-16,10.288354898336413
2016-09-17,3.741219963031423
2016-09-18,7.482439926062846
2016-09-19,2.8059149722735675
2016-09-20,12.158964879852125
2016-09-21,6.547134935304991
2016-09-22,0.0
2016-09-23,10.288354898336413
2016-09-24,3.741219963031423
2016-09-25,3.741219963031423
2016-09-26,6.547134935304991
2016-09-27,25.253234750462106
2016-09-28,15.900184842883549
2016-09-29,9.353049907578558
2016-09-30,3.741219963031423
2016-10-01,4.870609981515711
2016-10-02,5.5
2016-10-03,6.273567467652495
2016-10-04,4.773567467652495
2016-10-05,3.0
2016-10-06,1.5
2016-10-07,5.773567467652495
2016-10-08,4.0
2016-10-09,6.5
2016-10-10,25.22365988909427
2016-10-11,6.902957486136784
2016-10-12,11.950092421441774
2016-10-13,11.950092421441774
2016-10-14,14.04713493530499
2016-10-15,10.370609981515711
2016-10-16,11.111829944547136
2016-10-17,5.902957486136784
2016-10-18,16.450092421441774
2016-10-19,96.7652495378928
2016-10-20,60.58872458410351
2016-10-21,28.126617375231053
2016-10-22,26.497227356746762
2016-10-23,18.256007393715343
2016-10-24,7.176524953789279
2016-10-25,7.773567467652495
2016-10-26,6.902957486136784
2016-10-27,4.773567467652495
2016-10-28,18.04713493530499
2016-10-29,14.853049907578558
2016-10-30,23.867837338262476
2016-10-31,12.67652495378928
2016-11-01,23.59426987060998
2016-11-02,16.0
2016-11-03,17.0
2016-11-04,7.0
2016-11-05,20.0
2016-11-06,12.0
2016-11-07,11.0
2016-11-08,26.0
2016-11-09,64.0
2016-11-10,24.0
2016-11-11,10.0
2016-11-12,5.0
2016-11-13,0.0
2016-11-14,5.0
2016-11-15,11.0
2016-11-16,5.0
2016-11-17,3.0
2016-11-18,5.0
2016-11-19,4.0
2016-11-20,9.0
2016-11-21,3.0
2016-11-22,20.0
2016-11-23,16.0
2016-11-24,6.0
2016-11-25,0.0
2016-11-26,11.0
2016-11-27,4.0
2016-11-28,8.0
2016-11-29,3.0
2016-11-30,6.0
2016-12-01,3.0
2016-12-02,3.0
2016-12-03,4.0
2016-12-04,4.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,3.0
2016-12-08,0.0
2016-12-09,10.0
2016-12-10,0.0
2016-12-11,4.0
2016-12-12,3.0
2016-12-13,0.0
2016-12-14,3.0
2016-12-15,3.0
2016-12-16,3.0
2016-12-17,0.0
2016-12-18,4.0
2016-12-19,3.0
2016-12-20,3.0
2016-12-21,7.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,4.0
2016-12-26,0.0
2016-12-27,3.0
2016-12-28,3.0
2016-12-29,3.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,4.0
2017-01-02,3.0
2017-01-03,0.0
2017-01-04,9.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,4.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,3.0
2017-01-11,3.0
2017-01-12,6.0
2017-01-13,3.0
