date,donald trump narcissist
2016-05-01,7.71513353115727
2016-05-02,6.55786350148368
2016-05-03,19.673590504451038
2016-05-04,16.201780415430267
2016-05-05,6.943620178041543
2016-05-06,6.943620178041543
2016-05-07,23.531157270029674
2016-05-08,7.71513353115727
2016-05-09,6.55786350148368
2016-05-10,6.55786350148368
2016-05-11,6.55786350148368
2016-05-12,20.059347181008903
2016-05-13,0.0
2016-05-14,7.71513353115727
2016-05-15,22.759643916913948
2016-05-16,10.029673590504451
2016-05-17,6.55786350148368
2016-05-18,13.11572700296736
2016-05-19,0.0
2016-05-20,17.359050445103858
2016-05-21,7.71513353115727
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,10.029673590504451
2016-05-26,0.0
2016-05-27,6.943620178041543
2016-05-28,0.0
2016-05-29,7.71513353115727
2016-05-30,6.943620178041543
2016-05-31,6.55786350148368
2016-06-01,6.55786350148368
2016-06-02,13.501483679525222
2016-06-03,6.943620178041543
2016-06-04,8.100890207715134
2016-06-05,7.71513353115727
2016-06-06,0.0
2016-06-07,10.029673590504451
2016-06-08,6.55786350148368
2016-06-09,0.0
2016-06-10,6.943620178041543
2016-06-11,0.0
2016-06-12,7.71513353115727
2016-06-13,0.0
2016-06-14,13.11572700296736
2016-06-15,0.0
2016-06-16,6.55786350148368
2016-06-17,6.943620178041543
2016-06-18,0.0
2016-06-19,7.71513353115727
2016-06-20,0.0
2016-06-21,6.55786350148368
2016-06-22,0.0
2016-06-23,10.029673590504451
2016-06-24,6.943620178041543
2016-06-25,23.531157270029674
2016-06-26,0.0
2016-06-27,6.55786350148368
2016-06-28,6.55786350148368
2016-06-29,6.55786350148368
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,8.100890207715134
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,6.943620178041543
2016-07-07,0.0
2016-07-08,6.943620178041543
2016-07-09,8.100890207715134
2016-07-10,8.100890207715134
2016-07-11,10.029673590504451
2016-07-12,6.55786350148368
