date,money laundering
2016-05-01,33.97505882352941
2016-05-02,71.90070588235294
2016-05-03,65.57976470588235
2016-05-04,77.4315294117647
2016-05-05,62.419294117647055
2016-05-06,78.22164705882352
2016-05-07,44.24658823529411
2016-05-08,33.97505882352941
2016-05-09,56.098352941176465
2016-05-10,69.53035294117646
2016-05-11,79.01176470588234
2016-05-12,75.06117647058824
2016-05-13,66.36988235294118
2016-05-14,38.71576470588235
2016-05-15,44.24658823529411
2016-05-16,66.36988235294118
2016-05-17,63.999529411764705
2016-05-18,67.95011764705882
2016-05-19,70.3204705882353
2016-05-20,59.258823529411764
2016-05-21,41.87623529411764
2016-05-22,34.76517647058823
2016-05-23,66.36988235294118
2016-05-24,74.2710588235294
2016-05-25,66.36988235294118
2016-05-26,67.16
2016-05-27,57.678588235294114
2016-05-28,30.814588235294117
2016-05-29,37.92564705882353
2016-05-30,46.61694117647058
2016-05-31,65.57976470588235
2016-06-01,63.20941176470588
2016-06-02,61.629176470588234
2016-06-03,61.629176470588234
2016-06-04,28.444235294117647
2016-06-05,34.76517647058823
2016-06-06,66.36988235294118
2016-06-07,61.629176470588234
2016-06-08,56.88847058823529
2016-06-09,57.678588235294114
2016-06-10,48.98729411764705
2016-06-11,31.60470588235294
2016-06-12,26.073882352941176
2016-06-13,53.727999999999994
2016-06-14,56.098352941176465
2016-06-15,61.629176470588234
2016-06-16,70.3204705882353
2016-06-17,73.48094117647058
2016-06-18,44.24658823529411
2016-06-19,27.654117647058822
2016-06-20,55.308235294117644
2016-06-21,75.85129411764706
2016-06-22,63.20941176470588
2016-06-23,52.14776470588235
2016-06-24,54.51811764705882
2016-06-25,36.34541176470588
2016-06-26,31.60470588235294
2016-06-27,50.5675294117647
2016-06-28,55.308235294117644
2016-06-29,56.88847058823529
2016-06-30,65.57976470588235
2016-07-01,53.727999999999994
2016-07-02,29.234352941176468
2016-07-03,35.55529411764706
2016-07-04,52.93788235294117
2016-07-05,52.93788235294117
2016-07-06,56.098352941176465
2016-07-07,59.258823529411764
2016-07-08,48.19717647058823
2016-07-09,33.97505882352941
2016-07-10,35.55529411764706
2016-07-11,53.727999999999994
2016-07-12,70.3204705882353
2016-07-13,60.839058823529406
2016-07-14,62.419294117647055
2016-07-15,50.5675294117647
2016-07-16,28.444235294117647
2016-07-17,33.18494117647059
2016-07-18,59.258823529411764
2016-07-19,64.78964705882352
2016-07-20,69.53035294117646
2016-07-21,74.2710588235294
2016-07-22,54.51811764705882
2016-07-23,45.82682352941176
2016-07-24,45.03670588235294
2016-07-25,71.11058823529412
2016-07-26,68.74023529411764
2016-07-27,69.53035294117646
2016-07-28,66.36988235294118
2016-07-29,52.93788235294117
2016-07-30,44.24658823529411
2016-07-31,38.71576470588235
2016-08-01,60.839058823529406
2016-08-02,64.78964705882352
2016-08-03,72.69082352941176
2016-08-04,74.2710588235294
2016-08-05,62.419294117647055
2016-08-06,43.45647058823529
2016-08-07,43.45647058823529
2016-08-08,66.36988235294118
2016-08-09,58.468705882352936
2016-08-10,64.78964705882352
2016-08-11,59.258823529411764
2016-08-12,56.88847058823529
2016-08-13,37.1355294117647
2016-08-14,33.97505882352941
2016-08-15,60.048941176470585
2016-08-16,66.36988235294118
2016-08-17,63.20941176470588
2016-08-18,56.88847058823529
2016-08-19,61.629176470588234
2016-08-20,30.024470588235292
2016-08-21,38.71576470588235
2016-08-22,58.468705882352936
2016-08-23,65.57976470588235
2016-08-24,67.95011764705882
2016-08-25,74.2710588235294
2016-08-26,60.839058823529406
2016-08-27,31.60470588235294
2016-08-28,33.18494117647059
2016-08-29,56.098352941176465
2016-08-30,68.74023529411764
2016-08-31,57.678588235294114
2016-09-01,58.468705882352936
2016-09-02,56.88847058823529
2016-09-03,36.34541176470588
2016-09-04,30.024470588235292
2016-09-05,52.93788235294117
2016-09-06,63.999529411764705
2016-09-07,63.999529411764705
2016-09-08,71.11058823529412
2016-09-09,59.258823529411764
2016-09-10,37.92564705882353
2016-09-11,35.55529411764706
2016-09-12,49.77741176470588
2016-09-13,63.999529411764705
2016-09-14,59.258823529411764
2016-09-15,64.78964705882352
2016-09-16,53.727999999999994
2016-09-17,35.55529411764706
2016-09-18,47.40705882352941
2016-09-19,58.468705882352936
2016-09-20,63.20941176470588
2016-09-21,78.22164705882352
2016-09-22,64.78964705882352
2016-09-23,63.999529411764705
2016-09-24,30.814588235294117
2016-09-25,29.234352941176468
2016-09-26,63.20941176470588
2016-09-27,66.36988235294118
2016-09-28,61.629176470588234
2016-09-29,67.95011764705882
2016-09-30,60.048941176470585
2016-10-01,32.092470588235294
2016-10-02,30.536941176470588
2016-10-03,57.02447058823529
2016-10-04,67.63552941176471
2016-10-05,60.81458823529412
2016-10-06,70.20964705882352
2016-10-07,55.364
2016-10-08,26.432
2016-10-09,31.882588235294115
2016-10-10,62.10470588235294
2016-10-11,65.39482352941175
2016-10-12,66.60470588235293
2016-10-13,60.10470588235294
2016-10-14,49.598588235294116
2016-10-15,35.067764705882354
2016-10-16,37.382588235294115
2016-10-17,64.47505882352941
2016-10-18,60.31458823529412
2016-10-19,58.78988235294118
2016-10-20,60.52447058823529
2016-10-21,58.81458823529412
2016-10-22,40.567764705882354
2016-10-23,37.987529411764704
2016-10-24,64.20964705882352
2016-10-25,61.18494117647059
2016-10-26,62.52447058823529
2016-10-27,50.88870588235294
2016-10-28,51.78376470588235
2016-10-29,34.487529411764704
2016-10-30,34.567764705882354
2016-10-31,58.62941176470588
2016-11-01,70.99976470588236
2016-11-02,69.0
2016-11-03,63.0
