date,trump stupid
2016-05-01,3.140845070422535
2016-05-02,2.7713338856669427
2016-05-03,2.5865782932891466
2016-05-04,8.498757249378624
2016-05-05,6.096934548467274
2016-05-06,6.466445733222867
2016-05-07,6.096934548467274
2016-05-08,3.6951118475559235
2016-05-09,3.6951118475559235
2016-05-10,4.064623032311516
2016-05-11,3.325600662800331
2016-05-12,4.618889809444904
2016-05-13,4.618889809444904
2016-05-14,2.4018227009113504
2016-05-15,2.5865782932891466
2016-05-16,4.803645401822701
2016-05-17,3.140845070422535
2016-05-18,4.249378624689312
2016-05-19,3.8798674399337196
2016-05-20,2.956089478044739
2016-05-21,2.4018227009113504
2016-05-22,1.6628003314001656
2016-05-23,2.7713338856669427
2016-05-24,3.325600662800331
2016-05-25,3.5103562551781273
2016-05-26,2.7713338856669427
2016-05-27,3.325600662800331
2016-05-28,2.7713338856669427
2016-05-29,2.5865782932891466
2016-05-30,2.032311516155758
2016-05-31,2.5865782932891466
2016-06-01,2.5865782932891466
2016-06-02,1.8475559237779617
2016-06-03,4.618889809444904
2016-06-04,4.064623032311516
2016-06-05,3.5103562551781273
2016-06-06,3.5103562551781273
2016-06-07,5.357912178956089
2016-06-08,7.020712510356255
2016-06-09,4.4341342170671085
2016-06-10,4.9884009942004965
2016-06-11,3.8798674399337196
2016-06-12,3.5103562551781273
2016-06-13,3.325600662800331
2016-06-14,4.064623032311516
2016-06-15,5.357912178956089
2016-06-16,4.803645401822701
2016-06-17,2.956089478044739
2016-06-18,3.6951118475559235
2016-06-19,3.6951118475559235
2016-06-20,2.5865782932891466
2016-06-21,3.140845070422535
2016-06-22,3.6951118475559235
2016-06-23,2.4018227009113504
2016-06-24,3.8798674399337196
2016-06-25,4.803645401822701
2016-06-26,2.5865782932891466
2016-06-27,1.1085335542667771
2016-06-28,2.956089478044739
2016-06-29,2.5865782932891466
2016-06-30,2.032311516155758
2016-07-01,3.140845070422535
2016-07-02,3.325600662800331
2016-07-03,2.032311516155758
2016-07-04,1.6628003314001656
2016-07-05,2.956089478044739
2016-07-06,2.5865782932891466
2016-07-07,2.956089478044739
2016-07-08,2.2170671085335543
2016-07-09,2.2170671085335543
2016-07-10,2.032311516155758
2016-07-11,2.7713338856669427
2016-07-12,2.2170671085335543
2016-07-13,2.7713338856669427
2016-07-14,3.6951118475559235
2016-07-15,2.032311516155758
2016-07-16,2.956089478044739
2016-07-17,3.325600662800331
2016-07-18,4.618889809444904
