date,white supremacist
2016-05-01,3.8069835111542196
2016-05-02,3.3501454898157133
2016-05-03,1.9796314258001941
2016-05-04,4.2638215324927256
2016-05-05,3.654704170708051
2016-05-06,3.8069835111542196
2016-05-07,3.9592628516003883
2016-05-08,2.284190106692532
2016-05-09,1.6750727449078566
2016-05-10,3.8069835111542196
2016-05-11,10.354995150339477
2016-05-12,4.2638215324927256
2016-05-13,1.6750727449078566
2016-05-14,3.0455868089233755
2016-05-15,3.3501454898157133
2016-05-16,1.6750727449078566
2016-05-17,3.1978661493695446
2016-05-18,4.111542192046557
2016-05-19,4.568380213385064
2016-05-20,3.3501454898157133
2016-05-21,4.2638215324927256
2016-05-22,3.8069835111542196
2016-05-23,3.1978661493695446
2016-05-24,2.588748787584869
2016-05-25,2.284190106692532
2016-05-26,4.111542192046557
2016-05-27,2.4364694471387005
2016-05-28,2.284190106692532
2016-05-29,2.7410281280310382
2016-05-30,1.9796314258001941
2016-05-31,1.6750727449078566
2016-06-01,2.588748787584869
2016-06-02,1.6750727449078566
2016-06-03,2.7410281280310382
2016-06-04,5.4820562560620765
2016-06-05,4.2638215324927256
2016-06-06,2.588748787584869
2016-06-07,2.284190106692532
2016-06-08,2.284190106692532
2016-06-09,3.3501454898157133
2016-06-10,2.4364694471387005
2016-06-11,1.9796314258001941
2016-06-12,5.329776915615907
2016-06-13,5.4820562560620765
2016-06-14,1.9796314258001941
2016-06-15,0.9136760426770127
2016-06-16,6.24345295829292
2016-06-17,4.111542192046557
2016-06-18,2.284190106692532
2016-06-19,4.568380213385064
2016-06-20,2.284190106692532
2016-06-21,3.654704170708051
2016-06-22,3.1978661493695446
2016-06-23,3.3501454898157133
2016-06-24,3.502424830261882
2016-06-25,3.1978661493695446
2016-06-26,5.786614936954414
2016-06-27,15.227934044616878
2016-06-28,8.223084384093115
2016-06-29,2.588748787584869
2016-06-30,4.2638215324927256
2016-07-01,2.4364694471387005
2016-07-02,4.416100872938895
2016-07-03,5.634335596508245
2016-07-04,10.05043646944714
2016-07-05,6.091173617846751
2016-07-06,8.83220174587779
2016-07-07,8.527643064985451
2016-07-08,11.573229873908828
2016-07-09,11.11639185257032
2016-07-10,5.786614936954414
2016-07-11,4.2638215324927256
2016-07-12,5.4820562560620765
2016-07-13,8.070805043646946
2016-07-14,10.507274490785646
2016-07-15,9.898157129000971
2016-07-16,5.177497575169738
2016-07-17,5.938894277400583
2016-07-18,7.004849660523764
2016-07-19,10.202715809893308
2016-07-20,8.070805043646946
2016-07-21,7.46168768186227
2016-07-22,8.223084384093115
2016-07-23,8.223084384093115
2016-07-24,5.938894277400583
2016-07-25,4.2638215324927256
2016-07-26,5.938894277400583
2016-07-27,4.720659553831232
2016-07-28,4.416100872938895
2016-07-29,2.7410281280310382
2016-07-30,3.9592628516003883
2016-07-31,4.2638215324927256
2016-08-01,3.0455868089233755
2016-08-02,4.416100872938895
2016-08-03,1.9796314258001941
2016-08-04,1.9796314258001941
2016-08-05,3.8069835111542196
2016-08-06,3.654704170708051
2016-08-07,1.9796314258001941
2016-08-08,4.720659553831232
2016-08-09,3.654704170708051
2016-08-10,4.416100872938895
2016-08-11,3.8069835111542196
2016-08-12,2.1319107662463628
2016-08-13,2.4364694471387005
2016-08-14,3.1978661493695446
2016-08-15,1.6750727449078566
2016-08-16,3.0455868089233755
2016-08-17,3.0455868089233755
2016-08-18,5.634335596508245
2016-08-19,10.05043646944714
2016-08-20,9.593598448108633
2016-08-21,8.375363724539284
2016-08-22,8.527643064985451
2016-08-23,5.634335596508245
2016-08-24,5.02521823472357
2016-08-25,6.7002909796314265
2016-08-26,9.745877788554802
2016-08-27,6.091173617846751
2016-08-28,5.329776915615907
2016-08-29,4.872938894277401
2016-08-30,3.502424830261882
2016-08-31,2.893307468477207
2016-09-01,6.548011639185257
2016-09-02,8.070805043646946
2016-09-03,4.2638215324927256
2016-09-04,7.157129000969933
2016-09-05,4.2638215324927256
2016-09-06,3.1978661493695446
2016-09-07,4.2638215324927256
2016-09-08,4.2638215324927256
2016-09-09,4.2638215324927256
2016-09-10,3.3501454898157133
2016-09-11,6.7002909796314265
2016-09-12,4.568380213385064
2016-09-13,13.705140640155191
2016-09-14,6.395732298739089
2016-09-15,4.872938894277401
2016-09-16,4.720659553831232
2016-09-17,7.004849660523764
2016-09-18,6.852570320077596
2016-09-19,3.502424830261882
2016-09-20,5.634335596508245
2016-09-21,5.938894277400583
2016-09-22,9.289039767216297
2016-09-23,8.984481086323958
2016-09-24,5.177497575169738
2016-09-25,5.938894277400583
2016-09-26,4.720659553831232
2016-09-27,8.375363724539284
2016-09-28,7.9185257032007765
2016-09-29,6.395732298739089
2016-09-30,4.568380213385064
2016-10-01,6.12172647914646
2016-10-02,4.4364694471387
2016-10-03,3.8273520853540255
2016-10-04,5.284190106692532
2016-10-05,3.1750727449078564
2016-10-06,7.916100872938895
2016-10-07,4.284190106692532
2016-10-08,4.208050436469447
2016-10-09,4.208050436469447
2016-10-10,4.860329776915616
2016-10-11,6.62172647914646
2016-10-12,4.555771096023278
2016-10-13,5.164888457807954
2016-10-14,3.6319107662463628
2016-10-15,5.360329776915616
2016-10-16,4.131910766246363
2016-10-17,4.131910766246363
2016-10-18,3.588748787584869
2016-10-19,4.3273520853540255
2016-10-20,3.870514064015519
2016-10-21,5.0455868089233755
2016-10-22,2.5989330746847723
2016-10-23,5.131910766246363
2016-10-24,4.969447138700291
2016-10-25,8.111542192046556
2016-10-26,7.30698351115422
2016-10-27,5.055771096023278
2016-10-28,5.088748787584869
