date,pepe
2016-12-14,46.42962962962963
2016-12-15,47.112418300653594
2016-12-16,49.84357298474946
2016-12-17,52.57472766884531
2016-12-18,51.89193899782135
2016-12-19,46.42962962962963
2016-12-20,46.42962962962963
2016-12-21,47.79520697167756
2016-12-22,64.18213507625272
2016-12-23,65.54771241830065
2016-12-24,62.81655773420479
2016-12-25,51.89193899782135
2016-12-26,49.84357298474946
2016-12-27,46.42962962962963
2016-12-28,47.112418300653594
2016-12-29,46.42962962962963
2016-12-30,46.42962962962963
2016-12-31,50.52636165577342
2017-01-01,50.52636165577342
2017-01-02,44.38126361655773
2017-01-03,46.42962962962963
2017-01-04,45.74684095860567
2017-01-05,45.74684095860567
2017-01-06,48.47799564270152
2017-01-07,52.57472766884531
2017-01-08,51.89193899782135
2017-01-09,43.69847494553377
2017-01-10,44.38126361655773
2017-01-11,46.42962962962963
2017-01-12,43.69847494553377
2017-01-13,45.74684095860567
2017-01-14,50.52636165577342
2017-01-15,50.52636165577342
2017-01-16,41.65010893246187
2017-01-17,42.33289760348584
2017-01-18,43.015686274509804
2017-01-19,45.064052287581696
2017-01-20,47.112418300653594
2017-01-21,60.08540305010893
2017-01-22,53.25751633986928
2017-01-23,45.74684095860567
2017-01-24,48.47799564270152
2017-01-25,49.84357298474946
2017-01-26,46.42962962962963
2017-01-27,49.84357298474946
2017-01-28,58.03703703703704
2017-01-29,59.402614379084966
2017-01-30,50.52636165577342
2017-01-31,47.112418300653594
2017-02-01,46.42962962962963
2017-02-02,48.47799564270152
2017-02-03,47.112418300653594
2017-02-04,50.52636165577342
2017-02-05,49.160784313725486
2017-02-06,41.65010893246187
2017-02-07,40.967320261437905
2017-02-08,40.967320261437905
2017-02-09,43.015686274509804
2017-02-10,48.47799564270152
2017-02-11,49.160784313725486
2017-02-12,47.79520697167756
2017-02-13,40.967320261437905
2017-02-14,45.064052287581696
2017-02-15,50.52636165577342
2017-02-16,42.33289760348584
2017-02-17,45.064052287581696
2017-02-18,48.47799564270152
2017-02-19,49.160784313725486
2017-02-20,40.28453159041394
2017-02-21,40.28453159041394
2017-02-22,42.33289760348584
2017-02-23,43.69847494553377
2017-02-24,44.38126361655773
2017-02-25,47.112418300653594
2017-02-26,48.47799564270152
2017-02-27,41.65010893246187
2017-02-28,44.38126361655773
2017-03-01,40.33674484172754
2017-03-02,40.33674484172754
2017-03-03,45.07770806100217
2017-03-04,52.1987922593874
2017-03-05,48.13097834166345
2017-03-06,40.33192515699089
2017-03-07,49.48209662950146
2017-03-08,49.828310649750094
2017-03-09,46.775040369088806
2017-03-10,44.063164423939504
2017-03-11,48.12615865692682
2017-03-12,50.16970498526207
2017-03-13,41.019533512751494
2017-03-14,39.322201204664864
2017-03-15,41.351288478790195
2017-03-16,40.00498987568883
2017-03-17,43.04380110214019
2017-03-18,44.755592464436745
2017-03-19,44.74595309496347
2017-03-20,38.985626553889524
2017-03-21,40.00498987568883
2017-03-22,39.66359554017684
2017-03-23,39.322201204664864
2017-03-24,42.70722645136485
2017-03-25,46.775040369088806
2017-03-26,44.399739074714844
2017-03-27,38.980806869152886
2017-03-28,36.94689991029091
2017-03-29,38.3076575676022
2017-03-30,41.35610816352684
2017-03-31,66.09474663590925
2017-04-01,67.79689862873252
2017-04-02,59.910287838011
2017-04-03,51.15934691785209
2017-04-04,43.754704600794554
2017-04-05,41.73525669614249
2017-04-06,41.06210739459181
2017-04-07,43.754704600794554
2017-04-08,61.256586441112375
2017-04-09,53.85194412405483
2017-04-10,42.40840599769318
2017-04-11,42.40840599769318
2017-04-12,40.388958093041126
2017-04-13,41.06210739459181
2017-04-14,45.10100320389592
2017-04-15,47.79360041009866
2017-04-16,45.10100320389592
2017-04-17,40.388958093041126
2017-04-18,41.73525669614249
