date,snl
2016-05-01,8.74404761904762
2016-05-02,4.708333333333334
2016-05-03,4.0357142857142865
2016-05-04,4.708333333333334
2016-05-05,4.708333333333334
2016-05-06,4.708333333333334
2016-05-07,6.053571428571429
2016-05-08,17.48809523809524
2016-05-09,9.416666666666668
2016-05-10,6.726190476190476
2016-05-11,5.380952380952381
2016-05-12,5.380952380952381
2016-05-13,5.380952380952381
2016-05-14,6.726190476190476
2016-05-15,20.851190476190478
2016-05-16,12.107142857142858
2016-05-17,7.398809523809525
2016-05-18,6.053571428571429
2016-05-19,6.053571428571429
2016-05-20,6.053571428571429
2016-05-21,6.726190476190476
2016-05-22,18.833333333333336
2016-05-23,10.761904761904763
2016-05-24,7.398809523809525
2016-05-25,6.053571428571429
2016-05-26,5.380952380952381
2016-05-27,5.380952380952381
2016-05-28,6.053571428571429
2016-05-29,8.071428571428573
2016-05-30,5.380952380952381
2016-05-31,4.0357142857142865
2016-06-01,4.708333333333334
2016-06-02,4.0357142857142865
2016-06-03,4.708333333333334
2016-06-04,5.380952380952381
2016-06-05,7.398809523809525
2016-06-06,4.0357142857142865
2016-06-07,4.0357142857142865
2016-06-08,4.708333333333334
2016-06-09,4.0357142857142865
2016-06-10,4.0357142857142865
2016-06-11,5.380952380952381
2016-06-12,7.398809523809525
2016-06-13,4.0357142857142865
2016-06-14,3.363095238095238
2016-06-15,4.0357142857142865
2016-06-16,3.363095238095238
2016-06-17,3.363095238095238
2016-06-18,4.0357142857142865
2016-06-19,5.380952380952381
2016-06-20,3.363095238095238
2016-06-21,3.363095238095238
2016-06-22,4.0357142857142865
2016-06-23,3.363095238095238
2016-06-24,3.363095238095238
2016-06-25,4.0357142857142865
2016-06-26,4.708333333333334
2016-06-27,3.363095238095238
2016-06-28,3.363095238095238
2016-06-29,4.0357142857142865
2016-06-30,3.363095238095238
2016-07-01,4.0357142857142865
2016-07-02,4.0357142857142865
2016-07-03,5.380952380952381
2016-07-04,4.0357142857142865
2016-07-05,3.363095238095238
2016-07-06,3.363095238095238
2016-07-07,3.363095238095238
2016-07-08,3.363095238095238
2016-07-09,4.0357142857142865
2016-07-10,4.708333333333334
2016-07-11,3.363095238095238
2016-07-12,3.363095238095238
2016-07-13,4.0357142857142865
2016-07-14,3.363095238095238
2016-07-15,4.0357142857142865
2016-07-16,4.708333333333334
2016-07-17,5.380952380952381
2016-07-18,4.0357142857142865
2016-07-19,4.708333333333334
2016-07-20,4.0357142857142865
2016-07-21,4.0357142857142865
2016-07-22,4.0357142857142865
2016-07-23,4.0357142857142865
2016-07-24,6.053571428571429
2016-07-25,3.363095238095238
2016-07-26,4.0357142857142865
2016-07-27,4.0357142857142865
2016-07-28,4.0357142857142865
2016-07-29,4.0357142857142865
2016-07-30,4.0357142857142865
2016-07-31,4.708333333333334
2016-08-01,3.363095238095238
2016-08-02,3.363095238095238
2016-08-03,3.363095238095238
2016-08-04,3.363095238095238
2016-08-05,3.363095238095238
2016-08-06,3.363095238095238
2016-08-07,4.0357142857142865
2016-08-08,3.363095238095238
2016-08-09,5.380952380952381
2016-08-10,4.0357142857142865
2016-08-11,4.0357142857142865
2016-08-12,4.0357142857142865
2016-08-13,4.0357142857142865
2016-08-14,4.708333333333334
2016-08-15,4.0357142857142865
2016-08-16,3.363095238095238
2016-08-17,4.0357142857142865
2016-08-18,3.363095238095238
2016-08-19,3.363095238095238
2016-08-20,4.0357142857142865
2016-08-21,4.708333333333334
2016-08-22,4.0357142857142865
2016-08-23,3.363095238095238
2016-08-24,3.363095238095238
2016-08-25,4.0357142857142865
2016-08-26,4.0357142857142865
2016-08-27,4.0357142857142865
2016-08-28,5.380952380952381
2016-08-29,4.0357142857142865
2016-08-30,4.0357142857142865
2016-08-31,3.363095238095238
2016-09-01,4.0357142857142865
2016-09-02,3.363095238095238
2016-09-03,4.0357142857142865
2016-09-04,5.380952380952381
2016-09-05,4.0357142857142865
2016-09-06,4.0357142857142865
2016-09-07,3.363095238095238
2016-09-08,3.363095238095238
2016-09-09,4.0357142857142865
2016-09-10,4.708333333333334
2016-09-11,6.053571428571429
2016-09-12,4.0357142857142865
2016-09-13,4.708333333333334
2016-09-14,4.0357142857142865
2016-09-15,4.0357142857142865
2016-09-16,4.0357142857142865
2016-09-17,4.708333333333334
2016-09-18,6.726190476190476
2016-09-19,4.708333333333334
2016-09-20,4.0357142857142865
2016-09-21,4.0357142857142865
2016-09-22,4.0357142857142865
2016-09-23,4.708333333333334
2016-09-24,4.708333333333334
2016-09-25,6.726190476190476
2016-09-26,4.708333333333334
2016-09-27,4.708333333333334
2016-09-28,5.380952380952381
2016-09-29,5.380952380952381
2016-09-30,6.053571428571429
2016-10-01,8.37202380952381
2016-10-02,58.42261904761905
2016-10-03,34.98809523809524
2016-10-04,18.080357142857146
2016-10-05,11.217261904761905
2016-10-06,8.87202380952381
2016-10-07,8.035714285714286
2016-10-08,11.717261904761905
2016-10-09,59.0952380952381
2016-10-10,26.11607142857143
2016-10-11,15.735119047619047
2016-10-12,10.044642857142858
2016-10-13,8.035714285714286
2016-10-14,8.035714285714286
2016-10-15,9.708333333333334
2016-10-16,63.11309523809524
2016-10-17,38.16964285714286
2016-10-18,18.916666666666668
2016-10-19,12.889880952380953
2016-10-20,14.0625
2016-10-21,10.380952380952381
2016-10-22,12.053571428571429
2016-10-23,67.13095238095238
2016-10-24,34.98809523809524
2016-10-25,20.089285714285715
2016-10-26,13.226190476190476
2016-10-27,10.880952380952381
2016-10-28,10.380952380952381
2016-10-29,12.553571428571429
