date,fraud
2016-05-01,36.85802477284953
2016-05-02,48.858311908195894
2016-05-03,55.715618842679525
2016-05-04,62.57292577716317
2016-05-05,59.14427230992135
2016-05-06,54.001292109058625
2016-05-07,37.715188139659986
2016-05-08,34.28653467241817
2016-05-09,54.001292109058625
2016-05-10,57.42994557630044
2016-05-11,58.287108943110894
2016-05-12,56.572782209489986
2016-05-13,51.429802008627256
2016-05-14,36.85802477284953
2016-05-15,36.85802477284953
2016-05-16,53.144128742248164
2016-05-17,55.715618842679525
2016-05-18,55.715618842679525
2016-05-19,57.42994557630044
2016-05-20,52.28696537543772
2016-05-21,37.715188139659986
2016-05-22,35.143698039228624
2016-05-23,50.5726386418168
2016-05-24,54.001292109058625
2016-05-25,56.572782209489986
2016-05-26,54.85845547586908
2016-05-27,49.715475275006355
2016-05-28,34.28653467241817
2016-05-29,33.429371305607724
2016-05-30,37.715188139659986
2016-05-31,48.858311908195894
2016-06-01,57.42994557630044
2016-06-02,54.85845547586908
2016-06-03,55.715618842679525
2016-06-04,40.286678240091355
2016-06-05,35.143698039228624
2016-06-06,53.144128742248164
2016-06-07,55.715618842679525
2016-06-08,61.71576241035271
2016-06-09,60.0014356767318
2016-06-10,59.14427230992135
2016-06-11,43.71533170733317
2016-06-12,36.000861406039085
2016-06-13,52.28696537543772
2016-06-14,54.85845547586908
2016-06-15,54.85845547586908
2016-06-16,52.28696537543772
2016-06-17,52.28696537543772
2016-06-18,37.715188139659986
2016-06-19,34.28653467241817
2016-06-20,52.28696537543772
2016-06-21,54.85845547586908
2016-06-22,54.85845547586908
2016-06-23,60.0014356767318
2016-06-24,50.5726386418168
2016-06-25,39.429514873280894
2016-06-26,37.715188139659986
2016-06-27,51.429802008627256
2016-06-28,56.572782209489986
2016-06-29,57.42994557630044
2016-06-30,54.001292109058625
2016-07-01,47.14398517457499
2016-07-02,37.715188139659986
2016-07-03,34.28653467241817
2016-07-04,39.429514873280894
2016-07-05,50.5726386418168
2016-07-06,72.85888617888862
2016-07-07,64.28725251078407
2016-07-08,50.5726386418168
2016-07-09,39.429514873280894
2016-07-10,35.143698039228624
2016-07-11,50.5726386418168
2016-07-12,52.28696537543772
2016-07-13,55.715618842679525
2016-07-14,54.001292109058625
2016-07-15,47.14398517457499
2016-07-16,36.85802477284953
2016-07-17,35.143698039228624
2016-07-18,53.144128742248164
2016-07-19,53.144128742248164
2016-07-20,55.715618842679525
2016-07-21,54.001292109058625
2016-07-22,54.001292109058625
2016-07-23,39.429514873280894
2016-07-24,38.57235150647045
2016-07-25,53.144128742248164
2016-07-26,58.287108943110894
2016-07-27,56.572782209489986
2016-07-28,54.001292109058625
2016-07-29,53.144128742248164
2016-07-30,42.85816834052272
2016-07-31,34.28653467241817
2016-08-01,52.28696537543772
2016-08-02,59.14427230992135
2016-08-03,57.42994557630044
2016-08-04,56.572782209489986
2016-08-05,48.858311908195894
2016-08-06,37.715188139659986
2016-08-07,33.429371305607724
2016-08-08,53.144128742248164
2016-08-09,53.144128742248164
2016-08-10,48.858311908195894
2016-08-11,53.144128742248164
2016-08-12,48.00114854138544
2016-08-13,36.85802477284953
2016-08-14,33.429371305607724
2016-08-15,52.28696537543772
2016-08-16,52.28696537543772
2016-08-17,58.287108943110894
2016-08-18,54.85845547586908
2016-08-19,52.28696537543772
2016-08-20,38.57235150647045
2016-08-21,36.000861406039085
2016-08-22,53.144128742248164
2016-08-23,57.42994557630044
2016-08-24,54.85845547586908
2016-08-25,51.429802008627256
2016-08-26,52.28696537543772
2016-08-27,36.85802477284953
2016-08-28,36.000861406039085
2016-08-29,48.858311908195894
2016-08-30,55.715618842679525
2016-08-31,55.715618842679525
2016-09-01,54.85845547586908
2016-09-02,48.858311908195894
2016-09-03,36.000861406039085
2016-09-04,33.429371305607724
2016-09-05,41.14384160690181
2016-09-06,54.85845547586908
2016-09-07,54.85845547586908
2016-09-08,57.42994557630044
2016-09-09,64.28725251078407
2016-09-10,42.001004973712256
2016-09-11,35.143698039228624
2016-09-12,54.001292109058625
2016-09-13,55.715618842679525
2016-09-14,55.715618842679525
2016-09-15,54.85845547586908
2016-09-16,52.28696537543772
2016-09-17,38.57235150647045
2016-09-18,36.85802477284953
2016-09-19,53.144128742248164
2016-09-20,60.858599043542256
2016-09-21,59.14427230992135
2016-09-22,59.14427230992135
2016-09-23,58.287108943110894
2016-09-24,36.000861406039085
2016-09-25,37.715188139659986
2016-09-26,53.144128742248164
2016-09-27,56.572782209489986
2016-09-28,55.715618842679525
2016-09-29,57.42994557630044
2016-09-30,54.85845547586908
2016-10-01,40.132028215173285
2016-10-02,37.01406179350678
2016-10-03,54.73085186786493
2016-10-04,60.16856866330245
2016-10-05,56.19343887482549
2016-10-06,56.563073239315756
2016-10-07,54.30227018445971
2016-10-08,37.87122516031723
2016-10-09,32.80314272936999
2016-10-10,50.63782744155805
2016-10-11,55.76485719142026
2016-10-12,62.54726635598842
2016-10-13,58.45424192968154
2016-10-14,52.89863049641411
2016-10-15,39.6444992128531
2016-10-16,41.16603353872861
2016-10-17,62.48831903707346
2016-10-18,81.60874879947721
2016-10-19,80.38195106817648
2016-10-20,85.76072054469905
2016-10-21,62.91690072047869
2016-10-22,47.40196638206162
2016-10-23,41.35882594647401
2016-10-24,59.79893429881218
2016-10-25,72.62448389896797
2016-10-26,71.53153125649767
2016-10-27,66.58134346338035
2016-10-28,58.336347291851624
2016-10-29,53.268264860904374
2016-10-30,51.06640912496328
2016-10-31,58.82387629417181
2016-11-01,62.91690072047869
2016-11-02,65.32888631090486
