date,moron
2016-12-14,66.44731610337972
2016-12-15,74.11431411530816
2016-12-16,65.59542743538768
2016-12-17,57.92842942345925
2016-12-18,46.00198807157058
2016-12-19,71.55864811133202
2016-12-20,74.9662027833002
2016-12-21,68.15109343936382
2016-12-22,81.78131212723659
2016-12-23,79.22564612326045
2016-12-24,63.039761431411534
2016-12-25,49.40954274353877
2016-12-26,70.70675944333996
2016-12-27,64.74353876739563
2016-12-28,69.00298210735586
2016-12-29,64.74353876739563
2016-12-30,60.48409542743539
2016-12-31,42.59443339960239
2017-01-01,41.74254473161034
2017-01-02,73.2624254473161
2017-01-03,59.63220675944334
2017-01-04,69.85487077534792
2017-01-05,70.70675944333996
2017-01-06,58.7803180914513
2017-01-07,46.85387673956263
2017-01-08,55.37276341948311
2017-01-09,67.29920477137178
2017-01-10,66.44731610337972
2017-01-11,68.15109343936382
2017-01-12,66.44731610337972
2017-01-13,59.63220675944334
2017-01-14,52.817097415506964
2017-01-15,50.261431411530815
2017-01-16,63.891650099403584
2017-01-17,61.33598409542744
2017-01-18,63.039761431411534
2017-01-19,63.039761431411534
2017-01-20,60.48409542743539
2017-01-21,57.0765407554672
2017-01-22,46.00198807157058
2017-01-23,66.44731610337972
2017-01-24,66.44731610337972
2017-01-25,57.92842942345925
2017-01-26,67.29920477137178
2017-01-27,59.63220675944334
2017-01-28,59.63220675944334
2017-01-29,51.113320079522865
2017-01-30,58.7803180914513
2017-01-31,65.59542743538768
2017-02-01,64.74353876739563
2017-02-02,65.59542743538768
2017-02-03,65.59542743538768
2017-02-04,63.039761431411534
2017-02-05,51.965208747514914
2017-02-06,65.59542743538768
2017-02-07,73.2624254473161
2017-02-08,77.52186878727635
2017-02-09,69.85487077534792
2017-02-10,83.48508946322067
2017-02-11,56.22465208747515
2017-02-12,52.817097415506964
2017-02-13,72.41053677932406
2017-02-14,74.11431411530816
2017-02-15,67.29920477137178
2017-02-16,69.85487077534792
2017-02-17,67.29920477137178
2017-02-18,53.66898608349901
2017-02-19,63.039761431411534
2017-02-20,77.52186878727635
2017-02-21,69.00298210735586
2017-02-22,78.37375745526839
2017-02-23,71.55864811133202
2017-02-24,69.85487077534792
2017-02-25,69.00298210735586
2017-02-26,56.22465208747515
2017-02-27,55.37276341948311
2017-02-28,62.187872763419485
2017-03-01,68.23315610921627
2017-03-02,84.55581191748593
2017-03-03,76.28702099330621
2017-03-04,67.94789063782443
2017-03-05,57.58845550549912
2017-03-06,81.78912761960348
2017-03-07,81.57420157951375
2017-03-08,79.33897076258049
2017-03-09,76.99823079869408
2017-03-10,78.77234756598027
2017-03-11,79.12795246867421
2017-03-12,57.518116074197025
2017-03-13,78.38157294763529
2017-03-14,82.39092053185476
2017-03-15,75.72039779670601
2017-03-16,71.0701798384008
2017-03-17,74.37222536341585
2017-03-18,65.00535776168677
2017-03-19,60.03861236252212
2017-03-20,75.2241140314079
2017-03-21,81.92980648220768
2017-03-22,76.99823079869408
2017-03-23,74.4073950790669
2017-03-24,59.077306801393476
2017-03-25,66.77947452897295
2017-03-26,56.34579221916209
2017-03-27,73.09439236142777
2017-03-28,78.73717785032923
2017-03-29,69.58132854250644
2017-03-30,73.5906761267259
2017-03-31,68.09247724661208
2017-04-01,61.457124227114384
2017-04-02,60.867054553413475
2017-04-03,75.62270414211977
2017-04-04,73.77824794353148
2017-04-05,76.54493224141392
2017-04-06,59.022598354825185
2017-04-07,74.70047604282563
2017-04-08,61.78928265270761
2017-04-09,60.867054553413475
2017-04-10,70.0893355463549
2017-04-11,76.54493224141392
2017-04-12,76.54493224141392
2017-04-13,62.71151075200176
2017-04-14,56.25591405694276
2017-04-15,61.78928265270761
2017-04-16,51.64477356047204
2017-04-17,79.31161653929634
2017-04-18,73.77824794353148
2017-04-19,66.40042314917834
2017-04-20,70.0893355463549
2017-04-21,71.01156364564905
2017-04-22,58.10037025553104
2017-04-23,54.41145785835447
2017-04-24,67.32265124847248
2017-04-25,71.01156364564905
2017-04-26,68.24487934776661
2017-04-27,68.24487934776661
2017-04-28,75.62270414211977
2017-04-29,56.25591405694276
2017-04-30,49.80031736188375
2017-05-01,53.48922975906032
2017-05-02,68.24487934776661
2017-05-03,72.85601984423734
2017-05-04,62.71151075200176
2017-05-05,70.0893355463549
2017-05-06,68.24487934776661
2017-05-07,62.71151075200176
2017-05-08,74.70047604282563
2017-05-09,67.32265124847248
2017-05-10,72.85601984423734
2017-05-11,72.85601984423734
2017-05-12,73.77824794353148
2017-05-13,63.6337388512959
2017-05-14,53.48922975906032
2017-05-15,69.16710744706076
2017-05-16,64.55596695059005
2017-05-17,64.55596695059005
2017-05-18,69.16710744706076
2017-05-19,69.16710744706076
2017-05-20,59.94482645411933
2017-05-21,50.722545461177894
2017-05-22,64.55596695059005
2017-05-23,67.32265124847248
2017-05-24,79.31161653929634
2017-05-25,59.022598354825185
2017-05-26,73.77824794353148
2017-05-27,56.25591405694276
2017-05-28,53.48922975906032
2017-05-29,66.40042314917834
2017-05-30,70.0893355463549
2017-05-31,68.24487934776661
2017-06-01,92.22280992941435
2017-06-02,81.15607273788463
2017-06-03,63.6337388512959
