date,donald trump crooked
2016-05-01,0.0
2016-05-02,10.751569506726458
2016-05-03,10.1542600896861
2016-05-04,20.90582959641256
2016-05-05,25.68430493273543
2016-05-06,41.214349775784754
2016-05-07,8.362331838565023
2016-05-08,16.724663677130046
2016-05-09,7.167713004484305
2016-05-10,34.643946188340806
2016-05-11,10.1542600896861
2016-05-12,14.33542600896861
2016-05-13,0.0
2016-05-14,16.724663677130046
2016-05-15,8.362331838565023
2016-05-16,13.738116591928252
2016-05-17,23.89237668161435
2016-05-18,0.0
2016-05-19,7.167713004484305
2016-05-20,29.26816143497758
2016-05-21,12.543497757847534
2016-05-22,25.08699551569507
2016-05-23,20.90582959641256
2016-05-24,17.321973094170403
2016-05-25,21.503139013452916
2016-05-26,14.93273542600897
2016-05-27,14.93273542600897
2016-05-28,0.0
2016-05-29,25.08699551569507
2016-05-30,17.919282511210763
2016-05-31,13.738116591928252
2016-06-01,10.751569506726458
2016-06-02,25.08699551569507
2016-06-03,22.100448430493273
2016-06-04,12.543497757847534
2016-06-05,16.724663677130046
2016-06-06,31.657399103139014
2016-06-07,20.90582959641256
2016-06-08,25.08699551569507
2016-06-09,25.08699551569507
2016-06-10,41.214349775784754
2016-06-11,57.9390134529148
2016-06-12,20.3085201793722
2016-06-13,17.321973094170403
2016-06-14,13.738116591928252
2016-06-15,0.0
2016-06-16,14.33542600896861
2016-06-17,7.167713004484305
2016-06-18,8.362331838565023
2016-06-19,25.08699551569507
2016-06-20,7.167713004484305
2016-06-21,7.167713004484305
2016-06-22,28.67085201793722
2016-06-23,17.919282511210763
2016-06-24,59.73094170403588
2016-06-25,12.543497757847534
2016-06-26,20.90582959641256
2016-06-27,14.33542600896861
2016-06-28,17.919282511210763
2016-06-29,17.919282511210763
2016-06-30,10.751569506726458
2016-07-01,14.93273542600897
2016-07-02,17.321973094170403
2016-07-03,17.321973094170403
2016-07-04,14.93273542600897
2016-07-05,25.68430493273543
2016-07-06,40.6170403587444
2016-07-07,26.281614349775786
2016-07-08,26.281614349775786
2016-07-09,8.959641255605382
2016-07-10,16.724663677130046
2016-07-11,7.167713004484305
2016-07-12,7.167713004484305
2016-07-13,10.751569506726458
2016-07-14,25.68430493273543
2016-07-15,11.348878923766817
2016-07-16,21.503139013452916
2016-07-17,17.321973094170403
2016-07-18,25.08699551569507
2016-07-19,22.100448430493273
2016-07-20,22.100448430493273
2016-07-21,29.86547085201794
2016-07-22,26.281614349775786
2016-07-23,17.321973094170403
2016-07-24,34.04663677130045
2016-07-25,17.919282511210763
2016-07-26,7.167713004484305
2016-07-27,46.59013452914799
2016-07-28,40.01973094170404
2016-07-29,19.11390134529148
2016-07-30,38.82511210762332
2016-07-31,29.86547085201794
2016-08-01,21.503139013452916
2016-08-02,21.503139013452916
2016-08-03,25.68430493273543
2016-08-04,10.751569506726458
2016-08-05,22.697757847533634
2016-08-06,13.140807174887893
2016-08-07,8.362331838565023
2016-08-08,7.167713004484305
2016-08-09,17.919282511210763
2016-08-10,7.167713004484305
2016-08-11,22.100448430493273
2016-08-12,14.93273542600897
2016-08-13,8.362331838565023
2016-08-14,38.82511210762332
2016-08-15,22.697757847533634
2016-08-16,10.751569506726458
2016-08-17,7.167713004484305
2016-08-18,10.751569506726458
2016-08-19,14.93273542600897
2016-08-20,16.724663677130046
2016-08-21,16.724663677130046
2016-08-22,17.919282511210763
2016-08-23,7.167713004484305
2016-08-24,14.33542600896861
2016-08-25,7.167713004484305
2016-08-26,7.765022421524664
2016-08-27,16.724663677130046
2016-08-28,8.362331838565023
2016-08-29,10.1542600896861
2016-08-30,10.751569506726458
2016-08-31,0.0
2016-09-01,7.167713004484305
2016-09-02,22.100448430493273
2016-09-03,8.362331838565023
2016-09-04,33.44932735426009
2016-09-05,21.503139013452916
2016-09-06,10.1542600896861
2016-09-07,10.751569506726458
2016-09-08,21.503139013452916
2016-09-09,7.167713004484305
2016-09-10,8.362331838565023
2016-09-11,32.25470852017938
2016-09-12,7.167713004484305
2016-09-13,13.738116591928252
2016-09-14,13.738116591928252
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,11.946188340807176
2016-09-18,7.765022421524664
2016-09-19,7.167713004484305
2016-09-20,10.1542600896861
2016-09-21,17.321973094170403
2016-09-22,13.738116591928252
2016-09-23,10.751569506726458
2016-09-24,8.362331838565023
2016-09-25,7.765022421524664
2016-09-26,34.04663677130045
2016-09-27,40.6170403587444
2016-09-28,27.476233183856504
2016-09-29,20.90582959641256
2016-09-30,28.67085201793722
2016-10-01,7.882511210762332
2016-10-02,20.05695067264574
2016-10-03,6.785201793721973
2016-10-04,12.077130044843049
2016-10-05,12.369058295964127
2016-10-06,13.6542600896861
2016-10-07,11.083856502242153
2016-10-08,8.382511210762331
2016-10-09,20.35560538116592
2016-10-10,41.02331838565023
2016-10-11,22.946188340807176
2016-10-12,19.744843049327354
2016-10-13,29.815246636771302
2016-10-14,16.1609865470852
2016-10-15,16.88251121076233
2016-10-16,28.647533632286997
2016-10-17,27.85560538116592
2016-10-18,14.077130044843049
2016-10-19,22.647533632286997
2016-10-20,34.71793721973094
2016-10-21,14.577130044843049
2016-10-22,20.147533632286997
2016-10-23,33.795067264573994
2016-10-24,27.724663677130046
2016-10-25,11.862331838565023
2016-10-26,13.570403587443947
2016-10-27,27.724663677130046
2016-10-28,25.536771300448432
2016-10-29,27.265022421524662
2016-10-30,24.647533632286997
2016-10-31,23.45291479820628
2016-11-01,28.53004484304933
2016-11-02,18.0
2016-11-03,29.0
2016-11-04,37.0
2016-11-05,42.0
