date,obama scam
2016-05-01,22.285267788238926
2016-05-02,9.656949374903535
2016-05-03,14.11400293255132
2016-05-04,14.11400293255132
2016-05-05,0.0
2016-05-06,10.028370504707517
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,18.942477620003086
2016-05-10,18.942477620003086
2016-05-11,9.285528245099554
2016-05-12,9.656949374903535
2016-05-13,14.856845192159286
2016-05-14,0.0
2016-05-15,11.142633894119463
2016-05-16,0.0
2016-05-17,9.285528245099554
2016-05-18,0.0
2016-05-19,9.656949374903535
2016-05-20,10.028370504707517
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,18.942477620003086
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,14.856845192159286
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,9.656949374903535
2016-06-01,9.656949374903535
2016-06-02,9.656949374903535
2016-06-03,15.228266321963266
2016-06-04,11.514055023923447
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,18.942477620003086
2016-06-08,9.656949374903535
2016-06-09,0.0
2016-06-10,10.028370504707517
2016-06-11,0.0
2016-06-12,11.142633894119463
2016-06-13,18.942477620003086
2016-06-14,9.656949374903535
2016-06-15,9.656949374903535
2016-06-16,9.656949374903535
2016-06-17,14.856845192159286
2016-06-18,11.514055023923447
2016-06-19,11.142633894119463
2016-06-20,9.285528245099554
2016-06-21,9.656949374903535
2016-06-22,9.656949374903535
2016-06-23,0.0
2016-06-24,20.056741009415035
2016-06-25,11.514055023923447
2016-06-26,0.0
2016-06-27,14.11400293255132
2016-06-28,9.656949374903535
2016-06-29,9.656949374903535
2016-06-30,19.685319879611054
2016-07-01,20.428162139219015
2016-07-02,11.514055023923447
2016-07-03,11.885476153727428
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,10.028370504707517
2016-07-07,15.228266321963266
2016-07-08,0.0
2016-07-09,11.514055023923447
2016-07-10,11.514055023923447
2016-07-11,14.485424062355303
2016-07-12,18.942477620003086
2016-07-13,9.656949374903535
2016-07-14,10.028370504707517
2016-07-15,19.685319879611054
2016-07-16,11.514055023923447
2016-07-17,17.456793100787163
2016-07-18,19.685319879611054
2016-07-19,10.028370504707517
2016-07-20,10.028370504707517
2016-07-21,24.8852156968668
2016-07-22,10.028370504707517
2016-07-23,17.456793100787163
2016-07-24,11.514055023923447
2016-07-25,9.656949374903535
2016-07-26,34.17074394196636
2016-07-27,29.342269254514587
2016-07-28,24.51379456706282
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,11.514055023923447
2016-08-01,0.0
2016-08-02,10.028370504707517
2016-08-03,14.856845192159286
2016-08-04,14.856845192159286
2016-08-05,10.3997916345115
2016-08-06,23.399531177650875
2016-08-07,11.514055023923447
2016-08-08,9.656949374903535
2016-08-09,9.656949374903535
2016-08-10,10.028370504707517
2016-08-11,10.028370504707517
2016-08-12,10.3997916345115
2016-08-13,0.0
2016-08-14,23.399531177650875
2016-08-15,0.0
2016-08-16,9.656949374903535
2016-08-17,9.656949374903535
2016-08-18,19.685319879611054
2016-08-19,10.028370504707517
2016-08-20,16.713950841179194
2016-08-21,11.142633894119463
2016-08-22,19.31389874980707
2016-08-23,0.0
2016-08-24,9.656949374903535
2016-08-25,10.028370504707517
2016-08-26,10.028370504707517
2016-08-27,11.142633894119463
2016-08-28,11.142633894119463
2016-08-29,14.11400293255132
2016-08-30,14.11400293255132
2016-08-31,0.0
2016-09-01,9.656949374903535
2016-09-02,14.856845192159286
2016-09-03,0.0
2016-09-04,11.142633894119463
2016-09-05,10.028370504707517
2016-09-06,9.285528245099554
2016-09-07,18.942477620003086
2016-09-08,14.485424062355303
2016-09-09,0.0
2016-09-10,11.142633894119463
2016-09-11,10.771212764315482
2016-09-12,18.942477620003086
2016-09-13,14.11400293255132
2016-09-14,28.22800586510264
2016-09-15,9.656949374903535
2016-09-16,9.656949374903535
2016-09-17,10.771212764315482
2016-09-18,0.0
2016-09-19,9.285528245099554
2016-09-20,18.199635360395124
2016-09-21,23.028110047846894
2016-09-22,14.11400293255132
2016-09-23,19.685319879611054
2016-09-24,10.771212764315482
2016-09-25,16.342529711375214
2016-09-26,27.85658473529866
2016-09-27,9.285528245099554
2016-09-28,27.485163605494677
2016-09-29,37.14211298039822
2016-09-30,9.656949374903535
2016-10-01,13.177404885013122
2016-10-02,10.391746411483254
2016-10-03,0.0
2016-10-04,18.040742205587286
2016-10-05,13.610506058033648
2016-10-06,20.61320226886865
2016-10-07,0.0
2016-10-08,5.427843803056027
2016-10-09,0.0
2016-10-10,4.483870967741936
2016-10-11,18.357858079950613
2016-10-12,13.76939921284149
2016-10-13,18.226452770489274
2016-10-14,14.136797731131349
2016-10-15,10.577456976385246
2016-10-16,10.391746411483254
2016-10-17,4.483870967741936
2016-10-18,22.288619964500697
2016-10-19,11.169451304213613
2016-10-20,20.19149849513814
2016-10-21,13.84649926686217
2016-10-22,10.391746411483254
2016-10-23,10.391746411483254
2016-10-24,13.47910074857231
2016-10-25,17.67267325204507
2016-10-26,11.169451304213613
2016-10-27,13.47910074857231
2016-10-28,9.362628299120235
2016-10-29,10.577456976385246
2016-10-30,13.173382273498998
2016-10-31,18.489263389411946
2016-11-01,20.849195477697176
2016-11-02,8.967741935483872
2016-11-03,8.967741935483872
2016-11-04,13.687606112054329
2016-11-05,9.911714770797962
2016-11-06,25.01528013582343
2016-11-07,13.215619694397283
2016-11-08,8.495755517826826
2016-11-09,32.56706281833616
2016-11-10,22.183361629881155
2016-11-11,18.40747028862479
