date,trump alone
2016-05-01,0.7723169508525577
2016-05-02,0.7723169508525577
2016-05-03,0.8425275827482448
2016-05-04,1.3340020060180542
2016-05-05,1.4042126379137412
2016-05-06,1.19358074222668
2016-05-07,0.5616850551654965
2016-05-08,1.8254764292878636
2016-05-09,0.9829488465396189
2016-05-10,0.8425275827482448
2016-05-11,0.49147442326980945
2016-05-12,0.9127382146439318
2016-05-13,0.9829488465396189
2016-05-14,0.8425275827482448
2016-05-15,0.3510531594784353
2016-05-16,0.49147442326980945
2016-05-17,0.7723169508525577
2016-05-18,0.6318956870611836
2016-05-19,0.49147442326980945
2016-05-20,0.7723169508525577
2016-05-21,0.6318956870611836
2016-05-22,0.3510531594784353
2016-05-23,0.3510531594784353
2016-05-24,0.8425275827482448
2016-05-25,0.49147442326980945
2016-05-26,0.4212637913741224
2016-05-27,0.7723169508525577
2016-05-28,0.4212637913741224
2016-05-29,0.5616850551654965
2016-05-30,0.6318956870611836
2016-05-31,0.7021063189568706
2016-06-01,0.6318956870611836
2016-06-02,0.8425275827482448
2016-06-03,0.5616850551654965
2016-06-04,0.7021063189568706
2016-06-05,0.9127382146439318
2016-06-06,0.5616850551654965
2016-06-07,0.3510531594784353
2016-06-08,0.49147442326980945
2016-06-09,0.49147442326980945
2016-06-10,0.6318956870611836
2016-06-11,0.9829488465396189
2016-06-12,0.5616850551654965
2016-06-13,0.7021063189568706
2016-06-14,0.49147442326980945
2016-06-15,0.7021063189568706
2016-06-16,1.5446339017051154
2016-06-17,1.053159478435306
2016-06-18,0.5616850551654965
2016-06-19,0.6318956870611836
2016-06-20,0.9127382146439318
2016-06-21,0.7723169508525577
2016-06-22,0.7021063189568706
2016-06-23,0.7021063189568706
2016-06-24,0.9127382146439318
2016-06-25,0.6318956870611836
2016-06-26,0.49147442326980945
2016-06-27,0.6318956870611836
2016-06-28,0.49147442326980945
2016-06-29,0.5616850551654965
2016-06-30,0.6318956870611836
2016-07-01,0.7723169508525577
2016-07-02,0.28084252758274825
2016-07-03,0.6318956870611836
2016-07-04,0.49147442326980945
2016-07-05,0.49147442326980945
2016-07-06,0.7723169508525577
2016-07-07,0.6318956870611836
2016-07-08,0.49147442326980945
2016-07-09,0.49147442326980945
2016-07-10,0.3510531594784353
2016-07-11,0.28084252758274825
2016-07-12,0.28084252758274825
2016-07-13,0.2106318956870612
2016-07-14,0.2106318956870612
2016-07-15,0.3510531594784353
2016-07-16,0.3510531594784353
2016-07-17,1.7552657973921766
2016-07-18,1.3340020060180542
2016-07-19,1.6148445336008024
2016-07-20,0.9829488465396189
2016-07-21,1.2637913741223672
2016-07-22,2.316950852557673
2016-07-23,2.0361083249749248
2016-07-24,1.123370110330993
2016-07-25,0.7021063189568706
2016-07-26,0.9829488465396189
2016-07-27,0.9829488465396189
2016-07-28,1.123370110330993
2016-07-29,3.8615847542627884
2016-07-30,1.4744232698094284
2016-07-31,0.7723169508525577
2016-08-01,0.5616850551654965
2016-08-02,0.9127382146439318
2016-08-03,0.49147442326980945
2016-08-04,0.7021063189568706
2016-08-05,0.7021063189568706
2016-08-06,0.49147442326980945
2016-08-07,0.7021063189568706
2016-08-08,0.28084252758274825
2016-08-09,0.5616850551654965
2016-08-10,0.3510531594784353
2016-08-11,0.8425275827482448
2016-08-12,0.5616850551654965
2016-08-13,0.3510531594784353
2016-08-14,0.49147442326980945
2016-08-15,0.4212637913741224
2016-08-16,0.3510531594784353
2016-08-17,0.4212637913741224
2016-08-18,0.7021063189568706
2016-08-19,1.5446339017051154
2016-08-20,0.5616850551654965
2016-08-21,0.7021063189568706
2016-08-22,0.49147442326980945
2016-08-23,0.5616850551654965
2016-08-24,0.3510531594784353
2016-08-25,0.4212637913741224
2016-08-26,0.49147442326980945
2016-08-27,0.4212637913741224
2016-08-28,0.3510531594784353
2016-08-29,0.2106318956870612
2016-08-30,0.5616850551654965
2016-08-31,0.4212637913741224
2016-09-01,0.4212637913741224
2016-09-02,0.7723169508525577
2016-09-03,0.7021063189568706
2016-09-04,0.9829488465396189
2016-09-05,0.6318956870611836
2016-09-06,0.5616850551654965
2016-09-07,0.2106318956870612
2016-09-08,0.28084252758274825
2016-09-09,0.49147442326980945
2016-09-10,0.2106318956870612
2016-09-11,0.2106318956870612
2016-09-12,0.3510531594784353
2016-09-13,0.5616850551654965
2016-09-14,0.6318956870611836
2016-09-15,1.2637913741223672
2016-09-16,0.7723169508525577
2016-09-17,0.7723169508525577
2016-09-18,0.5616850551654965
2016-09-19,0.6318956870611836
2016-09-20,0.3510531594784353
2016-09-21,0.4212637913741224
2016-09-22,0.6318956870611836
2016-09-23,0.4212637913741224
2016-09-24,0.4212637913741224
2016-09-25,0.6318956870611836
2016-09-26,0.7021063189568706
2016-09-27,2.0361083249749248
2016-09-28,0.7021063189568706
2016-09-29,0.6318956870611836
2016-09-30,0.6318956870611836
2016-10-01,1.2021063189568706
2016-10-02,0.8861584754262788
2016-10-03,0.9563691073219659
2016-10-04,0.9563691073219659
2016-10-05,1.1318956870611836
2016-10-06,0.9914744232698094
2016-10-07,2.053159478435306
2016-10-08,1.9478435305917752
2016-10-09,2.19358074222668
2016-10-10,2.19358074222668
2016-10-11,2.053159478435306
2016-10-12,1.9127382146439318
2016-10-13,2.69358074222668
2016-10-14,4.711634904714142
2016-10-15,3.3254764292878636
2016-10-16,7.510531594784354
2016-10-17,5.273319959879639
2016-10-18,2.9744232698094284
2016-10-19,1.8776328986960884
2016-10-20,2.1584754262788364
2016-10-21,2.263791374122367
2016-10-22,1.9478435305917752
