date,hackers
2016-05-01,36.51564903073327
2016-05-02,40.8116077402313
2016-05-03,39.379621503731954
2016-05-04,39.379621503731954
2016-05-05,42.959587094980314
2016-05-06,42.243593976730644
2016-05-07,40.095614621981625
2016-05-08,40.095614621981625
2016-05-09,35.08366279423392
2016-05-10,37.94763526723261
2016-05-11,35.799655912483594
2016-05-12,37.94763526723261
2016-05-13,39.379621503731954
2016-05-14,35.799655912483594
2016-05-15,38.66362838548228
2016-05-16,33.651676557734575
2016-05-17,39.379621503731954
2016-05-18,40.8116077402313
2016-05-19,39.379621503731954
2016-05-20,35.799655912483594
2016-05-21,37.94763526723261
2016-05-22,42.243593976730644
2016-05-23,37.94763526723261
2016-05-24,36.51564903073327
2016-05-25,37.23164214898294
2016-05-26,42.243593976730644
2016-05-27,40.8116077402313
2016-05-28,36.51564903073327
2016-05-29,39.379621503731954
2016-05-30,36.51564903073327
2016-05-31,37.94763526723261
2016-06-01,38.66362838548228
2016-06-02,42.959587094980314
2016-06-03,40.8116077402313
2016-06-04,44.391573331479655
2016-06-05,52.26749763222605
2016-06-06,37.94763526723261
2016-06-07,38.66362838548228
2016-06-08,40.095614621981625
2016-06-09,37.23164214898294
2016-06-10,38.66362838548228
2016-06-11,40.8116077402313
2016-06-12,43.675580213229985
2016-06-13,38.66362838548228
2016-06-14,47.25554580447835
2016-06-15,46.539552686228674
2016-06-16,50.119518277477034
2016-06-17,40.8116077402313
2016-06-18,42.243593976730644
2016-06-19,44.391573331479655
2016-06-20,37.23164214898294
2016-06-21,37.23164214898294
2016-06-22,38.66362838548228
2016-06-23,37.23164214898294
2016-06-24,37.94763526723261
2016-06-25,36.51564903073327
2016-06-26,39.379621503731954
2016-06-27,40.095614621981625
2016-06-28,38.66362838548228
2016-06-29,37.23164214898294
2016-06-30,38.66362838548228
2016-07-01,37.23164214898294
2016-07-02,39.379621503731954
2016-07-03,40.8116077402313
2016-07-04,37.23164214898294
2016-07-05,35.08366279423392
2016-07-06,40.8116077402313
2016-07-07,38.66362838548228
2016-07-08,39.379621503731954
2016-07-09,41.52760085848097
2016-07-10,40.8116077402313
2016-07-11,42.959587094980314
2016-07-12,37.23164214898294
2016-07-13,43.675580213229985
2016-07-14,41.52760085848097
2016-07-15,39.379621503731954
2016-07-16,47.25554580447835
2016-07-17,40.095614621981625
2016-07-18,42.243593976730644
2016-07-19,45.10756644972933
2016-07-20,38.66362838548228
2016-07-21,37.23164214898294
2016-07-22,37.94763526723261
2016-07-23,40.095614621981625
2016-07-24,39.379621503731954
2016-07-25,43.675580213229985
2016-07-26,43.675580213229985
2016-07-27,42.959587094980314
2016-07-28,47.25554580447835
2016-07-29,44.391573331479655
2016-07-30,51.55150451397638
2016-07-31,44.391573331479655
2016-08-01,38.66362838548228
2016-08-02,40.8116077402313
2016-08-03,43.675580213229985
2016-08-04,36.51564903073327
2016-08-05,40.095614621981625
2016-08-06,39.379621503731954
2016-08-07,37.94763526723261
2016-08-08,42.959587094980314
2016-08-09,40.095614621981625
2016-08-10,42.243593976730644
2016-08-11,38.66362838548228
2016-08-12,37.94763526723261
2016-08-13,39.379621503731954
2016-08-14,36.51564903073327
2016-08-15,40.095614621981625
2016-08-16,40.095614621981625
2016-08-17,36.51564903073327
2016-08-18,35.08366279423392
2016-08-19,35.799655912483594
2016-08-20,40.8116077402313
2016-08-21,41.52760085848097
2016-08-22,36.51564903073327
2016-08-23,39.379621503731954
2016-08-24,42.959587094980314
2016-08-25,42.243593976730644
2016-08-26,37.94763526723261
2016-08-27,44.391573331479655
2016-08-28,40.095614621981625
2016-08-29,37.94763526723261
2016-08-30,41.52760085848097
2016-08-31,43.675580213229985
2016-09-01,40.8116077402313
2016-09-02,40.095614621981625
2016-09-03,39.379621503731954
2016-09-04,41.52760085848097
2016-09-05,37.94763526723261
2016-09-06,38.66362838548228
2016-09-07,37.23164214898294
2016-09-08,35.08366279423392
2016-09-09,40.095614621981625
2016-09-10,37.23164214898294
2016-09-11,41.52760085848097
2016-09-12,37.94763526723261
2016-09-13,49.403525159227364
2016-09-14,54.41547698697506
2016-09-15,48.687532040977686
2016-09-16,44.391573331479655
2016-09-17,45.10756644972933
2016-09-18,38.66362838548228
2016-09-19,40.8116077402313
2016-09-20,47.97153892272802
2016-09-21,42.959587094980314
2016-09-22,41.52760085848097
2016-09-23,48.687532040977686
2016-09-24,42.243593976730644
2016-09-25,42.959587094980314
2016-09-26,41.52760085848097
2016-09-27,50.119518277477034
2016-09-28,43.675580213229985
2016-09-29,43.675580213229985
2016-09-30,41.52760085848097
2016-10-01,35.61380955277311
2016-10-02,40.790326014232704
2016-10-03,40.98628646154648
2016-10-04,41.50631913248238
2016-10-05,40.88704197693918
2016-10-06,39.22769947952418
2016-10-07,37.665072944815655
2016-10-08,44.01229504635623
2016-10-09,39.65101618775361
2016-10-10,43.49226237542033
2016-10-11,47.75682527131648
2016-10-12,43.980899232754346
2016-10-13,42.71094910806607
2016-10-14,42.71094910806607
2016-10-15,43.78493878544057
2016-10-16,41.76759972890074
2016-10-17,39.7163363368582
2016-10-18,41.571639281586975
2016-10-19,39.03173903221042
2016-10-20,40.65968571602353
2016-10-21,59.996556952566316
2016-10-22,70.08830927906713
2016-10-23,56.28595106310877
2016-10-24,52.575345173651236
2016-10-25,48.245462128650495
2016-10-26,46.77955155664844
2016-10-27,40.10572870958492
2016-10-28,48.47281838956615
2016-10-29,47.78822108491836
2016-10-30,47.529469010400824
2016-10-31,44.63157220189943
2016-11-01,48.407498240461564
2016-11-02,46.56483790523691
