date,struck down
2016-12-14,49.602846975088966
2016-12-15,26.759430604982207
2016-12-16,28.06476868327402
2016-12-17,11.748042704626334
2016-12-18,11.748042704626334
2016-12-19,30.02277580071174
2016-12-20,23.496085409252668
2016-12-21,10.44270462633452
2016-12-22,20.88540925266904
2016-12-23,18.27473309608541
2016-12-24,8.484697508896797
2016-12-25,26.106761565836297
2016-12-26,18.927402135231315
2016-12-27,24.148754448398577
2016-12-28,14.358718861209963
2016-12-29,20.88540925266904
2016-12-30,11.095373665480427
2016-12-31,8.484697508896797
2017-01-01,16.316725978647685
2017-01-02,10.44270462633452
2017-01-03,13.053380782918149
2017-01-04,35.89679715302491
2017-01-05,13.053380782918149
2017-01-06,24.148754448398577
2017-01-07,26.106761565836297
2017-01-08,11.095373665480427
2017-01-09,15.66405693950178
2017-01-10,28.717437722419927
2017-01-11,41.77081850533808
2017-01-12,38.50747330960854
2017-01-13,26.759430604982207
2017-01-14,15.01138790035587
2017-01-15,11.095373665480427
2017-01-16,18.927402135231315
2017-01-17,9.790035587188612
2017-01-18,28.717437722419927
2017-01-19,41.77081850533808
2017-01-20,29.370106761565836
2017-01-21,29.370106761565836
2017-01-22,22.190747330960853
2017-01-23,28.717437722419927
2017-01-24,18.927402135231315
2017-01-25,34.591459074733095
2017-01-26,22.843416370106763
2017-01-27,23.496085409252668
2017-01-28,15.01138790035587
2017-01-29,44.38149466192171
2017-01-30,34.591459074733095
2017-01-31,18.927402135231315
2017-02-01,22.190747330960853
2017-02-02,25.454092526690392
2017-02-03,32.63345195729537
2017-02-04,40.46548042704626
2017-02-05,17.6220640569395
2017-02-06,28.06476868327402
2017-02-07,37.85480427046263
2017-02-08,25.454092526690392
2017-02-09,35.244128113879
2017-02-10,49.602846975088966
2017-02-11,29.370106761565836
2017-02-12,28.717437722419927
2017-02-13,12.400711743772241
2017-02-14,25.454092526690392
2017-02-15,25.454092526690392
2017-02-16,41.11814946619217
2017-02-17,13.053380782918149
2017-02-18,26.106761565836297
2017-02-19,25.454092526690392
2017-02-20,25.454092526690392
2017-02-21,37.85480427046263
2017-02-22,34.591459074733095
2017-02-23,28.717437722419927
2017-02-24,39.812811387900354
2017-02-25,30.02277580071174
2017-02-26,25.454092526690392
2017-02-27,18.927402135231315
2017-02-28,45.03416370106761
2017-03-01,15.43756830218287
2017-03-02,37.75055342281503
2017-03-03,26.13943172583854
2017-03-04,21.71023902261328
2017-03-05,35.067562417687114
2017-03-06,24.80913217698322
2017-03-07,22.82873315212823
2017-03-08,31.059410989996362
2017-03-09,23.39183456160507
2017-03-10,41.649314876565704
2017-03-11,28.889598453218262
2017-03-12,28.309244262616645
2017-03-13,18.793050690727718
2017-03-14,18.608776305097095
2017-03-15,26.256530389217367
2017-03-16,38.799302266931946
2017-03-17,16.112629248746043
2017-03-18,19.911544820242668
2017-03-19,14.363857987502453
2017-03-20,48.47737831703422
2017-03-21,32.59894639504582
2017-03-22,48.94320340740326
2017-03-23,44.092969428643485
2017-03-24,29.729111441141036
2017-03-25,24.24860033065262
2017-03-26,29.313209291899014
2017-03-27,32.4146720094152
2017-03-28,31.059410989996362
2017-03-29,28.543441589374286
2017-03-30,29.23832488020848
2017-03-31,19.958898198223444
2017-04-01,23.924835374225914
2017-04-02,14.882175582144763
2017-04-03,18.98760332894332
2017-04-04,22.066674139042235
2017-04-05,25.14574494914115
2017-04-06,32.33024350603862
2017-04-07,16.42171098719422
2017-04-08,7.184498556897472
2017-04-09,22.579852607392052
2017-04-10,22.579852607392052
2017-04-11,15.908532518844401
2017-04-12,22.579852607392052
2017-04-13,23.60620954409169
2017-04-14,18.474424860593498
2017-04-15,22.579852607392052
2017-04-16,41.56745593633537
2017-04-17,33.35660044273826
2017-04-18,21.553495670692413
2017-04-19,6.158141620197833
2017-04-20,18.98760332894332
2017-04-21,29.764351164289526
2017-04-22,36.948849721186996
2017-04-23,10.776747835346207
2017-04-24,28.737994227589887
2017-04-25,40.54109899963573
2017-04-26,36.948849721186996
2017-04-27,25.14574494914115
2017-04-28,29.251172695939704
2017-04-29,7.184498556897472
2017-04-30,18.98760332894332
2017-05-01,17.44806792389386
