date,obama crooked
2016-12-21,17.473481195756992
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,21.55062680810029
2016-12-26,18.63837994214079
2016-12-27,34.946962391513985
2016-12-28,0.0
2016-12-29,17.473481195756992
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,20.96817743490839
2017-01-02,34.946962391513985
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,15.726133076181291
2017-01-10,23.880424300867887
2017-01-11,40.18900675024108
2017-01-12,15.726133076181291
2017-01-13,25.04532304725169
2017-01-14,37.27675988428158
2017-01-15,0.0
2017-01-16,15.726133076181291
2017-01-17,32.03471552555448
2017-01-18,23.880424300867887
2017-01-19,0.0
2017-01-20,48.92574734811958
2017-01-21,18.63837994214079
2017-01-22,18.05593056894889
2017-01-23,23.880424300867887
2017-01-24,23.880424300867887
2017-01-25,23.880424300867887
2017-01-26,32.61716489874638
2017-01-27,16.891031822565093
2017-01-28,18.63837994214079
2017-01-29,0.0
2017-01-30,23.880424300867887
2017-01-31,15.726133076181291
2017-02-01,15.726133076181291
2017-02-02,15.726133076181291
2017-02-03,16.30858244937319
2017-02-04,0.0
2017-02-05,18.05593056894889
2017-02-06,15.726133076181291
2017-02-07,15.726133076181291
2017-02-08,15.726133076181291
2017-02-09,15.726133076181291
2017-02-10,16.30858244937319
2017-02-11,0.0
2017-02-12,18.05593056894889
2017-02-13,15.726133076181291
2017-02-14,31.452266152362583
2017-02-15,15.726133076181291
2017-02-16,15.726133076181291
2017-02-17,16.30858244937319
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,15.726133076181291
2017-02-22,15.726133076181291
2017-02-23,15.726133076181291
2017-02-24,16.30858244937319
2017-02-25,18.63837994214079
2017-02-26,0.0
2017-02-27,23.880424300867887
2017-02-28,16.30858244937319
2017-03-01,0.0
2017-03-02,6.613786603116487
2017-03-03,15.107246371552645
2017-03-04,25.85680707518885
2017-03-05,7.461707962490395
2017-03-06,7.863066538090646
2017-03-07,14.30726886933235
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,15.107246371552645
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,25.73160511679341
2017-03-14,7.863066538090646
2017-03-15,0.0
2017-03-16,14.476853141207133
2017-03-17,0.0
2017-03-18,7.631292234365176
2017-03-19,9.027965284474446
2017-03-20,14.646437413081914
2017-03-21,14.476853141207133
2017-03-22,9.835887768737338
2017-03-23,25.337369628541698
2017-03-24,7.122539418740831
2017-03-25,9.319189971070395
2017-03-26,21.020504730430332
2017-03-27,28.49289732394353
2017-03-28,21.090639744323617
2017-03-29,18.038122850577547
2017-03-30,19.184391983895942
2017-03-31,7.122539418740831
2017-04-01,7.800876506239958
2017-04-02,0.0
2017-04-03,13.566741749982537
2017-04-04,33.91685437495634
2017-04-05,0.0
2017-04-06,13.905910293732099
2017-04-07,14.245078837481662
2017-04-08,15.94092155622948
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,13.905910293732099
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,16.28009009997904
2017-04-17,0.0
2017-04-18,13.227573206232973
2017-04-19,13.227573206232973
2017-04-20,0.0
2017-04-21,28.82932621871289
2017-04-22,15.94092155622948
2017-04-23,0.0
2017-04-24,27.133483499965074
2017-04-25,26.79431495621551
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,14.245078837481662
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,13.227573206232973
2017-05-03,13.566741749982537
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,15.94092155622948
2017-05-08,13.566741749982537
2017-05-09,13.566741749982537
2017-05-10,13.566741749982537
2017-05-11,13.566741749982537
2017-05-12,14.245078837481662
2017-05-13,31.88184311245896
2017-05-14,0.0
2017-05-15,13.566741749982537
2017-05-16,13.566741749982537
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,14.245078837481662
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,13.566741749982537
2017-05-23,13.227573206232973
2017-05-24,0.0
2017-05-25,14.245078837481662
2017-05-26,14.92341592498079
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,16.28009009997904
