date,trump crook
2016-05-01,0.0
2016-05-02,16.99093655589124
2016-05-03,8.265861027190333
2016-05-04,12.3987915407855
2016-05-05,0.0
2016-05-06,8.725075528700906
2016-05-07,10.102719033232628
2016-05-08,19.746223564954683
2016-05-09,0.0
2016-05-10,8.265861027190333
2016-05-11,8.265861027190333
2016-05-12,8.265861027190333
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,8.265861027190333
2016-05-17,0.0
2016-05-18,8.265861027190333
2016-05-19,0.0
2016-05-20,8.725075528700906
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,12.3987915407855
2016-05-25,0.0
2016-05-26,17.909365558912388
2016-05-27,0.0
2016-05-28,10.102719033232628
2016-05-29,10.102719033232628
2016-05-30,8.725075528700906
2016-05-31,0.0
2016-06-01,8.265861027190333
2016-06-02,0.0
2016-06-03,8.725075528700906
2016-06-04,0.0
2016-06-05,10.102719033232628
2016-06-06,0.0
2016-06-07,16.531722054380666
2016-06-08,8.265861027190333
2016-06-09,0.0
2016-06-10,17.909365558912388
2016-06-11,19.746223564954683
2016-06-12,0.0
2016-06-13,8.265861027190333
2016-06-14,8.265861027190333
2016-06-15,8.265861027190333
2016-06-16,0.0
2016-06-17,8.725075528700906
2016-06-18,15.154078549848943
2016-06-19,0.0
2016-06-20,8.265861027190333
2016-06-21,8.265861027190333
2016-06-22,8.725075528700906
2016-06-23,12.858006042296072
2016-06-24,17.909365558912388
2016-06-25,10.102719033232628
2016-06-26,0.0
2016-06-27,8.265861027190333
2016-06-28,8.265861027190333
2016-06-29,8.725075528700906
2016-06-30,12.858006042296072
2016-07-01,8.725075528700906
2016-07-02,20.205438066465256
2016-07-03,0.0
2016-07-04,17.909365558912388
2016-07-05,22.042296072507554
2016-07-06,22.042296072507554
2016-07-07,13.317220543806647
2016-07-08,17.909365558912388
2016-07-09,10.561933534743202
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,8.265861027190333
2016-07-13,8.725075528700906
2016-07-14,17.45015105740181
2016-07-15,0.0
2016-07-16,10.102719033232628
2016-07-17,0.0
2016-07-18,8.725075528700906
2016-07-19,17.45015105740181
2016-07-20,8.725075528700906
2016-07-21,35.3595166163142
2016-07-22,17.909365558912388
2016-07-23,20.205438066465256
2016-07-24,10.102719033232628
2016-07-25,21.583081570996978
2016-07-26,25.716012084592144
2016-07-27,43.166163141993955
2016-07-28,30.308157099697887
2016-07-29,31.68580060422961
2016-07-30,10.102719033232628
2016-07-31,10.102719033232628
2016-08-01,8.725075528700906
2016-08-02,12.858006042296072
2016-08-03,26.17522658610272
2016-08-04,8.725075528700906
2016-08-05,9.18429003021148
2016-08-06,10.102719033232628
2016-08-07,0.0
2016-08-08,8.725075528700906
2016-08-09,8.725075528700906
2016-08-10,8.725075528700906
2016-08-11,22.042296072507554
2016-08-12,17.909365558912388
2016-08-13,10.102719033232628
2016-08-14,0.0
2016-08-15,8.725075528700906
2016-08-16,8.725075528700906
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,17.909365558912388
2016-08-20,0.0
2016-08-21,9.643504531722055
2016-08-22,12.858006042296072
2016-08-23,25.716012084592144
2016-08-24,8.725075528700906
2016-08-25,8.725075528700906
2016-08-26,13.317220543806647
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,16.531722054380666
2016-08-30,16.531722054380666
2016-08-31,8.265861027190333
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,9.643504531722055
2016-09-05,8.725075528700906
2016-09-06,0.0
2016-09-07,16.531722054380666
2016-09-08,8.265861027190333
2016-09-09,8.725075528700906
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,8.265861027190333
2016-09-13,8.265861027190333
2016-09-14,16.531722054380666
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,9.643504531722055
2016-09-18,0.0
2016-09-19,8.265861027190333
2016-09-20,7.806646525679758
2016-09-21,12.3987915407855
2016-09-22,41.329305135951664
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,18.827794561933533
2016-09-26,8.265861027190333
2016-09-27,32.14501510574018
2016-09-28,16.07250755287009
2016-09-29,16.531722054380666
2016-09-30,16.99093655589124
2016-10-01,0.0
2016-10-02,18.68429003021148
2016-10-03,31.006042296072508
2016-10-04,20.37311178247734
2016-10-05,12.40332326283988
2016-10-06,4.132930513595166
2016-10-07,8.5
2016-10-08,31.557401812688823
2016-10-09,9.821752265861027
2016-10-10,24.80211480362538
2016-10-11,20.602719033232628
2016-10-12,20.96525679758308
2016-10-13,33.30211480362538
2016-10-14,36.4607250755287
2016-10-15,19.006042296072508
2016-10-16,25.98036253776435
2016-10-17,18.536253776435046
2016-10-18,13.873111782477341
2016-10-19,10.40332326283988
2016-10-20,37.16918429003021
2016-10-21,18.832326283987918
2016-10-22,14.59214501510574
2016-10-23,5.0
2016-10-24,12.036253776435045
2016-10-25,30.113293051359516
2016-10-26,20.439577039274923
2016-10-27,8.5
2016-10-28,12.765861027190333
2016-10-29,21.913897280966765
2016-10-30,9.59214501510574
2016-10-31,31.30211480362538
2016-11-01,25.332326283987918
2016-11-02,17.0
2016-11-03,8.0
2016-11-04,26.0
2016-11-05,43.0
2016-11-06,33.0
2016-11-07,29.0
2016-11-08,49.0
2016-11-09,100.0
2016-11-10,42.0
2016-11-11,18.0
2016-11-12,10.0
2016-11-13,24.0
2016-11-14,8.0
2016-11-15,17.0
2016-11-16,8.0
2016-11-17,13.0
2016-11-18,26.0
2016-11-19,19.0
2016-11-20,9.0
