date,obama bankruptcy
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,24.984375
2017-01-04,49.96875
2017-01-05,25.9453125
2017-01-06,25.9453125
2017-01-07,28.828125
2017-01-08,56.6953125
2017-01-09,24.0234375
2017-01-10,24.984375
2017-01-11,37.4765625
2017-01-12,24.0234375
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,27.8671875
2017-01-16,24.0234375
2017-01-17,24.0234375
2017-01-18,0.0
2017-01-19,24.0234375
2017-01-20,74.953125
2017-01-21,0.0
2017-01-22,42.28125
2017-01-23,0.0
2017-01-24,60.5390625
2017-01-25,36.515625
2017-01-26,0.0
2017-01-27,50.9296875
2017-01-28,28.828125
2017-01-29,28.828125
2017-01-30,36.515625
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,49.96875
2017-02-04,27.8671875
2017-02-05,26.90625
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,48.046875
2017-02-09,24.0234375
2017-02-10,24.984375
2017-02-11,0.0
2017-02-12,27.8671875
2017-02-13,0.0
2017-02-14,24.0234375
2017-02-15,0.0
2017-02-16,24.984375
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,24.0234375
2017-02-22,0.0
2017-02-23,48.046875
2017-02-24,24.984375
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,24.984375
2017-02-28,24.984375
2017-03-01,12.01171875
2017-03-02,32.65397788323782
2017-03-03,12.4921875
2017-03-04,0.0
2017-03-05,50.13533085601719
2017-03-06,52.453695827363894
2017-03-07,0.0
2017-03-08,32.23270728868195
2017-03-09,52.874966421919765
2017-03-10,12.4921875
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,88.4888520773639
2017-03-15,37.99833228868195
2017-03-16,32.23270728868195
2017-03-17,0.0
2017-03-18,13.93359375
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,12.01171875
2017-03-22,31.811436694126073
2017-03-23,24.0234375
2017-03-24,12.97265625
2017-03-25,38.84775698424069
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,38.42648638968481
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,84.25411891117479
2017-04-07,43.812141833810884
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,42.12705945558739
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,51.39501253581662
2017-04-16,0.0
2017-04-17,44.65468302292263
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,42.12705945558739
2017-04-21,43.812141833810884
2017-04-22,0.0
2017-04-23,48.02484777936962
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,41.284518266475644
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,82.56903653295129
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,48.86738896848137
2017-05-08,0.0
2017-05-09,41.284518266475644
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,42.969600644699135
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,48.86738896848137
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,49.70993015759312
