date,trump burger
2016-05-01,6.219690805532953
2016-05-02,6.219690805532953
2016-05-03,2.870626525630594
2016-05-04,4.5451586655817735
2016-05-05,8.611879576891782
2016-05-06,8.133441822620016
2016-05-07,8.133441822620016
2016-05-08,8.133441822620016
2016-05-09,7.6550040683482505
2016-05-10,6.6981285598047196
2016-05-11,3.1098454027664766
2016-05-12,3.8275020341741253
2016-05-13,10.286411716842961
2016-05-14,6.219690805532953
2016-05-15,7.894222945484134
2016-05-16,7.6550040683482505
2016-05-17,4.5451586655817735
2016-05-18,3.1098454027664766
2016-05-19,3.8275020341741253
2016-05-20,3.1098454027664766
2016-05-21,8.133441822620016
2016-05-22,5.502034174125305
2016-05-23,3.1098454027664766
2016-05-24,7.6550040683482505
2016-05-25,2.3921887713588283
2016-05-26,6.458909682668836
2016-05-27,6.458909682668836
2016-05-28,8.133441822620016
2016-05-29,3.5882831570382425
2016-05-30,3.8275020341741253
2016-05-31,5.980471928397071
2016-06-01,5.980471928397071
2016-06-02,6.219690805532953
2016-06-03,2.3921887713588283
2016-06-04,3.5882831570382425
2016-06-05,4.5451586655817735
2016-06-06,5.980471928397071
2016-06-07,1.435313262815297
2016-06-08,6.219690805532953
2016-06-09,3.8275020341741253
2016-06-10,4.066720911310008
2016-06-11,6.219690805532953
2016-06-12,4.5451586655817735
2016-06-13,4.5451586655817735
2016-06-14,5.262815296989422
2016-06-15,4.5451586655817735
2016-06-16,5.502034174125305
2016-06-17,4.784377542717657
2016-06-18,6.458909682668836
2016-06-19,5.502034174125305
2016-06-20,3.8275020341741253
2016-06-21,4.5451586655817735
2016-06-22,3.8275020341741253
2016-06-23,4.784377542717657
2016-06-24,7.176566314076485
2016-06-25,9.090317331163547
2016-06-26,6.219690805532953
2016-06-27,3.1098454027664766
2016-06-28,3.8275020341741253
2016-06-29,1.435313262815297
2016-06-30,4.784377542717657
2016-07-01,2.3921887713588283
2016-07-02,4.5451586655817735
2016-07-03,0.0
2016-07-04,1.6745321399511799
2016-07-05,2.3921887713588283
2016-07-06,6.458909682668836
2016-07-07,4.066720911310008
2016-07-08,5.741253051261188
2016-07-09,3.8275020341741253
2016-07-10,1.9137510170870626
2016-07-11,1.6745321399511799
2016-07-12,4.5451586655817735
2016-07-13,4.784377542717657
2016-07-14,2.3921887713588283
2016-07-15,6.458909682668836
2016-07-16,4.5451586655817735
2016-07-17,7.415785191212367
2016-07-18,10.286411716842961
2016-07-19,18.180634662327094
2016-07-20,13.396257119609439
2016-07-21,15.788445890968267
2016-07-22,14.592351505288853
2016-07-23,11.960943856794142
2016-07-24,7.415785191212367
2016-07-25,5.502034174125305
2016-07-26,7.894222945484134
2016-07-27,7.894222945484134
2016-07-28,10.286411716842961
2016-07-29,8.133441822620016
2016-07-30,4.784377542717657
2016-07-31,8.3726606997559
2016-08-01,5.502034174125305
2016-08-02,11.721724979658259
2016-08-03,7.176566314076485
2016-08-04,10.286411716842961
2016-08-05,7.415785191212367
2016-08-06,8.3726606997559
2016-08-07,3.5882831570382425
2016-08-08,8.611879576891782
2016-08-09,8.611879576891782
2016-08-10,5.502034174125305
2016-08-11,11.960943856794142
2016-08-12,4.784377542717657
2016-08-13,3.5882831570382425
2016-08-14,5.502034174125305
2016-08-15,4.066720911310008
2016-08-16,4.5451586655817735
2016-08-17,3.1098454027664766
2016-08-18,5.502034174125305
2016-08-19,5.741253051261188
2016-08-20,4.5451586655817735
2016-08-21,2.631407648494711
2016-08-22,5.502034174125305
2016-08-23,5.502034174125305
2016-08-24,3.8275020341741253
2016-08-25,1.6745321399511799
2016-08-26,4.066720911310008
2016-08-27,5.502034174125305
2016-08-28,2.631407648494711
2016-08-29,5.262815296989422
2016-08-30,3.1098454027664766
2016-08-31,5.980471928397071
2016-09-01,6.937347436940602
2016-09-02,3.1098454027664766
2016-09-03,3.5882831570382425
2016-09-04,4.305939788445891
2016-09-05,3.8275020341741253
2016-09-06,1.435313262815297
2016-09-07,3.8275020341741253
2016-09-08,3.1098454027664766
2016-09-09,2.3921887713588283
2016-09-10,5.262815296989422
2016-09-11,5.262815296989422
2016-09-12,3.8275020341741253
2016-09-13,4.5451586655817735
2016-09-14,3.8275020341741253
2016-09-15,3.8275020341741253
2016-09-16,7.894222945484134
2016-09-17,2.631407648494711
2016-09-18,2.631407648494711
2016-09-19,6.458909682668836
2016-09-20,6.458909682668836
2016-09-21,7.415785191212367
2016-09-22,4.5451586655817735
2016-09-23,7.894222945484134
2016-09-24,3.3490642799023598
2016-09-25,8.611879576891782
2016-09-26,7.415785191212367
2016-09-27,8.851098454027664
2016-09-28,8.133441822620016
2016-09-29,5.262815296989422
2016-09-30,8.611879576891782
2016-10-01,4.51179820992677
2016-10-02,7.207892595606184
2016-10-03,8.80593978844589
2016-10-04,12.30593978844589
2016-10-05,3.935313262815297
2016-10-06,4.490235964198535
2016-10-07,3.9902359641985354
2016-10-08,26.46094385679414
2016-10-09,14.81773799837266
2016-10-10,17.70992676973149
2016-10-11,8.002034174125306
2016-10-12,6.207892595606184
2016-10-13,13.709926769731489
2016-10-14,8.545158665581774
2016-10-15,8.80593978844589
2016-10-16,9.186330349877949
2016-10-17,11.164768104149715
2016-10-18,9.229454841334418
2016-10-19,5.51179820992677
2016-10-20,9.882424735557365
2016-10-21,11.198128559804719
2016-10-22,5.849064279902359
2016-10-23,6.01179820992677
2016-10-24,7.5882831570382425
2016-10-25,11.80593978844589
2016-10-26,9.80593978844589
2016-10-27,7.5882831570382425
2016-10-28,7.707892595606184
2016-10-29,10.643205858421481
