date,hillary impeachment
2016-05-01,5.966492146596858
2016-05-02,0.0
2016-05-03,4.881675392670157
2016-05-04,8.678534031413612
2016-05-05,9.220942408376963
2016-05-06,8.136125654450261
2016-05-07,2.983246073298429
2016-05-08,2.983246073298429
2016-05-09,5.152879581151832
2016-05-10,3.7968586387434553
2016-05-11,2.4408376963350786
2016-05-12,7.593717277486911
2016-05-13,5.152879581151832
2016-05-14,2.983246073298429
2016-05-15,7.322513089005235
2016-05-16,2.4408376963350786
2016-05-17,6.2376963350785335
2016-05-18,3.7968586387434553
2016-05-19,7.593717277486911
2016-05-20,2.712041884816754
2016-05-21,2.983246073298429
2016-05-22,4.610471204188482
2016-05-23,0.0
2016-05-24,5.152879581151832
2016-05-25,2.4408376963350786
2016-05-26,5.424083769633508
2016-05-27,4.0680628272251305
2016-05-28,8.949738219895288
2016-05-29,4.610471204188482
2016-05-30,2.712041884816754
2016-05-31,0.0
2016-06-01,2.4408376963350786
2016-06-02,2.4408376963350786
2016-06-03,4.0680628272251305
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,2.4408376963350786
2016-06-07,2.4408376963350786
2016-06-08,7.593717277486911
2016-06-09,3.7968586387434553
2016-06-10,5.424083769633508
2016-06-11,4.339267015706806
2016-06-12,2.983246073298429
2016-06-13,7.593717277486911
2016-06-14,5.152879581151832
2016-06-15,2.4408376963350786
2016-06-16,5.152879581151832
2016-06-17,2.712041884816754
2016-06-18,6.2376963350785335
2016-06-19,0.0
2016-06-20,3.7968586387434553
2016-06-21,5.152879581151832
2016-06-22,2.4408376963350786
2016-06-23,2.712041884816754
2016-06-24,0.0
2016-06-25,5.966492146596858
2016-06-26,0.0
2016-06-27,2.4408376963350786
2016-06-28,5.152879581151832
2016-06-29,2.4408376963350786
2016-06-30,0.0
2016-07-01,2.712041884816754
2016-07-02,6.2376963350785335
2016-07-03,4.610471204188482
2016-07-04,2.712041884816754
2016-07-05,13.289005235602094
2016-07-06,10.57696335078534
2016-07-07,7.864921465968586
2016-07-08,2.712041884816754
2016-07-09,4.610471204188482
2016-07-10,2.983246073298429
2016-07-11,2.712041884816754
2016-07-12,2.4408376963350786
2016-07-13,2.712041884816754
2016-07-14,2.712041884816754
2016-07-15,2.712041884816754
2016-07-16,0.0
2016-07-17,6.2376963350785335
2016-07-18,0.0
2016-07-19,4.0680628272251305
2016-07-20,7.864921465968586
2016-07-21,5.424083769633508
2016-07-22,5.424083769633508
2016-07-23,2.983246073298429
2016-07-24,5.966492146596858
2016-07-25,2.712041884816754
2016-07-26,10.305759162303664
2016-07-27,13.017801047120418
2016-07-28,7.864921465968586
2016-07-29,8.136125654450261
2016-07-30,7.864921465968586
2016-07-31,7.593717277486911
2016-08-01,2.712041884816754
2016-08-02,5.152879581151832
2016-08-03,5.152879581151832
2016-08-04,5.152879581151832
2016-08-05,2.712041884816754
2016-08-06,2.983246073298429
2016-08-07,6.2376963350785335
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,2.712041884816754
2016-08-11,5.424083769633508
2016-08-12,2.712041884816754
2016-08-13,6.2376963350785335
2016-08-14,2.983246073298429
2016-08-15,0.0
2016-08-16,5.152879581151832
2016-08-17,2.712041884816754
2016-08-18,2.712041884816754
2016-08-19,2.712041884816754
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,5.152879581151832
2016-08-24,2.712041884816754
2016-08-25,0.0
2016-08-26,8.136125654450261
2016-08-27,5.966492146596858
2016-08-28,2.983246073298429
2016-08-29,3.7968586387434553
2016-08-30,0.0
2016-08-31,3.7968586387434553
2016-09-01,7.593717277486911
2016-09-02,2.712041884816754
2016-09-03,5.966492146596858
2016-09-04,4.339267015706806
2016-09-05,5.152879581151832
2016-09-06,6.2376963350785335
2016-09-07,7.593717277486911
2016-09-08,2.4408376963350786
2016-09-09,6.508900523560209
2016-09-10,0.0
2016-09-11,2.983246073298429
2016-09-12,0.0
2016-09-13,7.593717277486911
2016-09-14,2.4408376963350786
2016-09-15,2.4408376963350786
2016-09-16,3.7968586387434553
2016-09-17,2.983246073298429
2016-09-18,5.695287958115183
2016-09-19,2.4408376963350786
2016-09-20,2.4408376963350786
2016-09-21,4.881675392670157
2016-09-22,2.4408376963350786
2016-09-23,2.712041884816754
2016-09-24,5.695287958115183
2016-09-25,0.0
2016-09-26,2.4408376963350786
2016-09-27,9.763350785340315
2016-09-28,2.4408376963350786
2016-09-29,4.881675392670157
2016-09-30,2.712041884816754
2016-10-01,3.669633507853403
2016-10-02,2.856020942408377
2016-10-03,3.9408376963350786
2016-10-04,3.9408376963350786
2016-10-05,2.2204188481675393
2016-10-06,7.618848167539267
2016-10-07,4.796858638743455
2016-10-08,15.05130890052356
2016-10-09,10.203664921465968
2016-10-10,31.06020942408377
2016-10-11,9.924083769633508
2016-10-12,7.517277486910994
2016-10-13,3.9408376963350786
2016-10-14,10.017277486910995
2016-10-15,8.203664921465968
2016-10-16,5.212041884816754
2016-10-17,5.983246073298429
2016-10-18,2.76282722513089
2016-10-19,4.720418848167539
2016-10-20,5.440837696335079
2016-10-21,5.618848167539267
2016-10-22,10.381675392670157
2016-10-23,5.02565445026178
2016-10-24,5.440837696335079
2016-10-25,5.26282722513089
2016-10-26,8.203664921465968
2016-10-27,8.381675392670157
2016-10-28,14.636125654450261
2016-10-29,14.517277486910995
2016-10-30,11.873298429319371
2016-10-31,7.839267015706806
2016-11-01,12.737696335078533
2016-11-02,24.0
2016-11-03,26.0
2016-11-04,32.0
2016-11-05,17.0
2016-11-06,14.0
