date,private server
2016-05-01,85.99063360881543
2016-05-02,75.35261707988981
2016-05-03,73.57961432506887
2016-05-04,78.01212121212122
2016-05-05,84.21763085399449
2016-05-06,88.65013774104683
2016-05-07,88.65013774104683
2016-05-08,82.44462809917356
2016-05-09,69.14710743801653
2016-05-10,78.89862258953168
2016-05-11,80.67162534435262
2016-05-12,79.78512396694215
2016-05-13,85.10413223140496
2016-05-14,85.10413223140496
2016-05-15,86.8771349862259
2016-05-16,76.23911845730028
2016-05-17,76.23911845730028
2016-05-18,69.14710743801653
2016-05-19,73.57961432506887
2016-05-20,84.21763085399449
2016-05-21,86.8771349862259
2016-05-22,87.76363636363637
2016-05-23,66.48760330578513
2016-05-24,68.26060606060607
2016-05-25,74.46611570247934
2016-05-26,83.33112947658402
2016-05-27,75.35261707988981
2016-05-28,85.99063360881543
2016-05-29,72.6931129476584
2016-05-30,60.282093663911844
2016-05-31,69.14710743801653
2016-06-01,62.05509641873278
2016-06-02,61.16859504132231
2016-06-03,68.26060606060607
2016-06-04,69.14710743801653
2016-06-05,65.60110192837466
2016-06-06,55.8495867768595
2016-06-07,58.50909090909091
2016-06-08,60.282093663911844
2016-06-09,64.71460055096419
2016-06-10,57.62258953168044
2016-06-11,70.92011019283747
2016-06-12,67.3741046831956
2016-06-13,55.8495867768595
2016-06-14,60.282093663911844
2016-06-15,50.530578512396694
2016-06-16,53.1900826446281
2016-06-17,50.530578512396694
2016-06-18,67.3741046831956
2016-06-19,60.282093663911844
2016-06-20,47.87107438016529
2016-06-21,48.75757575757576
2016-06-22,50.530578512396694
2016-06-23,46.09807162534435
2016-06-24,49.644077134986226
2016-06-25,59.395592286501376
2016-06-26,63.82809917355372
2016-06-27,50.530578512396694
2016-06-28,51.41707988980716
2016-06-29,49.644077134986226
2016-06-30,46.98457300275482
2016-07-01,51.41707988980716
2016-07-02,58.50909090909091
2016-07-03,65.60110192837466
2016-07-04,52.30358126721763
2016-07-05,58.50909090909091
2016-07-06,62.94159779614325
2016-07-07,59.395592286501376
2016-07-08,56.73608815426997
2016-07-09,59.395592286501376
2016-07-10,52.30358126721763
2016-07-11,43.43856749311295
2016-07-12,44.32506887052342
2016-07-13,49.644077134986226
2016-07-14,46.98457300275482
2016-07-15,47.87107438016529
2016-07-16,47.87107438016529
2016-07-17,48.75757575757576
2016-07-18,40.779063360881544
2016-07-19,39.892561983471076
2016-07-20,42.55206611570248
2016-07-21,42.55206611570248
2016-07-22,44.32506887052342
2016-07-23,46.09807162534435
2016-07-24,45.211570247933885
2016-07-25,43.43856749311295
2016-07-26,39.892561983471076
2016-07-27,41.66556473829201
2016-07-28,42.55206611570248
2016-07-29,46.98457300275482
2016-07-30,51.41707988980716
2016-07-31,48.75757575757576
2016-08-01,39.00606060606061
2016-08-02,42.55206611570248
2016-08-03,36.3465564738292
2016-08-04,41.66556473829201
2016-08-05,38.11955922865014
2016-08-06,47.87107438016529
2016-08-07,46.09807162534435
2016-08-08,38.11955922865014
2016-08-09,40.779063360881544
