date,breitbart
2016-05-01,7.6295413936867185
2016-05-02,7.992852888624181
2016-05-03,7.992852888624181
2016-05-04,9.809410363311494
2016-05-05,8.719475878499107
2016-05-06,8.719475878499107
2016-05-07,7.6295413936867185
2016-05-08,7.6295413936867185
2016-05-09,8.719475878499107
2016-05-10,9.08278737343657
2016-05-11,8.719475878499107
2016-05-12,7.992852888624181
2016-05-13,8.356164383561644
2016-05-14,7.2662298987492555
2016-05-15,6.5396069088743305
2016-05-16,8.719475878499107
2016-05-17,8.356164383561644
2016-05-18,8.356164383561644
2016-05-19,8.719475878499107
2016-05-20,7.2662298987492555
2016-05-21,7.2662298987492555
2016-05-22,6.5396069088743305
2016-05-23,7.6295413936867185
2016-05-24,7.6295413936867185
2016-05-25,8.356164383561644
2016-05-26,8.356164383561644
2016-05-27,7.992852888624181
2016-05-28,7.2662298987492555
2016-05-29,7.2662298987492555
2016-05-30,6.5396069088743305
2016-05-31,8.356164383561644
2016-06-01,8.356164383561644
2016-06-02,8.719475878499107
2016-06-03,8.356164383561644
2016-06-04,7.6295413936867185
2016-06-05,7.992852888624181
2016-06-06,8.356164383561644
2016-06-07,8.356164383561644
2016-06-08,8.719475878499107
2016-06-09,8.719475878499107
2016-06-10,8.719475878499107
2016-06-11,7.992852888624181
2016-06-12,11.262656343061346
2016-06-13,11.262656343061346
2016-06-14,11.262656343061346
2016-06-15,10.899344848123883
2016-06-16,10.899344848123883
2016-06-17,10.899344848123883
2016-06-18,9.809410363311494
2016-06-19,9.446098868374033
2016-06-20,10.172721858248957
2016-06-21,9.809410363311494
2016-06-22,9.809410363311494
2016-06-23,11.262656343061346
2016-06-24,13.805836807623585
2016-06-25,10.53603335318642
2016-06-26,9.809410363311494
2016-06-27,10.53603335318642
2016-06-28,9.446098868374033
2016-06-29,10.172721858248957
2016-06-30,9.809410363311494
2016-07-01,9.809410363311494
2016-07-02,9.08278737343657
2016-07-03,9.08278737343657
2016-07-04,8.356164383561644
2016-07-05,11.62596783799881
2016-07-06,11.62596783799881
2016-07-07,10.899344848123883
2016-07-08,14.895771292435974
