date,stroke
2016-05-01,54.226229508196724
2016-05-02,60.088524590163935
2016-05-03,60.821311475409836
2016-05-04,57.890163934426226
2016-05-05,60.088524590163935
2016-05-06,55.691803278688525
2016-05-07,49.829508196721314
2016-05-08,52.760655737704916
2016-05-09,61.554098360655736
2016-05-10,57.890163934426226
2016-05-11,57.890163934426226
2016-05-12,59.355737704918035
2016-05-13,57.890163934426226
2016-05-14,52.760655737704916
2016-05-15,57.157377049180326
2016-05-16,63.752459016393445
2016-05-17,59.355737704918035
2016-05-18,60.088524590163935
2016-05-19,66.68360655737705
2016-05-20,60.821311475409836
2016-05-21,56.424590163934425
2016-05-22,59.355737704918035
2016-05-23,60.821311475409836
2016-05-24,59.355737704918035
2016-05-25,59.355737704918035
2016-05-26,59.355737704918035
2016-05-27,56.424590163934425
2016-05-28,57.890163934426226
2016-05-29,55.691803278688525
2016-05-30,55.691803278688525
2016-05-31,61.554098360655736
2016-06-01,59.355737704918035
2016-06-02,57.157377049180326
2016-06-03,57.157377049180326
2016-06-04,60.088524590163935
2016-06-05,61.554098360655736
2016-06-06,64.48524590163935
2016-06-07,61.554098360655736
2016-06-08,60.088524590163935
2016-06-09,59.355737704918035
2016-06-10,56.424590163934425
2016-06-11,52.760655737704916
2016-06-12,55.691803278688525
2016-06-13,55.691803278688525
2016-06-14,54.959016393442624
2016-06-15,57.157377049180326
2016-06-16,56.424590163934425
2016-06-17,54.226229508196724
2016-06-18,57.157377049180326
2016-06-19,58.62295081967213
2016-06-20,65.21803278688525
2016-06-21,63.01967213114754
2016-06-22,57.890163934426226
2016-06-23,57.890163934426226
2016-06-24,53.493442622950816
2016-06-25,54.959016393442624
2016-06-26,63.752459016393445
2016-06-27,59.355737704918035
2016-06-28,60.821311475409836
2016-06-29,57.157377049180326
2016-06-30,56.424590163934425
2016-07-01,52.027868852459015
2016-07-02,49.829508196721314
2016-07-03,52.760655737704916
2016-07-04,54.959016393442624
2016-07-05,54.959016393442624
2016-07-06,57.890163934426226
2016-07-07,57.157377049180326
2016-07-08,52.760655737704916
2016-07-09,52.760655737704916
2016-07-10,54.226229508196724
2016-07-11,59.355737704918035
2016-07-12,57.157377049180326
2016-07-13,57.157377049180326
2016-07-14,55.691803278688525
2016-07-15,52.760655737704916
2016-07-16,52.760655737704916
2016-07-17,59.355737704918035
2016-07-18,60.821311475409836
2016-07-19,68.14918032786885
2016-07-20,64.48524590163935
2016-07-21,63.01967213114754
2016-07-22,61.554098360655736
2016-07-23,62.28688524590164
2016-07-24,65.95081967213115
2016-07-25,63.752459016393445
2016-07-26,60.821311475409836
2016-07-27,59.355737704918035
2016-07-28,58.62295081967213
2016-07-29,55.691803278688525
2016-07-30,53.493442622950816
2016-07-31,58.62295081967213
2016-08-01,55.691803278688525
2016-08-02,59.355737704918035
2016-08-03,56.424590163934425
2016-08-04,54.226229508196724
2016-08-05,52.027868852459015
2016-08-06,55.691803278688525
2016-08-07,60.821311475409836
2016-08-08,64.48524590163935
2016-08-09,65.21803278688525
2016-08-10,63.752459016393445
2016-08-11,62.28688524590164
2016-08-12,61.554098360655736
2016-08-13,60.821311475409836
2016-08-14,64.48524590163935
2016-08-15,60.821311475409836
2016-08-16,57.157377049180326
2016-08-17,55.691803278688525
2016-08-18,52.760655737704916
2016-08-19,53.493442622950816
2016-08-20,52.027868852459015
2016-08-21,54.226229508196724
2016-08-22,54.226229508196724
2016-08-23,56.424590163934425
2016-08-24,57.157377049180326
2016-08-25,59.355737704918035
2016-08-26,52.760655737704916
2016-08-27,51.295081967213115
2016-08-28,53.493442622950816
2016-08-29,57.157377049180326
2016-08-30,57.157377049180326
2016-08-31,56.424590163934425
2016-09-01,54.959016393442624
2016-09-02,51.295081967213115
2016-09-03,47.631147540983605
2016-09-04,51.295081967213115
2016-09-05,54.959016393442624
2016-09-06,61.554098360655736
2016-09-07,57.890163934426226
2016-09-08,57.890163934426226
2016-09-09,54.959016393442624
2016-09-10,54.959016393442624
2016-09-11,54.959016393442624
2016-09-12,63.752459016393445
2016-09-13,63.01967213114754
2016-09-14,59.355737704918035
2016-09-15,60.821311475409836
2016-09-16,54.226229508196724
2016-09-17,51.295081967213115
2016-09-18,52.760655737704916
2016-09-19,58.62295081967213
2016-09-20,56.424590163934425
2016-09-21,54.959016393442624
2016-09-22,56.424590163934425
2016-09-23,54.226229508196724
2016-09-24,50.562295081967214
2016-09-25,53.493442622950816
2016-09-26,60.821311475409836
2016-09-27,54.226229508196724
2016-09-28,57.157377049180326
2016-09-29,55.691803278688525
2016-09-30,53.493442622950816
2016-10-01,47.44918032786885
2016-10-02,50.78114754098361
2016-10-03,55.71229508196721
2016-10-04,55.84590163934426
2016-10-05,54.11311475409836
2016-10-06,56.71229508196721
2016-10-07,50.41475409836066
2016-10-08,49.91475409836066
2016-10-09,50.64754098360656
2016-10-10,53.74672131147541
2016-10-11,55.94508196721311
2016-10-12,60.177868852459014
2016-10-13,57.44508196721311
2016-10-14,58.81147540983606
2016-10-15,48.91475409836066
2016-10-16,52.88032786885246
2016-10-17,64.37622950819673
2016-10-18,71.63934426229508
2016-10-19,61.044262295081964
2016-10-20,57.44508196721311
2016-10-21,61.410655737704914
2016-10-22,52.88032786885246
2016-10-23,53.74672131147541
2016-10-24,59.544262295081964
2016-10-25,59.31147540983606
2016-10-26,57.07868852459016
2016-10-27,56.21229508196721
2016-10-28,52.51393442622951
2016-10-29,54.11311475409836
2016-10-30,53.74672131147541
2016-10-31,56.71229508196721
2016-11-01,56.71229508196721
2016-11-02,59.0
