date,putin mafia
2016-11-26,29.679775280898877
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,58.53511235955056
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,25.55758426966292
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,55.2373595505618
2016-12-17,30.504213483146067
2016-12-18,29.679775280898877
2016-12-19,26.382022471910112
2016-12-20,26.382022471910112
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,28.855337078651687
2016-12-24,32.97752808988764
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,28.855337078651687
2016-12-31,32.15308988764045
2017-01-01,0.0
2017-01-02,27.206460674157302
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,26.382022471910112
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,24.73314606741573
2017-01-10,0.0
2017-01-11,24.73314606741573
2017-01-12,24.73314606741573
2017-01-13,0.0
2017-01-14,28.855337078651687
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,25.55758426966292
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,48.64185393258427
2017-01-24,24.73314606741573
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,26.382022471910112
2017-01-28,0.0
2017-01-29,28.855337078651687
2017-01-30,0.0
2017-01-31,24.73314606741573
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,25.55758426966292
2017-02-04,56.88623595505618
2017-02-05,28.030898876404493
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,24.73314606741573
2017-02-09,0.0
2017-02-10,25.55758426966292
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,49.46629213483146
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,25.55758426966292
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,24.73314606741573
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,57.71067415730337
2017-02-26,0.0
2017-02-27,24.73314606741573
2017-02-28,25.55758426966292
2017-03-01,32.366573033707866
2017-03-02,12.366573033707866
2017-03-03,12.77879213483146
2017-03-04,23.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,11.954353932584269
2017-03-08,0.0
2017-03-09,12.366573033707866
2017-03-10,12.77879213483146
2017-03-11,0.0
2017-03-12,36.515449438202246
2017-03-13,32.366573033707866
2017-03-14,31.866573033707866
2017-03-15,32.366573033707866
2017-03-16,19.5
2017-03-17,12.77879213483146
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,12.366573033707866
2017-03-21,32.366573033707866
2017-03-22,0.0
2017-03-23,77.5119382022472
2017-03-24,13.191011235955056
2017-03-25,0.0
2017-03-26,61.42766853932584
2017-03-27,11.954353932584269
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,12.77879213483146
2017-03-31,67.96980337078651
2017-04-01,14.427668539325843
2017-04-02,47.0
2017-04-03,41.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,97.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,43.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,40.0
2017-04-20,0.0
2017-04-21,43.0
2017-04-22,48.0
2017-04-23,0.0
2017-04-24,40.0
2017-04-25,40.0
2017-04-26,0.0
2017-04-27,40.0
2017-04-28,42.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,81.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,40.0
2017-05-10,0.0
2017-05-11,82.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,95.0
2017-05-15,41.0
2017-05-16,41.0
2017-05-17,0.0
2017-05-18,41.0
2017-05-19,0.0
2017-05-20,48.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,40.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,100.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,42.0
2017-06-02,0.0
2017-06-03,97.0
