date,hillary clinton pussy
2016-05-01,3.358695652173913
2016-05-02,0.0
2016-05-03,2.5190217391304346
2016-05-04,9.236413043478262
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,3.358695652173913
2016-05-10,2.5190217391304346
2016-05-11,0.0
2016-05-12,5.877717391304348
2016-05-13,0.0
2016-05-14,6.717391304347826
2016-05-15,10.076086956521738
2016-05-16,0.0
2016-05-17,2.5190217391304346
2016-05-18,5.877717391304348
2016-05-19,3.358695652173913
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,3.358695652173913
2016-05-23,5.877717391304348
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,3.358695652173913
2016-05-27,3.358695652173913
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,5.877717391304348
2016-06-01,3.358695652173913
2016-06-02,3.358695652173913
2016-06-03,5.877717391304348
2016-06-04,14.27445652173913
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,5.877717391304348
2016-06-08,9.236413043478262
2016-06-09,9.236413043478262
2016-06-10,5.877717391304348
2016-06-11,14.27445652173913
2016-06-12,3.358695652173913
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,5.877717391304348
2016-06-16,0.0
2016-06-17,3.358695652173913
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,3.358695652173913
2016-06-21,3.358695652173913
2016-06-22,3.358695652173913
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,6.717391304347826
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,3.358695652173913
2016-07-01,6.717391304347826
2016-07-02,3.358695652173913
2016-07-03,3.358695652173913
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,5.877717391304348
2016-07-08,12.595108695652174
2016-07-09,0.0
2016-07-10,3.358695652173913
2016-07-11,0.0
2016-07-12,9.236413043478262
2016-07-13,5.877717391304348
2016-07-14,0.0
2016-07-15,3.358695652173913
2016-07-16,7.557065217391305
2016-07-17,10.915760869565217
2016-07-18,0.0
2016-07-19,3.358695652173913
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,5.877717391304348
2016-07-23,3.358695652173913
2016-07-24,14.27445652173913
2016-07-25,5.877717391304348
2016-07-26,18.472826086956523
2016-07-27,11.755434782608695
2016-07-28,21.831521739130434
2016-07-29,22.671195652173914
2016-07-30,7.557065217391305
2016-07-31,7.557065217391305
2016-08-01,5.877717391304348
2016-08-02,9.236413043478262
2016-08-03,3.358695652173913
2016-08-04,0.0
2016-08-05,15.953804347826088
2016-08-06,7.557065217391305
2016-08-07,3.358695652173913
2016-08-08,3.358695652173913
2016-08-09,5.877717391304348
2016-08-10,5.877717391304348
2016-08-11,3.358695652173913
2016-08-12,9.236413043478262
2016-08-13,3.358695652173913
2016-08-14,3.358695652173913
2016-08-15,0.0
2016-08-16,3.358695652173913
2016-08-17,5.877717391304348
2016-08-18,3.358695652173913
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,6.717391304347826
2016-08-22,0.0
2016-08-23,5.877717391304348
2016-08-24,3.358695652173913
2016-08-25,3.358695652173913
2016-08-26,0.0
2016-08-27,3.358695652173913
2016-08-28,3.358695652173913
2016-08-29,0.0
2016-08-30,2.5190217391304346
2016-08-31,2.5190217391304346
2016-09-01,3.358695652173913
2016-09-02,3.358695652173913
2016-09-03,6.717391304347826
2016-09-04,0.0
2016-09-05,3.358695652173913
2016-09-06,2.5190217391304346
2016-09-07,0.0
2016-09-08,3.358695652173913
2016-09-09,3.358695652173913
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,15.11413043478261
2016-09-13,11.755434782608695
2016-09-14,14.27445652173913
2016-09-15,9.236413043478262
2016-09-16,0.0
2016-09-17,3.358695652173913
2016-09-18,3.358695652173913
2016-09-19,2.5190217391304346
2016-09-20,5.877717391304348
2016-09-21,0.0
2016-09-22,5.877717391304348
2016-09-23,5.877717391304348
2016-09-24,3.358695652173913
2016-09-25,3.358695652173913
2016-09-26,11.755434782608695
2016-09-27,14.27445652173913
2016-09-28,17.633152173913043
2016-09-29,2.5190217391304346
2016-09-30,3.358695652173913
2016-10-01,6.358695652173913
2016-10-02,6.358695652173913
2016-10-03,3.7595108695652173
2016-10-04,2.7595108695652173
2016-10-05,7.938858695652174
2016-10-06,1.5
2016-10-07,11.377717391304348
2016-10-08,59.77038043478261
2016-10-09,53.15217391304348
2016-10-10,75.9836956521739
2016-10-11,41.911684782608695
2016-10-12,31.3125
2016-10-13,31.274456521739133
2016-10-14,27.514945652173914
2016-10-15,12.53804347826087
2016-10-16,12.53804347826087
2016-10-17,12.15625
2016-10-18,17.15625
2016-10-19,15.896739130434783
2016-10-20,19.89673913043478
2016-10-21,13.637228260869566
2016-10-22,17.217391304347828
2016-10-23,9.53804347826087
2016-10-24,5.438858695652174
2016-10-25,14.45788043478261
2016-10-26,12.137228260869566
2016-10-27,15.076086956521738
2016-10-28,19.07608695652174
2016-10-29,14.217391304347826
2016-10-30,12.717391304347826
2016-10-31,15.514945652173914
2016-11-01,17.816576086956523
2016-11-02,8.0
2016-11-03,28.0
2016-11-04,11.0
2016-11-05,35.0
2016-11-06,20.0
2016-11-07,38.0
2016-11-08,40.0
2016-11-09,100.0
2016-11-10,33.0
2016-11-11,21.0
2016-11-12,27.0
2016-11-13,20.0
2016-11-14,10.0
2016-11-15,8.0
2016-11-16,15.0
2016-11-17,15.0
2016-11-18,13.0
2016-11-19,0.0
2016-11-20,14.0
