date,endorsed trump
2016-12-13,0.6801909307875895
2016-12-14,4.081145584725537
2016-12-15,0.6801909307875895
2016-12-16,1.360381861575179
2016-12-17,1.360381861575179
2016-12-18,1.360381861575179
2016-12-19,0.0
2016-12-20,0.6801909307875895
2016-12-21,1.360381861575179
2016-12-22,1.360381861575179
2016-12-23,1.360381861575179
2016-12-24,1.360381861575179
2016-12-25,0.6801909307875895
2016-12-26,0.6801909307875895
2016-12-27,1.360381861575179
2016-12-28,0.6801909307875895
2016-12-29,0.6801909307875895
2016-12-30,1.360381861575179
2016-12-31,0.6801909307875895
2017-01-01,1.360381861575179
2017-01-02,0.6801909307875895
2017-01-03,0.6801909307875895
2017-01-04,0.6801909307875895
2017-01-05,1.360381861575179
2017-01-06,0.6801909307875895
2017-01-07,0.6801909307875895
2017-01-08,1.360381861575179
2017-01-09,1.360381861575179
2017-01-10,1.360381861575179
2017-01-11,1.360381861575179
2017-01-12,2.720763723150358
2017-01-13,1.360381861575179
2017-01-14,1.360381861575179
2017-01-15,1.360381861575179
2017-01-16,0.6801909307875895
2017-01-17,1.360381861575179
2017-01-18,1.360381861575179
2017-01-19,2.720763723150358
2017-01-20,4.081145584725537
2017-01-21,2.720763723150358
2017-01-22,1.360381861575179
2017-01-23,2.0405727923627683
2017-01-24,1.360381861575179
2017-01-25,2.720763723150358
2017-01-26,2.0405727923627683
2017-01-27,2.0405727923627683
2017-01-28,2.720763723150358
2017-01-29,2.720763723150358
2017-01-30,3.400954653937948
2017-01-31,2.0405727923627683
2017-02-01,2.0405727923627683
2017-02-02,0.6801909307875895
2017-02-03,0.6801909307875895
2017-02-04,1.360381861575179
2017-02-05,2.0405727923627683
2017-02-06,1.360381861575179
2017-02-07,2.0405727923627683
2017-02-08,2.0405727923627683
2017-02-09,2.0405727923627683
2017-02-10,1.360381861575179
2017-02-11,1.360381861575179
2017-02-12,0.6801909307875895
2017-02-13,2.720763723150358
2017-02-14,0.6801909307875895
2017-02-15,2.720763723150358
2017-02-16,1.360381861575179
2017-02-17,1.360381861575179
2017-02-18,0.0
2017-02-19,1.360381861575179
2017-02-20,0.6801909307875895
2017-02-21,0.6801909307875895
2017-02-22,0.6801909307875895
2017-02-23,0.0
2017-02-24,0.6801909307875895
2017-02-25,0.0
2017-02-26,0.6801909307875895
2017-02-27,1.360381861575179
2017-02-28,0.6801909307875895
2017-03-01,1.3018354468362086
2017-03-02,0.8120848201714499
2017-03-03,0.8235967556538317
2017-03-04,1.0202863961813842
2017-03-05,0.0
2017-03-06,0.950228045960032
2017-03-07,0.8005728846890681
2017-03-08,0.9617399814424138
2017-03-09,0.34009546539379476
2017-03-10,0.6801909307875895
2017-03-11,0.0
2017-03-12,1.0538354653014683
2017-03-13,0.8005728846890681
2017-03-14,0.9617399814424138
2017-03-15,0.9617399814424138
2017-03-16,0.991013188811899
2017-03-17,1.336371253283354
2017-03-18,1.3939309306952632
2017-03-19,0.6801909307875895
2017-03-20,1.3018354468362086
2017-03-21,0.34009546539379476
2017-03-22,0.3108222580243095
2017-03-23,1.2840741749491051
2017-03-24,0.34009546539379476
2017-03-25,0.36838193543621867
2017-03-26,0.34009546539379476
2017-03-27,0.9617399814424138
2017-03-28,0.0
2017-03-29,0.6624296589004861
2017-03-30,0.9847638524071775
2017-03-31,0.3338461289890732
2017-04-01,0.7084774008300134
2017-04-02,0.7367638708724373
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.6446683870133827
2017-04-07,0.0
2017-04-08,1.4965516127096383
2017-04-09,2.302387096476367
2017-04-10,0.6446683870133827
2017-04-11,0.0
2017-04-12,0.6446683870133827
2017-04-13,0.6676922579781464
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,1.2663129030620017
2017-04-20,0.6446683870133827
2017-04-21,0.6676922579781464
2017-04-22,0.0
2017-04-23,0.7367638708724373
2017-04-24,0.6446683870133827
2017-04-25,1.2663129030620017
2017-04-26,0.621644516048619
2017-04-27,0.6446683870133827
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.69071612894291
2017-05-02,0.0
2017-05-03,0.621644516048619
2017-05-04,0.6446683870133827
2017-05-05,0.6446683870133827
2017-05-06,1.4735277417448747
2017-05-07,2.233315483582076
2017-05-08,1.2663129030620017
2017-05-09,0.6446683870133827
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.759787741837201
2017-05-15,0.6446683870133827
2017-05-16,1.2663129030620017
2017-05-17,0.6446683870133827
2017-05-18,1.2663129030620017
2017-05-19,0.0
2017-05-20,0.759787741837201
2017-05-21,0.0
2017-05-22,0.6446683870133827
2017-05-23,0.621644516048619
2017-05-24,0.6446683870133827
2017-05-25,0.6676922579781464
2017-05-26,0.69071612894291
2017-05-27,0.0
2017-05-28,0.7828116128019647
2017-05-29,0.6676922579781464
2017-05-30,0.0
2017-05-31,1.2893367740267654
2017-06-01,0.6446683870133827
2017-06-02,0.6676922579781464
2017-06-03,0.0
