date,bannon
2016-05-01,0.056179775280898875
2016-05-02,0.11235955056179775
2016-05-03,0.08426966292134831
2016-05-04,0.056179775280898875
2016-05-05,0.056179775280898875
2016-05-06,0.056179775280898875
2016-05-07,0.08426966292134831
2016-05-08,0.08426966292134831
2016-05-09,0.056179775280898875
2016-05-10,0.056179775280898875
2016-05-11,0.056179775280898875
2016-05-12,0.08426966292134831
2016-05-13,0.056179775280898875
2016-05-14,0.056179775280898875
2016-05-15,0.08426966292134831
2016-05-16,0.08426966292134831
2016-05-17,0.08426966292134831
2016-05-18,0.056179775280898875
2016-05-19,0.08426966292134831
2016-05-20,0.056179775280898875
2016-05-21,0.056179775280898875
2016-05-22,0.08426966292134831
2016-05-23,0.08426966292134831
2016-05-24,0.056179775280898875
2016-05-25,0.056179775280898875
2016-05-26,0.08426966292134831
2016-05-27,0.08426966292134831
2016-05-28,0.056179775280898875
2016-05-29,0.056179775280898875
2016-05-30,0.056179775280898875
2016-05-31,0.056179775280898875
2016-06-01,0.056179775280898875
2016-06-02,0.08426966292134831
2016-06-03,0.056179775280898875
2016-06-04,0.056179775280898875
2016-06-05,0.08426966292134831
2016-06-06,0.056179775280898875
2016-06-07,0.056179775280898875
2016-06-08,0.08426966292134831
2016-06-09,0.056179775280898875
2016-06-10,0.056179775280898875
2016-06-11,0.056179775280898875
2016-06-12,0.056179775280898875
2016-06-13,0.056179775280898875
2016-06-14,0.056179775280898875
2016-06-15,0.056179775280898875
2016-06-16,0.08426966292134831
2016-06-17,0.028089887640449437
2016-06-18,0.056179775280898875
2016-06-19,0.056179775280898875
2016-06-20,0.08426966292134831
2016-06-21,0.08426966292134831
2016-06-22,0.08426966292134831
2016-06-23,0.056179775280898875
2016-06-24,0.056179775280898875
2016-06-25,0.056179775280898875
2016-06-26,0.056179775280898875
2016-06-27,0.056179775280898875
2016-06-28,0.056179775280898875
2016-06-29,0.056179775280898875
2016-06-30,0.08426966292134831
2016-07-01,0.08426966292134831
2016-07-02,0.056179775280898875
2016-07-03,0.028089887640449437
2016-07-04,0.056179775280898875
2016-07-05,0.056179775280898875
2016-07-06,0.056179775280898875
2016-07-07,0.028089887640449437
2016-07-08,0.056179775280898875
2016-07-09,0.056179775280898875
2016-07-10,0.056179775280898875
2016-07-11,0.08426966292134831
2016-07-12,0.08426966292134831
2016-07-13,0.056179775280898875
2016-07-14,0.11235955056179775
2016-07-15,0.08426966292134831
2016-07-16,0.11235955056179775
2016-07-17,0.08426966292134831
2016-07-18,0.08426966292134831
2016-07-19,0.08426966292134831
2016-07-20,0.08426966292134831
2016-07-21,0.11235955056179775
2016-07-22,0.11235955056179775
2016-07-23,0.056179775280898875
2016-07-24,0.056179775280898875
2016-07-25,0.056179775280898875
2016-07-26,0.056179775280898875
2016-07-27,0.056179775280898875
2016-07-28,0.08426966292134831
2016-07-29,0.056179775280898875
2016-07-30,0.028089887640449437
2016-07-31,0.056179775280898875
2016-08-01,0.08426966292134831
2016-08-02,0.08426966292134831
2016-08-03,0.08426966292134831
2016-08-04,0.08426966292134831
2016-08-05,0.08426966292134831
2016-08-06,0.056179775280898875
2016-08-07,0.028089887640449437
2016-08-08,0.056179775280898875
2016-08-09,0.08426966292134831
2016-08-10,0.056179775280898875
2016-08-11,0.08426966292134831
2016-08-12,0.028089887640449437
2016-08-13,0.08426966292134831
2016-08-14,0.056179775280898875
2016-08-15,0.08426966292134831
2016-08-16,0.056179775280898875
2016-08-17,2.8089887640449436
2016-08-18,2.359550561797753
2016-08-19,1.2078651685393258
2016-08-20,0.7022471910112359
2016-08-21,0.5056179775280899
2016-08-22,0.3651685393258427
2016-08-23,0.3932584269662921
2016-08-24,0.2247191011235955
2016-08-25,0.449438202247191
2016-08-26,1.2921348314606742
2016-08-27,1.0393258426966292
2016-08-28,0.449438202247191
2016-08-29,0.25280898876404495
2016-08-30,0.2808988764044944
2016-08-31,0.2247191011235955
2016-09-01,0.16853932584269662
2016-09-02,0.1404494382022472
2016-09-03,0.11235955056179775
2016-09-04,0.1404494382022472
2016-09-05,0.08426966292134831
2016-09-06,0.08426966292134831
2016-09-07,0.08426966292134831
2016-09-08,0.11235955056179775
2016-09-09,0.11235955056179775
2016-09-10,0.11235955056179775
2016-09-11,0.056179775280898875
2016-09-12,0.11235955056179775
2016-09-13,0.08426966292134831
2016-09-14,0.11235955056179775
2016-09-15,0.11235955056179775
2016-09-16,0.08426966292134831
2016-09-17,0.08426966292134831
2016-09-18,0.08426966292134831
2016-09-19,0.11235955056179775
2016-09-20,0.11235955056179775
2016-09-21,0.08426966292134831
2016-09-22,0.08426966292134831
2016-09-23,0.08426966292134831
2016-09-24,0.08426966292134831
2016-09-25,0.08426966292134831
2016-09-26,0.08426966292134831
2016-09-27,0.11235955056179775
2016-09-28,0.11235955056179775
2016-09-29,0.11235955056179775
2016-09-30,0.08426966292134831
2016-10-01,0.042134831460674156
2016-10-02,0.028089887640449437
2016-10-03,0.056179775280898875
2016-10-04,0.056179775280898875
2016-10-05,0.7106741573033708
2016-10-06,0.0702247191011236
2016-10-07,0.042134831460674156
2016-10-08,0.042134831460674156
2016-10-09,0.042134831460674156
2016-10-10,0.12640449438202248
2016-10-11,0.6264044943820225
2016-10-12,0.6825842696629214
2016-10-13,0.12640449438202248
2016-10-14,0.6123595505617978
2016-10-15,0.08426966292134831
2016-10-16,0.0702247191011236
2016-10-17,0.0702247191011236
2016-10-18,0.056179775280898875
2016-10-19,0.11235955056179775
2016-10-20,0.6685393258426966
2016-10-21,0.0702247191011236
