date,donald trump
2016-05-01,1.8572549019607842
2016-05-02,1.8572549019607842
2016-05-03,2.0894117647058823
2016-05-04,5.687843137254902
2016-05-05,4.178823529411765
2016-05-06,3.4823529411764707
2016-05-07,2.7858823529411763
2016-05-08,2.4376470588235293
2016-05-09,2.32156862745098
2016-05-10,2.2054901960784314
2016-05-11,2.2054901960784314
2016-05-12,2.2054901960784314
2016-05-13,2.0894117647058823
2016-05-14,1.8572549019607842
2016-05-15,1.8572549019607842
2016-05-16,2.0894117647058823
2016-05-17,1.9733333333333332
2016-05-18,2.5537254901960784
2016-05-19,1.8572549019607842
2016-05-20,1.7411764705882353
2016-05-21,1.5090196078431373
2016-05-22,1.5090196078431373
2016-05-23,1.3929411764705881
2016-05-24,1.5090196078431373
2016-05-25,1.7411764705882353
2016-05-26,2.2054901960784314
2016-05-27,2.2054901960784314
2016-05-28,1.8572549019607842
2016-05-29,1.6250980392156862
2016-05-30,1.3929411764705881
2016-05-31,1.6250980392156862
2016-06-01,1.6250980392156862
2016-06-02,1.7411764705882353
2016-06-03,1.8572549019607842
2016-06-04,1.8572549019607842
2016-06-05,1.6250980392156862
2016-06-06,1.6250980392156862
2016-06-07,2.2054901960784314
2016-06-08,3.0180392156862745
2016-06-09,2.0894117647058823
2016-06-10,2.2054901960784314
2016-06-11,1.9733333333333332
2016-06-12,2.6698039215686276
2016-06-13,2.6698039215686276
2016-06-14,2.7858823529411763
2016-06-15,2.4376470588235293
2016-06-16,2.0894117647058823
2016-06-17,1.8572549019607842
2016-06-18,1.8572549019607842
2016-06-19,1.6250980392156862
2016-06-20,1.6250980392156862
2016-06-21,2.32156862745098
2016-06-22,2.0894117647058823
2016-06-23,1.6250980392156862
2016-06-24,2.32156862745098
2016-06-25,1.8572549019607842
2016-06-26,1.7411764705882353
2016-06-27,1.5090196078431373
2016-06-28,1.5090196078431373
2016-06-29,1.5090196078431373
2016-06-30,1.3929411764705881
2016-07-01,1.3929411764705881
2016-07-02,1.3929411764705881
2016-07-03,1.3929411764705881
2016-07-04,1.2768627450980392
2016-07-05,1.5090196078431373
2016-07-06,1.8572549019607842
2016-07-07,1.6250980392156862
2016-07-08,1.6250980392156862
2016-07-09,1.2768627450980392
2016-07-10,1.2768627450980392
2016-07-11,1.2768627450980392
2016-07-12,1.2768627450980392
2016-07-13,1.5090196078431373
2016-07-14,1.9733333333333332
2016-07-15,2.5537254901960784
2016-07-16,2.2054901960784314
2016-07-17,1.7411764705882353
2016-07-18,2.2054901960784314
2016-07-19,6.964705882352941
2016-07-20,7.429019607843137
2016-07-21,5.687843137254902
2016-07-22,9.28627450980392
2016-07-23,3.9466666666666663
2016-07-24,3.0180392156862745
2016-07-25,2.6698039215686276
2016-07-26,3.3662745098039215
2016-07-27,3.5984313725490193
2016-07-28,4.410980392156863
2016-07-29,4.875294117647059
2016-07-30,3.1341176470588232
2016-07-31,3.0180392156862745
2016-08-01,3.5984313725490193
2016-08-02,4.178823529411765
2016-08-03,4.178823529411765
2016-08-04,3.2501960784313724
2016-08-05,2.6698039215686276
2016-08-06,2.32156862745098
2016-08-07,2.32156862745098
2016-08-08,2.2054901960784314
2016-08-09,2.32156862745098
2016-08-10,2.6698039215686276
2016-08-11,2.4376470588235293
2016-08-12,2.2054901960784314
2016-08-13,2.0894117647058823
2016-08-14,1.9733333333333332
2016-08-15,1.9733333333333332
2016-08-16,1.8572549019607842
2016-08-17,1.9733333333333332
2016-08-18,2.0894117647058823
2016-08-19,3.1341176470588232
2016-08-20,2.5537254901960784
2016-08-21,1.9733333333333332
2016-08-22,1.8572549019607842
2016-08-23,1.8572549019607842
2016-08-24,1.8572549019607842
2016-08-25,1.9733333333333332
2016-08-26,1.7411764705882353
2016-08-27,1.7411764705882353
2016-08-28,1.7411764705882353
