date,leaks
2016-05-01,16.2433234421365
2016-05-02,17.983679525222552
2016-05-03,16.823442136498517
2016-05-04,15.083086053412462
2016-05-05,15.083086053412462
2016-05-06,15.083086053412462
2016-05-07,15.083086053412462
2016-05-08,16.823442136498517
2016-05-09,35.38724035608308
2016-05-10,39.44807121661721
2016-05-11,22.624629080118694
2016-05-12,17.983679525222552
2016-05-13,16.2433234421365
2016-05-14,17.403560830860535
2016-05-15,15.663204747774481
2016-05-16,14.502967359050444
2016-05-17,14.502967359050444
2016-05-18,15.663204747774481
2016-05-19,16.2433234421365
2016-05-20,14.502967359050444
2016-05-21,15.083086053412462
2016-05-22,16.2433234421365
2016-05-23,14.502967359050444
2016-05-24,14.502967359050444
2016-05-25,13.922848664688427
2016-05-26,13.922848664688427
2016-05-27,14.502967359050444
2016-05-28,12.762611275964392
2016-05-29,15.083086053412462
2016-05-30,13.34272997032641
2016-05-31,13.34272997032641
2016-06-01,13.34272997032641
2016-06-02,13.34272997032641
2016-06-03,13.34272997032641
2016-06-04,13.922848664688427
2016-06-05,15.083086053412462
2016-06-06,13.922848664688427
2016-06-07,12.762611275964392
2016-06-08,13.922848664688427
2016-06-09,13.34272997032641
2016-06-10,13.922848664688427
2016-06-11,13.922848664688427
2016-06-12,15.083086053412462
2016-06-13,15.663204747774481
2016-06-14,14.502967359050444
2016-06-15,13.34272997032641
2016-06-16,13.34272997032641
2016-06-17,14.502967359050444
2016-06-18,13.34272997032641
2016-06-19,14.502967359050444
2016-06-20,12.762611275964392
2016-06-21,13.922848664688427
2016-06-22,13.922848664688427
2016-06-23,12.762611275964392
2016-06-24,12.182492581602373
2016-06-25,13.34272997032641
2016-06-26,15.083086053412462
2016-06-27,12.762611275964392
2016-06-28,12.182492581602373
2016-06-29,13.34272997032641
2016-06-30,14.502967359050444
2016-07-01,12.182492581602373
2016-07-02,13.922848664688427
2016-07-03,12.182492581602373
2016-07-04,13.34272997032641
2016-07-05,15.083086053412462
2016-07-06,14.502967359050444
2016-07-07,15.083086053412462
2016-07-08,13.34272997032641
2016-07-09,13.34272997032641
2016-07-10,13.922848664688427
2016-07-11,12.182492581602373
2016-07-12,13.922848664688427
2016-07-13,14.502967359050444
2016-07-14,13.34272997032641
2016-07-15,15.663204747774481
2016-07-16,15.663204747774481
2016-07-17,15.083086053412462
2016-07-18,15.083086053412462
2016-07-19,15.083086053412462
2016-07-20,15.083086053412462
2016-07-21,13.34272997032641
2016-07-22,18.56379821958457
2016-07-23,44.66913946587537
2016-07-24,58.01186943620178
2016-07-25,58.01186943620178
2016-07-26,42.3486646884273
2016-07-27,24.945103857566764
2016-07-28,25.525222551928785
2016-07-29,19.143916913946587
2016-07-30,20.88427299703264
2016-07-31,17.403560830860535
2016-08-01,19.724035608308604
2016-08-02,18.56379821958457
2016-08-03,16.823442136498517
2016-08-04,17.403560830860535
2016-08-05,16.2433234421365
2016-08-06,18.56379821958457
2016-08-07,16.2433234421365
2016-08-08,16.2433234421365
2016-08-09,19.143916913946587
2016-08-10,19.724035608308604
2016-08-11,20.30415430267062
2016-08-12,15.663204747774481
2016-08-13,16.2433234421365
2016-08-14,17.403560830860535
2016-08-15,17.983679525222552
2016-08-16,16.823442136498517
2016-08-17,15.663204747774481
2016-08-18,15.663204747774481
2016-08-19,15.663204747774481
2016-08-20,15.083086053412462
2016-08-21,16.2433234421365
2016-08-22,16.2433234421365
2016-08-23,14.502967359050444
2016-08-24,16.2433234421365
2016-08-25,17.983679525222552
2016-08-26,15.663204747774481
2016-08-27,16.2433234421365
2016-08-28,16.823442136498517
2016-08-29,15.083086053412462
2016-08-30,15.663204747774481
2016-08-31,15.083086053412462
2016-09-01,14.502967359050444
2016-09-02,15.663204747774481
2016-09-03,14.502967359050444
2016-09-04,14.502967359050444
2016-09-05,13.922848664688427
2016-09-06,15.083086053412462
2016-09-07,16.2433234421365
2016-09-08,16.2433234421365
2016-09-09,14.502967359050444
2016-09-10,13.922848664688427
2016-09-11,15.083086053412462
2016-09-12,16.823442136498517
2016-09-13,14.502967359050444
2016-09-14,23.78486646884273
2016-09-15,17.983679525222552
2016-09-16,17.403560830860535
2016-09-17,16.2433234421365
2016-09-18,16.2433234421365
2016-09-19,16.2433234421365
2016-09-20,16.2433234421365
2016-09-21,18.56379821958457
2016-09-22,25.525222551928785
2016-09-23,19.143916913946587
2016-09-24,17.403560830860535
2016-09-25,15.083086053412462
2016-09-26,14.502967359050444
2016-09-27,13.922848664688427
2016-09-28,13.34272997032641
2016-09-29,13.34272997032641
2016-09-30,14.502967359050444
2016-10-01,13.461424332344214
2016-10-02,16.411721068249257
2016-10-03,21.44213649851632
2016-10-04,35.69362017804154
2016-10-05,20.362017804154302
2016-10-06,16.911721068249257
2016-10-07,17.701780415430267
2016-10-08,25.552670623145403
2016-10-09,21.73219584569733
2016-10-10,26.552670623145403
2016-10-11,27.132789317507417
2016-10-12,31.95326409495549
2016-10-13,28.212908011869438
2016-10-14,24.892433234421365
2016-10-15,21.02225519287834
2016-10-16,23.312314540059347
2016-10-17,26.632789317507417
2016-10-18,36.483679525222556
2016-10-19,33.53338278931751
2016-10-20,31.66320474777448
2016-10-21,26.632789317507417
2016-10-22,23.102373887240354
2016-10-23,20.812314540059347
2016-10-24,23.892433234421365
2016-10-25,19.94213649851632
2016-10-26,20.652077151335313
2016-10-27,22.812314540059347
2016-10-28,23.892433234421365
2016-10-29,23.602373887240354
2016-10-30,23.602373887240354
2016-10-31,25.262611275964392
2016-11-01,27.132789317507417
2016-11-02,25.0
