date,nazi
2016-05-01,56.12881445413565
2016-05-02,59.68127106515689
2016-05-03,55.4183231319314
2016-05-04,62.523236353973886
2016-05-05,65.3652016427909
2016-05-06,66.07569296499513
2016-05-07,57.54979709854414
2016-05-08,54.707831809727146
2016-05-09,66.78618428719938
2016-05-10,70.33864089822062
2016-05-11,61.81274503176964
2016-05-12,62.523236353973886
2016-05-13,56.12881445413565
2016-05-14,50.444883876501656
2016-05-15,56.12881445413565
2016-05-16,54.707831809727146
2016-05-17,56.8393057763399
2016-05-18,53.9973404875229
2016-05-19,57.54979709854414
2016-05-20,57.54979709854414
2016-05-21,53.28684916531865
2016-05-22,58.97077974295264
2016-05-23,58.97077974295264
2016-05-24,55.4183231319314
2016-05-25,57.54979709854414
2016-05-26,65.3652016427909
2016-05-27,57.54979709854414
2016-05-28,50.444883876501656
2016-05-29,58.97077974295264
2016-05-30,55.4183231319314
2016-05-31,51.86586652091016
2016-06-01,53.9973404875229
2016-06-02,49.73439255429741
2016-06-03,54.707831809727146
2016-06-04,61.10225370956539
2016-06-05,56.8393057763399
2016-06-06,49.73439255429741
2016-06-07,48.31340990988891
2016-06-08,46.181935943276166
2016-06-09,48.31340990988891
2016-06-10,44.05046197666342
2016-06-11,47.60291858768466
2016-06-12,53.28684916531865
2016-06-13,46.181935943276166
2016-06-14,48.31340990988891
2016-06-15,43.339970654459165
2016-06-16,49.02390123209316
2016-06-17,51.86586652091016
2016-06-18,54.707831809727146
2016-06-19,56.12881445413565
2016-06-20,45.47144462107192
2016-06-21,48.31340990988891
2016-06-22,49.02390123209316
2016-06-23,46.181935943276166
2016-06-24,51.155375198705904
2016-06-25,50.444883876501656
2016-06-26,63.94421899838239
2016-06-27,59.68127106515689
2016-06-28,47.60291858768466
2016-06-29,42.629479332254924
2016-06-30,43.339970654459165
2016-07-01,44.05046197666342
2016-07-02,51.155375198705904
2016-07-03,53.9973404875229
2016-07-04,45.47144462107192
2016-07-05,43.339970654459165
2016-07-06,41.918988010050676
2016-07-07,45.47144462107192
2016-07-08,46.181935943276166
2016-07-09,45.47144462107192
2016-07-10,46.181935943276166
2016-07-11,39.077022721233675
2016-07-12,39.78751404343792
2016-07-13,40.49800536564218
2016-07-14,39.077022721233675
2016-07-15,40.49800536564218
2016-07-16,43.339970654459165
2016-07-17,47.60291858768466
2016-07-18,36.94554875462094
2016-07-19,42.629479332254924
2016-07-20,44.05046197666342
2016-07-21,71.04913222042487
2016-07-22,68.91765825381212
2016-07-23,55.4183231319314
2016-07-24,52.57635784311441
2016-07-25,44.05046197666342
2016-07-26,44.05046197666342
2016-07-27,41.918988010050676
2016-07-28,41.20849668784643
2016-07-29,47.60291858768466
2016-07-30,48.31340990988891
2016-07-31,49.02390123209316
2016-08-01,40.49800536564218
2016-08-02,41.20849668784643
2016-08-03,43.339970654459165
2016-08-04,41.20849668784643
2016-08-05,43.339970654459165
2016-08-06,49.02390123209316
2016-08-07,53.28684916531865
2016-08-08,44.76095329886767
2016-08-09,40.49800536564218
2016-08-10,40.49800536564218
2016-08-11,40.49800536564218
2016-08-12,42.629479332254924
2016-08-13,44.05046197666342
2016-08-14,48.31340990988891
2016-08-15,46.181935943276166
2016-08-16,56.8393057763399
2016-08-17,63.94421899838239
2016-08-18,59.68127106515689
2016-08-19,56.8393057763399
2016-08-20,54.707831809727146
2016-08-21,53.9973404875229
2016-08-22,46.181935943276166
2016-08-23,48.31340990988891
2016-08-24,49.02390123209316
2016-08-25,49.73439255429741
2016-08-26,47.60291858768466
2016-08-27,50.444883876501656
2016-08-28,56.8393057763399
2016-08-29,45.47144462107192
2016-08-30,46.181935943276166
2016-08-31,44.76095329886767
2016-09-01,46.181935943276166
2016-09-02,48.31340990988891
2016-09-03,50.444883876501656
2016-09-04,56.8393057763399
2016-09-05,47.60291858768466
2016-09-06,46.892427265480414
2016-09-07,46.181935943276166
2016-09-08,44.76095329886767
2016-09-09,47.60291858768466
2016-09-10,48.31340990988891
2016-09-11,51.86586652091016
2016-09-12,45.47144462107192
2016-09-13,47.60291858768466
2016-09-14,51.155375198705904
2016-09-15,49.02390123209316
2016-09-16,46.892427265480414
2016-09-17,48.31340990988891
2016-09-18,52.57635784311441
2016-09-19,51.155375198705904
