date,president obama hand
2016-10-04,33.42217898832685
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,20.400778210116734
2016-10-08,15.315175097276265
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,7.0
2016-10-12,7.0
2016-10-13,7.0
2016-10-14,7.0
2016-10-15,38.15175097276265
2016-10-16,0.0
2016-10-17,7.0
2016-10-18,38.86575875486382
2016-10-19,7.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,12.922178988326849
2016-10-25,6.5
2016-10-26,0.0
2016-10-27,23.42217898832685
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,8.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,14.0
2016-11-04,14.0
2016-11-05,0.0
2016-11-06,15.0
2016-11-07,0.0
2016-11-08,13.0
2016-11-09,25.0
2016-11-10,27.0
2016-11-11,36.0
2016-11-12,39.0
2016-11-13,15.0
2016-11-14,13.0
2016-11-15,13.0
2016-11-16,0.0
2016-11-17,14.0
2016-11-18,0.0
2016-11-19,16.0
2016-11-20,15.0
2016-11-21,0.0
2016-11-22,27.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,15.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,13.0
2016-11-30,0.0
2016-12-01,13.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,13.0
2016-12-06,13.0
2016-12-07,0.0
2016-12-08,14.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,13.0
2016-12-13,0.0
2016-12-14,13.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,28.0
2016-12-21,14.0
2016-12-22,14.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,31.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,15.0
2016-12-31,17.0
2017-01-01,17.0
2017-01-02,28.0
2017-01-03,27.0
2017-01-04,13.0
2017-01-05,0.0
2017-01-06,14.0
2017-01-07,0.0
2017-01-08,15.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,13.0
2017-01-12,26.0
2017-01-13,13.0
2017-01-14,15.0
2017-01-15,15.0
2017-01-16,26.0
2017-01-17,39.0
2017-01-18,26.0
2017-01-19,33.0
2017-01-20,100.0
2017-01-21,53.0
2017-01-22,30.0
2017-01-23,39.0
2017-01-24,32.0
2017-01-25,0.0
2017-01-26,26.0
2017-01-27,14.0
2017-01-28,15.0
2017-01-29,15.0
2017-01-30,26.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,13.0
2017-02-03,20.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,13.0
2017-02-07,26.0
2017-02-08,13.0
2017-02-09,0.0
2017-02-10,27.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,13.0
2017-02-21,0.0
2017-02-22,13.0
2017-02-23,13.0
2017-02-24,13.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,14.032196969696969
2017-03-02,17.21590909090909
2017-03-03,14.399621212121211
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,14.032196969696969
2017-03-07,14.032196969696969
2017-03-08,0.0
2017-03-09,6.5
2017-03-10,0.0
2017-03-11,16.31818181818182
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,14.399621212121211
2017-03-18,24.952651515151516
2017-03-19,16.31818181818182
2017-03-20,6.5
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,7.715909090909091
2017-03-24,14.583333333333334
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,6.5
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,6.5
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,18.37121212121212
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,23.147727272727273
2017-04-19,0.0
2017-04-20,15.799242424242424
2017-04-21,16.166666666666668
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,15.431818181818182
2017-04-28,0.0
2017-04-29,18.37121212121212
2017-04-30,0.0
2017-05-01,16.901515151515152
2017-05-02,0.0
2017-05-03,15.431818181818182
2017-05-04,15.431818181818182
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,15.431818181818182
2017-05-10,15.431818181818182
2017-05-11,0.0
2017-05-12,16.166666666666668
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,15.431818181818182
2017-05-16,0.0
2017-05-17,15.431818181818182
2017-05-18,0.0
2017-05-19,16.166666666666668
2017-05-20,36.74242424242424
2017-05-21,18.37121212121212
2017-05-22,15.431818181818182
2017-05-23,0.0
2017-05-24,15.799242424242424
2017-05-25,32.70075757575758
2017-05-26,16.901515151515152
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,15.431818181818182
2017-05-31,0.0
2017-06-01,15.799242424242424
2017-06-02,0.0
2017-06-03,0.0
