date,obama hand over
2016-05-01,9.338899253731343
2016-05-02,8.240205223880595
2016-05-03,8.240205223880595
2016-05-04,8.240205223880595
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,9.338899253731343
2016-05-09,8.240205223880595
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,18.677798507462686
2016-05-15,0.0
2016-05-16,8.240205223880595
2016-05-17,7.690858208955223
2016-05-18,0.0
2016-05-19,8.240205223880595
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,9.338899253731343
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,8.78955223880597
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,9.888246268656715
2016-05-30,37.35559701492537
2016-05-31,40.65167910447761
2016-06-01,44.49710820895522
2016-06-02,16.48041044776119
2016-06-03,21.42453358208955
2016-06-04,29.11539179104477
2016-06-05,0.0
2016-06-06,16.48041044776119
2016-06-07,12.085634328358207
2016-06-08,0.0
2016-06-09,16.48041044776119
2016-06-10,8.78955223880597
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,8.240205223880595
2016-06-14,15.931063432835819
2016-06-15,0.0
2016-06-16,16.48041044776119
2016-06-17,8.240205223880595
2016-06-18,9.888246268656715
2016-06-19,19.227145522388057
2016-06-20,12.085634328358207
2016-06-21,12.085634328358207
2016-06-22,12.085634328358207
2016-06-23,0.0
2016-06-24,8.78955223880597
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,8.240205223880595
2016-06-28,8.240205223880595
2016-06-29,8.240205223880595
2016-06-30,8.240205223880595
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,9.888246268656715
2016-07-04,0.0
2016-07-05,17.029757462686565
2016-07-06,17.029757462686565
2016-07-07,0.0
2016-07-08,8.78955223880597
2016-07-09,0.0
2016-07-10,9.888246268656715
2016-07-11,0.0
2016-07-12,8.240205223880595
2016-07-13,0.0
2016-07-14,8.240205223880595
2016-07-15,17.029757462686565
2016-07-16,19.77649253731343
2016-07-17,9.888246268656715
2016-07-18,25.269962686567162
2016-07-19,0.0
2016-07-20,8.240205223880595
2016-07-21,8.240205223880595
2016-07-22,8.78955223880597
2016-07-23,14.832369402985073
2016-07-24,9.888246268656715
2016-07-25,8.240205223880595
2016-07-26,8.240205223880595
2016-07-27,8.240205223880595
2016-07-28,16.48041044776119
2016-07-29,8.78955223880597
2016-07-30,9.888246268656715
2016-07-31,9.888246268656715
2016-08-01,0.0
2016-08-02,12.634981343283581
2016-08-03,0.0
2016-08-04,8.240205223880595
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,9.888246268656715
2016-08-08,12.634981343283581
2016-08-09,20.325839552238804
2016-08-10,33.510167910447755
2016-08-11,54.93470149253731
2016-08-12,30.21408582089552
2016-08-13,9.888246268656715
2016-08-14,24.720615671641788
2016-08-15,17.029757462686565
2016-08-16,0.0
2016-08-17,12.085634328358207
2016-08-18,16.48041044776119
2016-08-19,17.57910447761194
2016-08-20,14.2830223880597
2016-08-21,28.5660447761194
2016-08-22,16.48041044776119
2016-08-23,16.48041044776119
2016-08-24,8.240205223880595
2016-08-25,8.240205223880595
2016-08-26,8.78955223880597
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,12.085634328358207
2016-08-30,19.77649253731343
2016-08-31,40.102332089552235
2016-09-01,15.931063432835819
2016-09-02,8.240205223880595
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,12.634981343283581
2016-09-06,7.690858208955223
2016-09-07,12.085634328358207
2016-09-08,15.931063432835819
2016-09-09,0.0
2016-09-10,9.338899253731343
2016-09-11,18.677798507462686
2016-09-12,8.240205223880595
2016-09-13,12.085634328358207
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,41.20102611940298
2016-09-17,18.677798507462686
2016-09-18,13.733675373134327
2016-09-19,7.690858208955223
2016-09-20,0.0
2016-09-21,31.862126865671637
2016-09-22,0.0
2016-09-23,16.48041044776119
2016-09-24,13.733675373134327
2016-09-25,18.128451492537312
2016-09-26,7.690858208955223
2016-09-27,7.690858208955223
2016-09-28,23.621921641791044
2016-09-29,7.690858208955223
2016-09-30,24.720615671641788
2016-10-01,4.394776119402985
2016-10-02,10.082276119402986
2016-10-03,6.282929104477612
2016-10-04,0.0
2016-10-05,6.282929104477612
2016-10-06,6.445429104477611
2016-10-07,6.445429104477611
2016-10-08,14.914225746268658
2016-10-09,2.925
2016-10-10,0.0
2016-10-11,2.4374999999999996
2016-10-12,11.482929104477611
2016-10-13,2.4374999999999996
2016-10-14,9.320102611940296
2016-10-15,7.319776119402985
2016-10-16,4.394776119402985
2016-10-17,4.874999999999999
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,2.4374999999999996
2016-10-21,7.745429104477611
2016-10-22,8.782276119402985
2016-10-23,0.0
2016-10-24,2.4374999999999996
2016-10-25,0.0
2016-10-26,6.282929104477612
2016-10-27,10.128358208955223
2016-10-28,0.0
2016-10-29,2.925
2016-10-30,0.0
2016-10-31,2.5999999999999996
2016-11-01,3.8454291044776117
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,5.85
2016-11-06,0.0
2016-11-07,4.874999999999999
2016-11-08,4.874999999999999
2016-11-09,31.849999999999998
2016-11-10,17.225
2016-11-11,15.6
2016-11-12,11.374999999999998
2016-11-13,0.0
2016-11-14,4.874999999999999
2016-11-15,9.749999999999998
2016-11-16,7.1499999999999995
2016-11-17,4.874999999999999
2016-11-18,0.0
2016-11-19,0.0
