date,reichstag fire
2016-05-01,3.0
2016-05-02,6.0
2016-05-03,4.0
2016-05-04,7.0
2016-05-05,7.0
2016-05-06,5.0
2016-05-07,2.0
2016-05-08,4.0
2016-05-09,10.0
2016-05-10,8.0
2016-05-11,4.0
2016-05-12,7.0
2016-05-13,2.0
2016-05-14,5.0
2016-05-15,7.0
2016-05-16,4.0
2016-05-17,9.0
2016-05-18,4.0
2016-05-19,3.0
2016-05-20,7.0
2016-05-21,4.0
2016-05-22,7.0
2016-05-23,5.0
2016-05-24,6.0
2016-05-25,8.0
2016-05-26,1.0
2016-05-27,5.0
2016-05-28,2.0
2016-05-29,6.0
2016-05-30,3.0
2016-05-31,3.0
2016-06-01,2.0
2016-06-02,7.0
2016-06-03,4.0
2016-06-04,3.0
2016-06-05,14.0
2016-06-06,4.0
2016-06-07,4.0
2016-06-08,3.0
2016-06-09,3.0
2016-06-10,3.0
2016-06-11,2.0
2016-06-12,7.0
2016-06-13,11.0
2016-06-14,5.0
2016-06-15,4.0
2016-06-16,7.0
2016-06-17,2.0
2016-06-18,3.0
2016-06-19,4.0
2016-06-20,4.0
2016-06-21,3.0
2016-06-22,3.0
2016-06-23,3.0
2016-06-24,0.0
2016-06-25,2.0
2016-06-26,2.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,2.0
2016-07-01,1.0
2016-07-02,3.0
2016-07-03,2.0
2016-07-04,2.0
2016-07-05,2.0
2016-07-06,4.0
2016-07-07,3.0
2016-07-08,2.0
2016-07-09,0.0
2016-07-10,2.0
2016-07-11,2.0
2016-07-12,5.0
2016-07-13,1.0
2016-07-14,1.0
2016-07-15,8.0
2016-07-16,100.0
2016-07-17,37.0
2016-07-18,44.0
2016-07-19,25.0
2016-07-20,12.0
2016-07-21,16.0
2016-07-22,7.0
2016-07-23,6.0
2016-07-24,3.0
2016-07-25,1.0
2016-07-26,3.0
2016-07-27,3.0
2016-07-28,3.0
2016-07-29,3.0
2016-07-30,3.0
2016-07-31,4.0
2016-08-01,3.0
2016-08-02,1.0
2016-08-03,1.0
2016-08-04,3.0
2016-08-05,4.0
2016-08-06,2.0
2016-08-07,3.0
2016-08-08,1.0
2016-08-09,3.0
2016-08-10,5.0
