date,khizr khan
2016-12-09,0.0
2016-12-10,0.36764705882352944
2016-12-11,0.18382352941176472
2016-12-12,0.36764705882352944
2016-12-13,0.18382352941176472
2016-12-14,0.18382352941176472
2016-12-15,0.18382352941176472
2016-12-16,0.18382352941176472
2016-12-17,0.18382352941176472
2016-12-18,0.36764705882352944
2016-12-19,0.18382352941176472
2016-12-20,0.36764705882352944
2016-12-21,0.18382352941176472
2016-12-22,0.18382352941176472
2016-12-23,0.18382352941176472
2016-12-24,0.18382352941176472
2016-12-25,0.18382352941176472
2016-12-26,0.0
2016-12-27,0.18382352941176472
2016-12-28,0.18382352941176472
2016-12-29,0.18382352941176472
2016-12-30,0.18382352941176472
2016-12-31,0.18382352941176472
2017-01-01,0.36764705882352944
2017-01-02,0.18382352941176472
2017-01-03,0.18382352941176472
2017-01-04,0.18382352941176472
2017-01-05,0.18382352941176472
2017-01-06,0.18382352941176472
2017-01-07,0.0
2017-01-08,0.18382352941176472
2017-01-09,0.18382352941176472
2017-01-10,0.7352941176470589
2017-01-11,0.36764705882352944
2017-01-12,0.18382352941176472
2017-01-13,0.18382352941176472
2017-01-14,0.18382352941176472
2017-01-15,0.36764705882352944
2017-01-16,0.18382352941176472
2017-01-17,0.18382352941176472
2017-01-18,0.18382352941176472
2017-01-19,0.18382352941176472
2017-01-20,0.18382352941176472
2017-01-21,0.5514705882352942
2017-01-22,0.18382352941176472
2017-01-23,0.36764705882352944
2017-01-24,0.0
2017-01-25,0.18382352941176472
2017-01-26,0.5514705882352942
2017-01-27,0.36764705882352944
2017-01-28,0.5514705882352942
2017-01-29,1.8382352941176472
2017-01-30,0.7352941176470589
2017-01-31,0.9191176470588236
2017-02-01,0.5514705882352942
2017-02-02,0.9191176470588236
2017-02-03,1.286764705882353
2017-02-04,0.5514705882352942
2017-02-05,0.36764705882352944
2017-02-06,0.36764705882352944
2017-02-07,0.18382352941176472
2017-02-08,0.36764705882352944
2017-02-09,0.18382352941176472
2017-02-10,0.36764705882352944
2017-02-11,0.18382352941176472
2017-02-12,0.36764705882352944
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.36764705882352944
2017-02-16,0.36764705882352944
2017-02-17,0.18382352941176472
2017-02-18,0.18382352941176472
2017-02-19,0.0
2017-02-20,0.18382352941176472
2017-02-21,0.18382352941176472
2017-02-22,0.0
2017-02-23,0.18382352941176472
2017-02-24,0.18382352941176472
2017-02-25,0.18382352941176472
2017-02-26,0.18382352941176472
2017-02-27,0.18382352941176472
2017-02-28,0.18382352941176472
2017-03-01,0.7270013268465281
2017-03-02,0.36350066342326404
2017-03-03,0.18175033171163202
2017-03-04,0.18175033171163202
2017-03-05,0.2715888987173817
2017-03-06,16.349237063246353
2017-03-07,18.175033171163204
2017-03-08,4.09249226006192
2017-03-09,1.1824137549756746
2017-03-10,0.9066784608580275
2017-03-11,0.36350066342326404
2017-03-12,0.545250995134896
2017-03-13,0.45333923042901375
2017-03-14,0.18175033171163202
2017-03-15,0.18175033171163202
2017-03-16,0.18175033171163202
2017-03-17,0.18175033171163202
2017-03-18,0.18175033171163202
2017-03-19,0.09191176470588236
2017-03-20,0.2736620964175144
2017-03-21,0.18175033171163202
2017-03-22,0.45333923042901375
2017-03-23,0.36350066342326404
2017-03-24,0.2736620964175144
2017-03-25,0.2736620964175144
2017-03-26,0.0
2017-03-27,0.18175033171163202
2017-03-28,0.2715888987173817
2017-03-29,0.08983856700574967
2017-03-30,0.18175033171163202
2017-03-31,0.2736620964175144
2017-04-01,0.18175033171163202
2017-04-02,0.3593542680229987
2017-04-03,0.17967713401149935
2017-04-04,0.17967713401149935
2017-04-05,0.17967713401149935
2017-04-06,0.17967713401149935
2017-04-07,0.17967713401149935
2017-04-08,0.17967713401149935
2017-04-09,0.0
2017-04-10,0.17967713401149935
2017-04-11,0.17967713401149935
2017-04-12,0.17967713401149935
2017-04-13,0.17967713401149935
2017-04-14,0.17967713401149935
2017-04-15,0.17967713401149935
2017-04-16,0.17967713401149935
2017-04-17,0.17967713401149935
2017-04-18,0.17967713401149935
2017-04-19,0.17967713401149935
2017-04-20,0.17967713401149935
2017-04-21,0.17967713401149935
2017-04-22,0.17967713401149935
2017-04-23,0.17967713401149935
2017-04-24,0.17967713401149935
2017-04-25,0.3593542680229987
2017-04-26,0.3593542680229987
2017-04-27,0.17967713401149935
2017-04-28,0.0
2017-04-29,0.17967713401149935
2017-04-30,0.17967713401149935
2017-05-01,0.17967713401149935
2017-05-02,0.17967713401149935
2017-05-03,0.17967713401149935
2017-05-04,0.17967713401149935
2017-05-05,0.17967713401149935
2017-05-06,0.3593542680229987
2017-05-07,0.3593542680229987
2017-05-08,0.17967713401149935
2017-05-09,0.3593542680229987
2017-05-10,0.17967713401149935
2017-05-11,0.17967713401149935
2017-05-12,0.17967713401149935
2017-05-13,0.17967713401149935
2017-05-14,0.17967713401149935
2017-05-15,0.17967713401149935
2017-05-16,0.17967713401149935
2017-05-17,0.17967713401149935
2017-05-18,0.0
2017-05-19,0.17967713401149935
2017-05-20,0.17967713401149935
2017-05-21,0.17967713401149935
2017-05-22,0.17967713401149935
2017-05-23,0.17967713401149935
2017-05-24,0.17967713401149935
2017-05-25,0.5390314020344981
2017-05-26,0.17967713401149935
2017-05-27,0.17967713401149935
2017-05-28,0.17967713401149935
2017-05-29,0.3593542680229987
2017-05-30,0.3593542680229987
2017-05-31,0.17967713401149935
2017-06-01,0.17967713401149935
2017-06-02,0.3593542680229987
2017-06-03,0.17967713401149935
