date,google
2016-05-01,81.0
2016-05-02,92.0
2016-05-03,93.0
2016-05-04,93.0
2016-05-05,93.0
2016-05-06,91.0
2016-05-07,82.0
2016-05-08,81.0
2016-05-09,94.0
2016-05-10,93.0
2016-05-11,93.0
2016-05-12,93.0
2016-05-13,89.0
2016-05-14,81.0
2016-05-15,81.0
2016-05-16,90.0
2016-05-17,92.0
2016-05-18,96.0
2016-05-19,93.0
2016-05-20,90.0
2016-05-21,80.0
2016-05-22,81.0
2016-05-23,91.0
2016-05-24,91.0
2016-05-25,90.0
2016-05-26,90.0
2016-05-27,87.0
2016-05-28,78.0
2016-05-29,80.0
2016-05-30,85.0
2016-05-31,88.0
2016-06-01,89.0
2016-06-02,88.0
2016-06-03,86.0
2016-06-04,80.0
2016-06-05,80.0
2016-06-06,85.0
2016-06-07,85.0
2016-06-08,86.0
2016-06-09,87.0
2016-06-10,85.0
2016-06-11,79.0
2016-06-12,78.0
2016-06-13,84.0
2016-06-14,87.0
2016-06-15,85.0
2016-06-16,85.0
2016-06-17,83.0
2016-06-18,79.0
2016-06-19,79.0
2016-06-20,85.0
2016-06-21,85.0
2016-06-22,84.0
2016-06-23,83.0
2016-06-24,81.0
2016-06-25,78.0
2016-06-26,77.0
2016-06-27,83.0
2016-06-28,84.0
2016-06-29,84.0
2016-06-30,83.0
2016-07-01,82.0
2016-07-02,77.0
2016-07-03,76.0
2016-07-04,82.0
2016-07-05,84.0
2016-07-06,83.0
2016-07-07,84.0
2016-07-08,80.0
2016-07-09,78.0
2016-07-10,77.0
2016-07-11,83.0
2016-07-12,84.0
2016-07-13,84.0
2016-07-14,83.0
2016-07-15,83.0
2016-07-16,80.0
2016-07-17,80.0
2016-07-18,83.0
2016-07-19,83.0
2016-07-20,84.0
2016-07-21,84.0
2016-07-22,83.0
2016-07-23,80.0
2016-07-24,79.0
2016-07-25,85.0
2016-07-26,84.0
2016-07-27,84.0
2016-07-28,82.0
2016-07-29,82.0
2016-07-30,77.0
2016-07-31,80.0
2016-08-01,82.0
2016-08-02,85.0
2016-08-03,86.0
2016-08-04,85.0
2016-08-05,84.0
2016-08-06,82.0
2016-08-07,80.0
2016-08-08,84.0
2016-08-09,86.0
2016-08-10,86.0
2016-08-11,87.0
2016-08-12,84.0
2016-08-13,79.0
2016-08-14,79.0
2016-08-15,84.0
2016-08-16,86.0
2016-08-17,85.0
2016-08-18,86.0
2016-08-19,86.0
2016-08-20,81.0
2016-08-21,78.0
2016-08-22,87.0
2016-08-23,89.0
2016-08-24,89.0
2016-08-25,91.0
2016-08-26,89.0
2016-08-27,79.0
2016-08-28,78.0
2016-08-29,88.0
2016-08-30,90.0
2016-08-31,89.0
2016-09-01,91.0
2016-09-02,89.0
2016-09-03,78.0
2016-09-04,78.0
2016-09-05,85.0
2016-09-06,91.0
2016-09-07,94.0
